temp,pH,turbidity,NO2,NH4,TOC,TP,TN,salinity,chlorophyll,source
24.3,8.76,13.84,0.345,2.108,1632.0,2.41,148.8,7.99,25.49,combined
24.3,8.76,13.84,0.345,2.108,1632.0,2.41,148.8,7.99,28.1,combined
25.0,8.47,10.92,0.328,0.443,1429.0,2.796,139.3,6.23,,combined
25.0,8.47,10.92,0.328,0.443,1429.0,2.796,139.3,6.23,28.52,combined
25.0,8.8,17.35,0.589,1.639,914.2,3.196,95.5,3.96,29.72,combined
31.94,8.18,5.61,0.028,2.425,763.1,0.757,79.0,7.97,5.44,combined
31.94,8.18,5.61,0.028,2.425,763.1,0.757,79.0,7.97,38.42,combined
24.7,8.27,45.01,0.335,1.189,1386.0,5.758,197.1,10.76,60.02,combined
24.7,8.27,45.01,0.335,1.189,1386.0,5.758,197.1,10.76,51.02,combined
24.5,8.3,22.34,0.269,1.35,1097.0,3.698,146.4,13.5,46.73,combined
24.5,8.3,22.34,0.269,1.35,1097.0,3.698,146.4,13.5,33.15,combined
25.4,8.05,43.15,0.023,0.048,243.3,1.732,36.7,34.38,5.03,combined
25.4,8.05,43.15,0.023,0.048,243.3,1.732,36.7,34.38,7.8,combined
,,,0.077,2.789,808.0,0.344,100.2,,,combined
,,,0.077,2.789,808.0,0.344,100.2,,,combined
,,,0.021,6.039,836.7,0.307,86.9,,,combined
,,,0.021,6.039,836.7,0.307,86.9,,,combined
23.1,8.08,28.55,0.253,2.807,1388.0,4.355,204.0,24.24,54.16,combined
23.1,8.08,28.55,0.253,2.807,1388.0,4.355,204.0,24.24,43.07,combined
22.9,7.73,29.08,0.382,1.21,1998.0,6.048,232.1,23.79,36.63,combined
22.9,7.73,29.08,0.382,1.21,1998.0,6.048,232.1,23.79,37.78,combined
30.002,7.39,22.45,0.701,3.675,2056.0,4.375,218.3,29.07,23.52,combined
30.002,7.39,22.45,0.701,3.675,2056.0,4.375,218.3,29.07,22.03,combined
23.3,,,0.318,1.106,2825.0,10.088,354.8,0.3,25.69,combined
23.3,,,0.318,1.106,2825.0,10.088,354.8,0.3,30.69,combined
24.0,8.27,12.59,0.079,0.846,1047.0,2.047,109.3,27.13,,combined
24.0,8.27,12.59,0.079,0.846,1047.0,2.047,109.3,27.13,,combined
25.3,8.18,32.03,0.15,3.82,616.1,1.047,89.0,28.2,4.6,combined
25.3,8.18,32.03,0.15,3.82,616.1,1.047,89.0,28.2,5.81,combined
26.25,8.83,0.22,0.041,0.249,256.4,0.415,20.7,34.26,0.11,combined
26.25,8.83,0.22,0.041,0.249,256.4,0.415,20.7,34.26,0.42,combined
30.944,8.01,0.07,0.023,0.671,498.4,0.31,35.5,38.8,1.31,combined
30.944,8.01,0.07,0.023,0.671,498.4,0.31,35.5,38.8,0.84,combined
24.6,8.61,5.5,0.155,1.485,465.7,1.003,68.1,4.89,8.17,combined
24.6,8.61,5.5,0.155,1.485,465.7,1.003,68.1,4.89,17.52,combined
29.526,8.18,3.7,0.017,1.187,1397.0,1.063,88.6,10.64,9.43,combined
29.526,8.18,3.7,0.017,1.187,1397.0,1.063,88.6,10.64,10.05,combined
25.0,8.5,9.3,0.139,1.471,423.0,1.607,88.1,6.95,26.73,combined
25.0,8.5,9.3,0.139,1.471,423.0,1.607,88.1,6.95,26.89,combined
29.476,8.01,6.36,0.051,1.216,1037.0,1.114,106.2,15.9,9.88,combined
29.476,8.01,6.36,0.051,1.216,1037.0,1.114,106.2,15.9,10.12,combined
25.1,8.46,8.11,0.099,1.874,1276.0,1.755,91.7,10.53,18.33,combined
25.1,8.46,8.11,0.099,1.874,1276.0,1.755,91.7,10.53,18.15,combined
29.554,7.99,9.62,0.055,0.902,1187.0,1.211,103.1,21.19,11.36,combined
29.554,7.99,9.62,0.055,0.902,1187.0,1.211,103.1,21.19,13.7,combined
25.6,8.38,8.54,0.117,1.75,664.3,1.562,71.0,10.74,22.51,combined
25.6,8.38,8.54,0.117,1.75,664.3,1.562,71.0,10.74,25.22,combined
,,,0.016,2.194,819.2,0.365,107.1,,,combined
,,,0.016,2.194,819.2,0.365,107.1,,,combined
,,,0.027,3.414,900.0,0.308,107.4,,,combined
,,,0.027,3.414,900.0,0.308,107.4,,,combined
,,,0.049,66.045,875.8,0.541,135.5,,,combined
,,,0.049,66.045,875.8,0.541,135.5,,,combined
,,,0.166,1.07,891.7,0.496,69.6,,,combined
,,,0.166,1.07,891.7,0.496,69.6,,,combined
,,,0.188,21.39,643.5,0.583,88.1,,,combined
,,,0.188,21.39,643.5,0.583,88.1,,,combined
,,,0.037,0.964,620.4,0.323,56.7,,,combined
,,,0.037,0.964,620.4,0.323,56.7,,,combined
,,,0.029,0.808,774.4,0.673,71.4,,,combined
