YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00  57  5.2  5.7 99.00 99.00 99.00 999 1019.9  24.1 999.0 999.0 99.0
97 01 01 01  60  6.7  7.3 99.00 99.00 99.00 999 1020.1  24.0 999.0 999.0 99.0
97 01 01 02  63  6.1  6.6 99.00 99.00 99.00 999 1020.2  23.9 999.0 999.0 99.0
97 01 01 03  56  6.2  6.6 99.00 99.00 99.00 999 1020.4  23.8 999.0 999.0 99.0
97 01 01 04  53  5.4  5.9 99.00 99.00 99.00 999 1020.3  23.8 999.0 999.0 99.0
97 01 01 05  63  4.5  5.0 99.00 99.00 99.00 999 1020.0  23.8 999.0 999.0 99.0
97 01 01 06  58  4.1  4.8 99.00 99.00 99.00 999 1019.9  23.7 999.0 999.0 99.0
97 01 01 07  68  4.1  4.8 99.00 99.00 99.00 999 1019.4  23.8 999.0 999.0 99.0
97 01 01 08  52  4.8  5.3 99.00 99.00 99.00 999 1019.0  23.7 999.0 999.0 99.0
97 01 01 09  88  5.1  5.9 99.00 99.00 99.00 999 1018.8  23.9 999.0 999.0 99.0
97 01 01 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 13  95  4.2  4.6 99.00 99.00 99.00 999 1019.8  23.9 999.0 999.0 99.0
97 01 01 14 102  3.9  4.2 99.00 99.00 99.00 999 1020.2  24.0 999.0 999.0 99.0
97 01 01 15  86  4.0  4.6 99.00 99.00 99.00 999 1020.6  24.1 999.0 999.0 99.0
97 01 01 16  91  3.1  3.7 99.00 99.00 99.00 999 1020.3  24.4 999.0 999.0 99.0
97 01 01 17  89  4.5  5.3 99.00 99.00 99.00 999 1019.4  24.1 999.0 999.0 99.0
97 01 01 18 107  4.0  4.4 99.00 99.00 99.00 999 1018.6  24.2 999.0 999.0 99.0
97 01 01 19 113  4.2  4.4 99.00 99.00 99.00 999 1017.7  24.2 999.0 999.0 99.0
97 01 01 20 118  4.3  5.1 99.00 99.00 99.00 999 1017.4  24.3 999.0 999.0 99.0
97 01 01 21 119  4.5  5.4 99.00 99.00 99.00 999 1017.3  24.2 999.0 999.0 99.0
97 01 01 22 113  4.1  4.7 99.00 99.00 99.00 999 1017.3  24.3 999.0 999.0 99.0
97 01 01 23 110  4.0  4.4 99.00 99.00 99.00 999 1017.6  24.0 999.0 999.0 99.0
97 01 02 00 122  3.7  4.3 99.00 99.00 99.00 999 1018.3  23.9 999.0 999.0 99.0
97 01 02 01 109  2.9  3.1 99.00 99.00 99.00 999 1018.8  23.8 999.0 999.0 99.0
97 01 02 02 117  3.1  3.4 99.00 99.00 99.00 999 1018.9  23.8 999.0 999.0 99.0
97 01 02 03 103  3.0  3.1 99.00 99.00 99.00 999 1019.2  23.8 999.0 999.0 99.0
97 01 02 04  82  2.5  2.7 99.00 99.00 99.00 999 1019.4  23.7 999.0 999.0 99.0
97 01 02 05  60  2.8  3.0 99.00 99.00 99.00 999 1019.1  23.6 999.0 999.0 99.0
97 01 02 06  60  2.4  2.7 99.00 99.00 99.00 999 1018.8  23.5 999.0 999.0 99.0
97 01 02 07  54  2.0  2.2 99.00 99.00 99.00 999 1018.5  23.4 999.0 999.0 99.0
97 01 02 08  61  2.2  2.4 99.00 99.00 99.00 999 1018.0  23.3 999.0 999.0 99.0
97 01 02 09  38  3.0  3.2 99.00 99.00 99.00 999 1017.9  23.2 999.0 999.0 99.0
97 01 02 10  26  3.4  3.9 99.00 99.00 99.00 999 1017.8  23.2 999.0 999.0 99.0
97 01 02 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 02 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 02 13  22  2.9  3.0 99.00 99.00 99.00 999 1019.4  22.6 999.0 999.0 99.0
97 01 02 14  21  3.6  3.9 99.00 99.00 99.00 999 1020.2  22.6 999.0 999.0 99.0
97 01 02 15  12  4.9  5.5 99.00 99.00 99.00 999 1020.6  22.4 999.0 999.0 99.0
97 01 02 16  17  3.8  4.1 99.00 99.00 99.00 999 1020.3  22.7 999.0 999.0 99.0
97 01 02 17   2  3.7  3.9 99.00 99.00 99.00 999 1019.8  23.1 999.0 999.0 99.0
97 01 02 18   8  2.6  2.9 99.00 99.00 99.00 999 1018.6  23.4 999.0 999.0 99.0
97 01 02 19  14  1.6  2.1 99.00 99.00 99.00 999 1018.1  23.7 999.0 999.0 99.0
97 01 02 20   0   .0   .0 99.00 99.00 99.00 999 1017.7  24.7 999.0 999.0 99.0
97 01 02 21   0   .0   .0 99.00 99.00 99.00 999 1017.7  26.5 999.0 999.0 99.0
97 01 02 22 239  1.1  1.3 99.00 99.00 99.00 999 1017.6  24.7 999.0 999.0 99.0
97 01 02 23 246   .8  1.0 99.00 99.00 99.00 999 1017.7  23.8 999.0 999.0 99.0
97 01 03 00 355   .7   .8 99.00 99.00 99.00 999 1018.4  23.4 999.0 999.0 99.0
97 01 03 01   6  1.0  1.1 99.00 99.00 99.00 999 1018.8  23.3 999.0 999.0 99.0
97 01 03 02 316   .7   .9 99.00 99.00 99.00 999 1019.0  23.1 999.0 999.0 99.0
97 01 03 03 344  2.7  3.0 99.00 99.00 99.00 999 1019.3  23.2 999.0 999.0 99.0
97 01 03 04 342  3.1  3.5 99.00 99.00 99.00 999 1019.5  23.4 999.0 999.0 99.0
97 01 03 05 337  3.0  3.2 99.00 99.00 99.00 999 1019.1  23.0 999.0 999.0 99.0
97 01 03 06 336  2.0  2.1 99.00 99.00 99.00 999 1018.6  23.0 999.0 999.0 99.0
97 01 03 07 352  2.9  3.2 99.00 99.00 99.00 999 1018.4  23.0 999.0 999.0 99.0
97 01 03 08   6  3.6  4.0 99.00 99.00 99.00 999 1018.0  23.3 999.0 999.0 99.0
97 01 03 09 347  3.0  3.3 99.00 99.00 99.00 999 1017.8  23.2 999.0 999.0 99.0
97 01 03 10 355  3.9  4.5 99.00 99.00 99.00 999 1017.9  23.1 999.0 999.0 99.0
97 01 03 11   4  4.6  5.0 99.00 99.00 99.00 999 1018.3  22.7 999.0 999.0 99.0
97 01 03 12   1  4.7  5.0 99.00 99.00 99.00 999 9999.0  22.6 999.0 999.0 99.0
97 01 03 13   8  3.3  3.6 99.00 99.00 99.00 999 1019.3  23.0 999.0 999.0 99.0
97 01 03 14  20  3.8  4.0 99.00 99.00 99.00 999 1020.0  22.7 999.0 999.0 99.0
97 01 03 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 17  41  2.0  2.3 99.00 99.00 99.00 999 1019.9  23.7 999.0 999.0 99.0
97 01 03 18 355   .7  1.1 99.00 99.00 99.00 999 1018.9  23.9 999.0 999.0 99.0
97 01 03 19  70  1.3  1.8 99.00 99.00 99.00 999 1018.3  24.3 999.0 999.0 99.0
97 01 03 20 105  2.2  2.6 99.00 99.00 99.00 999 1017.9  24.3 999.0 999.0 99.0
97 01 03 21 113  2.4  2.7 99.00 99.00 99.00 999 1017.8  24.3 999.0 999.0 99.0
97 01 03 22 148  2.8  3.2 99.00 99.00 99.00 999 1017.9  24.4 999.0 999.0 99.0
97 01 03 23 152  2.7  3.0 99.00 99.00 99.00 999 1018.3  24.5 999.0 999.0 99.0
97 01 04 00 154  3.0  3.3 99.00 99.00 99.00 999 1018.5  24.4 999.0 999.0 99.0
97 01 04 01 155  3.6  4.0 99.00 99.00 99.00 999 1019.0  24.4 999.0 999.0 99.0
97 01 04 02 159  3.2  3.7 99.00 99.00 99.00 999 1019.4  24.4 999.0 999.0 99.0
97 01 04 03 167  3.6  3.9 99.00 99.00 99.00 999 1019.8  24.3 999.0 999.0 99.0
97 01 04 04 154  3.3  3.8 99.00 99.00 99.00 999 1019.4  24.2 999.0 999.0 99.0
97 01 04 05 140  2.6  2.8 99.00 99.00 99.00 999 1019.0  23.9 999.0 999.0 99.0
97 01 04 06 164  2.1  2.3 99.00 99.00 99.00 999 1018.6  24.0 999.0 999.0 99.0
97 01 04 07 126  1.8  2.0 99.00 99.00 99.00 999 1018.2  23.9 999.0 999.0 99.0
97 01 04 08 115  2.1  2.3 99.00 99.00 99.00 999 1017.6  23.7 999.0 999.0 99.0
97 01 04 09 103  2.2  2.3 99.00 99.00 99.00 999 1017.6  23.7 999.0 999.0 99.0
97 01 04 10 104  2.2  2.6 99.00 99.00 99.00 999 9999.0  23.7 999.0 999.0 99.0
97 01 04 11  99  2.5  2.8 99.00 99.00 99.00 999 1018.0  23.8 999.0 999.0 99.0
97 01 04 12 111  2.4  2.6 99.00 99.00 99.00 999 9999.0  23.6 999.0 999.0 99.0
97 01 04 13  80  2.5  3.0 99.00 99.00 99.00 999 1019.3  24.1 999.0 999.0 99.0
97 01 04 14 109  3.9  4.3 99.00 99.00 99.00 999 1020.0  24.4 999.0 999.0 99.0
97 01 04 15 112  4.2  4.7 99.00 99.00 99.00 999 1020.8  24.5 999.0 999.0 99.0
97 01 04 16 124  5.1  5.5 99.00 99.00 99.00 999 1020.6  24.5 999.0 999.0 99.0
97 01 04 17 143  5.5  6.5 99.00 99.00 99.00 999 1019.9  24.6 999.0 999.0 99.0
97 01 04 18 143  4.7  5.1 99.00 99.00 99.00 999 1018.9  24.7 999.0 999.0 99.0
97 01 04 19 164  4.2  4.7 99.00 99.00 99.00 999 1018.0  24.6 999.0 999.0 99.0
97 01 04 20 162  3.1  3.8 99.00 99.00 99.00 999 1017.9  24.7 999.0 999.0 99.0
97 01 04 21 168  2.3  2.7 99.00 99.00 99.00 999 1018.0  24.8 999.0 999.0 99.0
97 01 04 22 189  2.1  2.7 99.00 99.00 99.00 999 1018.2  24.8 999.0 999.0 99.0
97 01 04 23 134  3.5  4.0 99.00 99.00 99.00 999 1018.2  24.3 999.0 999.0 99.0
97 01 05 00 138  3.8  4.1 99.00 99.00 99.00 999 1018.5  24.2 999.0 999.0 99.0
97 01 05 01 130  3.4  3.8 99.00 99.00 99.00 999 1018.5  24.1 999.0 999.0 99.0
97 01 05 02 117  3.6  3.9 99.00 99.00 99.00 999 1018.5  24.0 999.0 999.0 99.0
97 01 05 03 126  2.7  3.1 99.00 99.00 99.00 999 1018.4  24.0 999.0 999.0 99.0
97 01 05 04 114  3.6  3.9 99.00 99.00 99.00 999 1018.2  23.9 999.0 999.0 99.0
97 01 05 05 123  3.5  4.0 99.00 99.00 99.00 999 1017.9  23.8 999.0 999.0 99.0
97 01 05 06 133  3.8  4.1 99.00 99.00 99.00 999 1017.4  23.7 999.0 999.0 99.0
97 01 05 07 127  4.1  4.8 99.00 99.00 99.00 999 1016.6  23.7 999.0 999.0 99.0
97 01 05 08 137  3.7  3.9 99.00 99.00 99.00 999 9999.0  23.8 999.0 999.0 99.0
97 01 05 09 161  4.0  4.6 99.00 99.00 99.00 999 1016.2  23.9 999.0 999.0 99.0
97 01 05 10 168  4.5  5.4 99.00 99.00 99.00 999 9999.0  24.1 999.0 999.0 99.0
97 01 05 11 152  4.0  4.6 99.00 99.00 99.00 999 1016.8  24.1 999.0 999.0 99.0
97 01 05 12 182  5.3  6.1 99.00 99.00 99.00 999 9999.0  24.2 999.0 999.0 99.0
97 01 05 13 182  5.0  5.6 99.00 99.00 99.00 999 9999.0  24.5 999.0 999.0 99.0
97 01 05 14 176  3.9  4.3 99.00 99.00 99.00 999 1018.1  25.0 999.0 999.0 99.0
97 01 05 15 191  3.4  4.0 99.00 99.00 99.00 999 1018.9  24.9 999.0 999.0 99.0
97 01 05 16 184  4.3  5.0 99.00 99.00 99.00 999 1018.4  25.1 999.0 999.0 99.0
97 01 05 17 190  4.3  5.1 99.00 99.00 99.00 999 1017.7  25.0 999.0 999.0 99.0
97 01 05 18 174  4.9  5.3 99.00 99.00 99.00 999 1016.6  24.9 999.0 999.0 99.0
97 01 05 19 208  4.1  4.7 99.00 99.00 99.00 999 1016.2  25.0 999.0 999.0 99.0
97 01 05 20 221  3.2  3.6 99.00 99.00 99.00 999 1015.8  25.2 999.0 999.0 99.0
97 01 05 21 239  1.3  2.7 99.00 99.00 99.00 999 1015.7  24.8 999.0 999.0 99.0
97 01 05 22 167  2.5  2.6 99.00 99.00 99.00 999 1015.7  24.9 999.0 999.0 99.0
97 01 05 23 167  3.0  3.4 99.00 99.00 99.00 999 1016.0  24.6 999.0 999.0 99.0
97 01 06 00 168  2.7  3.2 99.00 99.00 99.00 999 1016.5  24.6 999.0 999.0 99.0
97 01 06 01 267   .5   .8 99.00 99.00 99.00 999 1017.0  24.6 999.0 999.0 99.0
97 01 06 02 272   .8  1.0 99.00 99.00 99.00 999 1017.4  24.5 999.0 999.0 99.0
97 01 06 03 309   .9  1.0 99.00 99.00 99.00 999 1018.0  24.4 999.0 999.0 99.0
97 01 06 04  39   .3   .6 99.00 99.00 99.00 999 1017.8  24.2 999.0 999.0 99.0
