YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00  64  6.4  6.9 99.00 99.00 99.00 999 1018.3  22.8  22.9 999.0 99.0
1999 01 01 01  64  6.0  7.2 99.00 99.00 99.00 999 1018.2  22.8  22.8 999.0 99.0
1999 01 01 02  62  7.2  7.8 99.00 99.00 99.00 999 1018.8  22.9  22.7 999.0 99.0
1999 01 01 03  53  5.7  6.2 99.00 99.00 99.00 999 1019.1  22.5  22.6 999.0 99.0
1999 01 01 04  44  5.7  6.5 99.00 99.00 99.00 999 1019.0  22.6  22.6 999.0 99.0
1999 01 01 05  44  6.3  7.4 99.00 99.00 99.00 999 1018.9  22.0  22.6 999.0 99.0
1999 01 01 06  40  5.8  6.5 99.00 99.00 99.00 999 1018.6  22.1  22.6 999.0 99.0
1999 01 01 07  50  7.0  7.6 99.00 99.00 99.00 999 1017.9  22.3  22.6 999.0 99.0
1999 01 01 08  63  5.7  6.2 99.00 99.00 99.00 999 1017.9  22.4  22.5 999.0 99.0
1999 01 01 09  67  6.4  7.4 99.00 99.00 99.00 999 1017.6  22.9  22.5 999.0 99.0
1999 01 01 10  67  6.8  7.4 99.00 99.00 99.00 999 1017.6  22.7  22.3 999.0 99.0
1999 01 01 11  79  6.5  7.3 99.00 99.00 99.00 999 1018.2  22.8  22.3 999.0 99.0
1999 01 01 12  64  7.4  8.1 99.00 99.00 99.00 999 1018.1  22.9  22.3 999.0 99.0
1999 01 01 13  62  6.0  6.8 99.00 99.00 99.00 999 1018.9  22.9  22.4 999.0 99.0
1999 01 01 14  62  5.7  7.0 99.00 99.00 99.00 999 1019.5  23.1  22.4 999.0 99.0
1999 01 01 15  80  6.6  7.5 99.00 99.00 99.00 999 1019.6  23.4  22.4 999.0 99.0
1999 01 01 16  79  6.8  7.7 99.00 99.00 99.00 999 1019.4  23.7  22.5 999.0 99.0
1999 01 01 17  88  7.3  8.2 99.00 99.00 99.00 999 1019.2  23.8  22.8 999.0 99.0
1999 01 01 18  79  7.1  7.9 99.00 99.00 99.00 999 1018.0  23.5  22.8 999.0 99.0
1999 01 01 19  95  8.0  8.8 99.00 99.00 99.00 999 1017.0  23.8  22.9 999.0 99.0
1999 01 01 20  86  6.8  7.9 99.00 99.00 99.00 999 1016.5  23.8  22.9 999.0 99.0
1999 01 01 21  85  6.7  7.4 99.00 99.00 99.00 999 1016.7  23.8  22.9 999.0 99.0
1999 01 01 22  86  7.2  7.9 99.00 99.00 99.00 999 1016.9  23.8  22.9 999.0 99.0
1999 01 01 23  85  7.1  8.2 99.00 99.00 99.00 999 1017.2  23.8  22.9 999.0 99.0
1999 01 02 00  82  6.4  7.3 99.00 99.00 99.00 999 1017.2  23.7  22.9 999.0 99.0
1999 01 02 01  85  6.7  7.7 99.00 99.00 99.00 999 1017.4  23.8  22.9 999.0 99.0
1999 01 02 02  95  7.8  8.9 99.00 99.00 99.00 999 1017.3  23.9  22.8 999.0 99.0
1999 01 02 03 104  8.8  9.4 99.00 99.00 99.00 999 1017.2  24.1  22.7 999.0 99.0
