YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00 353 10.4 11.3 99.00 99.00 99.00 999 1016.4  18.5  20.5 999.0 99.0  0.76
2002 01 01 01 359 11.1 12.7 99.00 99.00 99.00 999 1016.8  18.4  20.5 999.0 99.0  0.83
2002 01 01 02   5 10.6 12.3 99.00 99.00 99.00 999 1016.9  18.2  20.4 999.0 99.0  0.93
2002 01 01 03  52  8.2  9.4 99.00 99.00 99.00 999 1016.5  18.7  20.4 999.0 99.0  1.00
2002 01 01 04  87  9.5 10.7 99.00 99.00 99.00 999 1015.0  19.3  20.3 999.0 99.0  0.98
2002 01 01 05 106  7.4  8.4 99.00 99.00 99.00 999 1015.0  20.8  20.2 999.0 99.0  0.80
2002 01 01 06  63  3.6  4.4 99.00 99.00 99.00 999 1015.5  21.3  20.2 999.0 99.0  0.59
2002 01 01 07 357  8.6  9.4 99.00 99.00 99.00 999 1016.2  18.5  20.1 999.0 99.0  0.60
2002 01 01 08   3  7.4  8.1 99.00 99.00 99.00 999 1015.9  17.7  20.1 999.0 99.0  0.52
2002 01 01 09   6  6.7  7.8 99.00 99.00 99.00 999 1015.9  16.8  20.1 999.0 99.0  0.52
2002 01 01 10  16  5.9  6.6 99.00 99.00 99.00 999 1015.6  17.7  20.0 999.0 99.0  0.45
2002 01 01 11   4  8.4  9.3 99.00 99.00 99.00 999 1016.4  17.0  20.0 999.0 99.0  0.26
2002 01 01 12   3  8.8 10.3 99.00 99.00 99.00 999 1017.3  16.5  19.9 999.0 99.0  0.04
2002 01 01 13   2  8.8  9.8 99.00 99.00 99.00 999 1018.1  16.7  19.9 999.0 99.0 -0.08
2002 01 01 14  12  8.4  9.3 99.00 99.00 99.00 999 1018.9  17.0  19.8 999.0 99.0  0.08
2002 01 01 15  15  6.7  7.6 99.00 99.00 99.00 999 1019.5  17.1  19.9 999.0 99.0  0.26
2002 01 01 16  35  6.1  6.6 99.00 99.00 99.00 999 1019.1  17.9  20.0 999.0 99.0  0.33
2002 01 01 17  16  7.1  8.0 99.00 99.00 99.00 999 1018.0  18.7  20.2 999.0 99.0  0.34
2002 01 01 18  26  6.3  6.8 99.00 99.00 99.00 999 1017.1  19.4  20.3 999.0 99.0  0.16
2002 01 01 19  35  6.2  6.8 99.00 99.00 99.00 999 1016.4  20.3  20.5 999.0 99.0 -0.08
2002 01 01 20  57  4.5  4.9 99.00 99.00 99.00 999 1016.1  20.7  20.6 999.0 99.0 -0.14
2002 01 01 21  34  3.6  4.2 99.00 99.00 99.00 999 1016.2  20.8  20.8 999.0 99.0 -0.12
2002 01 01 22  36  4.2  4.8 99.00 99.00 99.00 999 1016.1  20.8  20.8 999.0 99.0 -0.01
2002 01 01 23  46  5.2  5.8 99.00 99.00 99.00 999 1016.3  20.9  20.8 999.0 99.0  0.21
