YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00  63  3.0  3.2 99.00 99.00 99.00 999 1025.2  22.1 999.0 999.0 99.0  0.26
2004 01 01 01  65  3.8  4.0 99.00 99.00 99.00 999 1026.0  22.2  21.5 999.0 99.0  0.18
2004 01 01 02  61  4.7  5.4 99.00 99.00 99.00 999 1026.1  22.1  21.5 999.0 99.0  0.07
2004 01 01 03  61  5.0  5.4 99.00 99.00 99.00 999 1026.2  22.6  21.4 999.0 99.0  0.03
2004 01 01 04  49  4.6  5.3 99.00 99.00 99.00 999 1025.8  22.3  21.5 999.0 99.0  0.01
2004 01 01 05  58  5.4  5.9 99.00 99.00 99.00 999 1025.3  22.3  21.6 999.0 99.0 -0.05
2004 01 01 06  60  4.2  4.7 99.00 99.00 99.00 999 1025.0  22.1  21.6 999.0 99.0 -0.14
2004 01 01 07  57  5.2  5.7 99.00 99.00 99.00 999 1024.9  22.1  21.5 999.0 99.0 -0.18
2004 01 01 08  55  4.9  5.3 99.00 99.00 99.00 999 1024.7  21.9  21.4 999.0 99.0 -0.09
2004 01 01 09  54  5.0  5.5 99.00 99.00 99.00 999 1024.6  21.8  21.4 999.0 99.0 -0.02
2004 01 01 10  55  4.5  5.1 99.00 99.00 99.00 999 1024.7  21.8  21.3 999.0 99.0  0.01
2004 01 01 11  49  4.5  5.0 99.00 99.00 99.00 999 1025.1  21.8  21.2 999.0 99.0 -0.02
2004 01 01 12  60  5.6  6.4 99.00 99.00 99.00 999 1025.7  21.8  21.2 999.0 99.0 -0.13
2004 01 01 13  71  5.4  6.0 99.00 99.00 99.00 999 1026.3  22.2  21.2 999.0 99.0 -0.22
2004 01 01 14  76  3.7  4.2 99.00 99.00 99.00 999 1027.1  21.8  21.2 999.0 99.0 -0.18
2004 01 01 15 102  4.4  5.1 99.00 99.00 99.00 999 1027.8  22.9  21.3 999.0 99.0 -0.19
2004 01 01 16  99  3.6  4.1 99.00 99.00 99.00 999 1027.7  22.9  21.4 999.0 99.0 -0.15
2004 01 01 17 102  5.1  5.7 99.00 99.00 99.00 999 1027.2  23.3  21.5 999.0 99.0 -0.05
2004 01 01 18  95  3.8  5.1 99.00 99.00 99.00 999 1026.1  23.1  21.8 999.0 99.0  0.05
2004 01 01 19 100  4.8  5.5 99.00 99.00 99.00 999 1025.4  23.5  22.0 999.0 99.0  0.14
2004 01 01 20  95  3.3  3.8 99.00 99.00 99.00 999 1025.1  23.2  22.1 999.0 99.0  0.21
2004 01 01 21  89  3.3  3.7 99.00 99.00 99.00 999 1025.2  23.1  22.1 999.0 99.0  0.27
2004 01 01 22  87  3.7  4.2 99.00 99.00 99.00 999 1025.1  23.1  22.1 999.0 99.0  0.33
2004 01 01 23  84  3.2  3.6 99.00 99.00 99.00 999 1025.2  22.7  22.1 999.0 99.0  0.32
2004 01 02 00  74  3.7  4.2 99.00 99.00 99.00 999 1025.3  22.5  22.1 999.0 99.0  0.24
2004 01 02 01  61  4.9  5.5 99.00 99.00 99.00 999 1025.8  22.6  22.1 999.0 99.0  0.20
2004 01 02 02  70  3.8  4.4 99.00 99.00 99.00 999 1025.8  22.4  22.0 999.0 99.0  0.12
2004 01 02 03  80  4.4  5.2 99.00 99.00 99.00 999 1025.9  22.8  22.0 999.0 99.0  0.04
2004 01 02 04  95  5.0  5.9 99.00 99.00 99.00 999 1025.4  22.9  22.0 999.0 99.0  0.01
2004 01 02 05 101  6.7  7.8 99.00 99.00 99.00 999 1024.8  23.0  22.0 999.0 99.0 -0.02
2004 01 02 06 109  6.2  6.9 99.00 99.00 99.00 999 1024.1  22.9  22.0 999.0 99.0 -0.08
2004 01 02 07 109  6.3  7.3 99.00 99.00 99.00 999 1023.6  22.9  21.9 999.0 99.0 -0.16
2004 01 02 08 108  6.7  7.6 99.00 99.00 99.00 999 1023.1  22.9  21.8 999.0 99.0 -0.17
2004 01 02 09 100  4.4  5.1 99.00 99.00 99.00 999 1022.8  22.6  21.8 999.0 99.0 -0.07
2004 01 02 10  79  4.1  4.9 99.00 99.00 99.00 999 1023.0  22.3  21.8 999.0 99.0  0.02
2004 01 02 11  76  4.2  4.7 99.00 99.00 99.00 999 1023.3  22.2  21.7 999.0 99.0  0.06
2004 01 02 12  90  2.7  3.2 99.00 99.00 99.00 999 1023.5  22.2  21.7 999.0 99.0  0.03
2004 01 02 13 110  5.9  6.8 99.00 99.00 99.00 999 1023.9  22.9  21.7 999.0 99.0 -0.04
2004 01 02 14  73  3.3  3.8 99.00 99.00 99.00 999 1025.1  22.7  21.6 999.0 99.0 -0.10
2004 01 02 15  93  2.9  4.2 99.00 99.00 99.00 999 1025.4  22.4  21.7 999.0 99.0 -0.03
2004 01 02 16 107  5.0  5.6 99.00 99.00 99.00 999 1025.2  23.4  21.9 999.0 99.0  0.01
2004 01 02 17 108  4.6  5.1 99.00 99.00 99.00 999 1024.3  23.6  22.1 999.0 99.0  0.08
2004 01 02 18  65  4.0  4.4 99.00 99.00 99.00 999 1023.6  22.9  22.3 999.0 99.0  0.17
2004 01 02 19  96  4.9  6.0 99.00 99.00 99.00 999 1022.6  23.2  22.5 999.0 99.0  0.28
2004 01 02 20  92  5.5  6.6 99.00 99.00 99.00 999 1022.4  23.4  22.6 999.0 99.0  0.33
2004 01 02 21  93  4.7  5.5 99.00 99.00 99.00 999 1022.2  23.2  22.7 999.0 99.0  0.39
2004 01 02 22  90  4.8  5.7 99.00 99.00 99.00 999 1022.3  23.2  22.6 999.0 99.0  0.44
2004 01 02 23  78  4.4  4.8 99.00 99.00 99.00 999 1022.5  22.9  22.5 999.0 99.0  0.46
2004 01 03 00  73  4.3  5.0 99.00 99.00 99.00 999 1023.0  22.7  22.4 999.0 99.0  0.43
2004 01 03 01  67  4.5  5.3 99.00 99.00 99.00 999 1023.1  22.6  22.4 999.0 99.0  0.31
2004 01 03 02  67  5.3  5.8 99.00 99.00 99.00 999 1023.5  22.5  22.4 999.0 99.0  0.27
2004 01 03 03  65  5.1  5.7 99.00 99.00 99.00 999 1023.7  22.6  22.3 999.0 99.0  0.16
2004 01 03 04  66  5.4  5.9 99.00 99.00 99.00 999 1023.2  22.6  22.3 999.0 99.0  0.08
2004 01 03 05  90  2.7  3.1 99.00 99.00 99.00 999 1022.4  22.5  22.3 999.0 99.0  0.04
2004 01 03 06  62  4.0  4.6 99.00 99.00 99.00 999 1021.9  22.5  22.3 999.0 99.0  0.03
2004 01 03 07  69  4.0  4.3 99.00 99.00 99.00 999 1021.6  22.4  22.2 999.0 99.0 -0.07
2004 01 03 08  79  3.7  4.1 99.00 99.00 99.00 999 1021.2  22.5  22.1 999.0 99.0 -0.17
2004 01 03 09  88  2.7  3.2 99.00 99.00 99.00 999 1021.0  22.4  22.1 999.0 99.0 -0.17
2004 01 03 10  99  4.0  4.6 99.00 99.00 99.00 999 1020.6  22.8  22.1 999.0 99.0 -0.05
2004 01 03 11  93  3.1  3.4 99.00 99.00 99.00 999 1020.7  22.8  22.1 999.0 99.0  0.04
2004 01 03 12 116  6.0  7.0 99.00 99.00 99.00 999 1021.1  23.1  22.1 999.0 99.0  0.09
2004 01 03 13 114  6.0  6.6 99.00 99.00 99.00 999 1021.8  23.4  22.0 999.0 99.0  0.05
2004 01 03 14 112  5.1  5.7 99.00 99.00 99.00 999 1022.6  23.4  22.0 999.0 99.0 -0.02
2004 01 03 15 104  4.5  5.0 99.00 99.00 99.00 999 1023.4  23.6  22.1 999.0 99.0 -0.06
2004 01 03 16 100  4.5  5.2 99.00 99.00 99.00 999 1023.3  23.5  22.2 999.0 99.0  0.02
2004 01 03 17 103  5.3  6.0 99.00 99.00 99.00 999 1022.5  23.6  22.5 999.0 99.0  0.02
2004 01 03 18  93  4.6  5.5 99.00 99.00 99.00 999 1021.7  23.5  22.7 999.0 99.0  0.10
2004 01 03 19  99  5.3  5.9 99.00 99.00 99.00 999 1020.9  23.6  23.0 999.0 99.0  0.23
2004 01 03 20  92  4.5  5.3 99.00 99.00 99.00 999 1020.8  23.7  23.1 999.0 99.0  0.34
2004 01 03 21  94  4.5  5.2 99.00 99.00 99.00 999 1020.9  23.8  23.2 999.0 99.0  0.34
2004 01 03 22 100  5.0  5.5 99.00 99.00 99.00 999 1020.8  23.8  23.2 999.0 99.0  0.43
2004 01 03 23  97  4.6  5.6 99.00 99.00 99.00 999 1020.7  23.5  23.2 999.0 99.0  0.48
2004 01 04 00  95  3.6  4.2 99.00 99.00 99.00 999 1020.7  23.3  23.0 999.0 99.0  0.50
2004 01 04 01  79  3.4  4.1 99.00 99.00 99.00 999 1021.1  23.3  22.9 999.0 99.0  0.40
2004 01 04 02  87  3.9  4.3 99.00 99.00 99.00 999 1021.1  23.4  22.8 999.0 99.0  0.28
2004 01 04 03  98  3.6  4.2 99.00 99.00 99.00 999 1021.1  23.2  22.8 999.0 99.0  0.27
2004 01 04 04 112  7.3  8.3 99.00 99.00 99.00 999 1020.9  23.8  22.9 999.0 99.0  0.17
2004 01 04 05 121  7.7  8.6 99.00 99.00 99.00 999 1020.3  23.9  22.9 999.0 99.0  0.12
2004 01 04 06 120  6.2  7.2 99.00 99.00 99.00 999 1019.8  24.0  22.8 999.0 99.0  0.07
2004 01 04 07 126  7.5  9.1 99.00 99.00 99.00 999 1019.6  24.2  22.8 999.0 99.0  0.02
2004 01 04 08 119  6.5  7.5 99.00 99.00 99.00 999 1019.3  24.0  22.8 999.0 99.0 -0.11
