YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00  69  5.4  5.9 99.00 99.00 99.00 999 1023.9  21.5  20.6  19.6 99.0  0.16
2005 01 01 01 00  77  6.3  6.8 99.00 99.00 99.00 999 1024.3  21.6  20.5  19.4 99.0  0.23
2005 01 01 02 00  81  7.5  8.8 99.00 99.00 99.00 999 1024.5  21.9  20.5  19.3 99.0  0.26
2005 01 01 03 00  90  7.6  8.4 99.00 99.00 99.00 999 1024.5  22.1  20.4  19.0 99.0  0.28
2005 01 01 04 00  98  8.3  9.1 99.00 99.00 99.00 999 1024.8  22.5  20.5  18.3 99.0  0.38
2005 01 01 05 00  86  7.1  8.2 99.00 99.00 99.00 999 1024.6  21.9  20.5  18.7 99.0  0.42
2005 01 01 06 00  88  7.7  8.8 99.00 99.00 99.00 999 1023.9  22.1  20.5  18.8 99.0  0.42
2005 01 01 07 00  88  7.0  8.2 99.00 99.00 99.00 999 1023.6  21.8  20.5  18.8 99.0  0.36
2005 01 01 08 00  99  6.9  7.6 99.00 99.00 99.00 999 1023.2  22.1  20.4  18.6 99.0  0.23
2005 01 01 09 00  84  6.6  7.2 99.00 99.00 99.00 999 1023.0  21.8  20.4  18.0 99.0  0.15
2005 01 01 10 00  66  5.7  6.3 99.00 99.00 99.00 999 1023.0  21.4  20.3  18.3 99.0  0.10
2005 01 01 11 00  59  5.6  6.0 99.00 99.00 99.00 999 1023.4  21.1  20.3  18.4 99.0  0.04
2005 01 01 12 00  47  5.4  5.9 99.00 99.00 99.00 999 1024.3  20.9  20.3  18.1 99.0  0.01
2005 01 01 13 00  36  5.4  6.2 99.00 99.00 99.00 999 1025.0  20.9  20.2  17.7 99.0 -0.03
2005 01 01 14 00  15  4.2  4.6 99.00 99.00 99.00 999 1026.0  20.7  20.2  17.7 99.0 -0.10
2005 01 01 15 00  26  4.3  4.7 99.00 99.00 99.00 999 1026.3  20.8  20.2  17.9 99.0 -0.10
2005 01 01 16 00  41  3.8  4.6 99.00 99.00 99.00 999 1026.2  21.3  20.3  18.4 99.0  0.07
2005 01 01 17 00  51  5.3  6.0 99.00 99.00 99.00 999 1025.5  22.0  20.5  18.1 99.0  0.20
2005 01 01 18 00  62  6.3  6.9 99.00 99.00 99.00 999 1024.7  22.2  20.7  17.7 99.0  0.26
2005 01 01 19 00  53  5.4  5.8 99.00 99.00 99.00 999 1024.2  22.2  20.8  17.7 99.0  0.25
2005 01 01 20 00  48  4.9  5.6 99.00 99.00 99.00 999 1023.9  22.2  20.9  17.9 99.0  0.16
2005 01 01 21 00  63  6.2  7.3 99.00 99.00 99.00 999 1023.8  22.3  21.0  18.4 99.0  0.07
2005 01 01 22 00  51  6.5  7.4 99.00 99.00 99.00 999 1024.0  22.3  21.1  18.2 99.0  0.12
2005 01 01 23 00  65  5.9  6.7 99.00 99.00 99.00 999 1024.1  21.9  21.0  18.8 99.0  0.13
