#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 00  80  1.5  1.8 99.00 99.00 99.00 999 1020.2  20.5  19.7 999.0 99.0 99.00
2010 01 01 01 00  68  1.2  1.3 99.00 99.00 99.00 999 1020.6  20.5  19.4 999.0 99.0 99.00
2010 01 01 02 00  95  1.1  1.1 99.00 99.00 99.00 999 1020.4  21.3  19.4 999.0 99.0 99.00
2010 01 01 03 00  76  1.8  1.9 99.00 99.00 99.00 999 1020.6  21.1  19.5 999.0 99.0 99.00
2010 01 01 04 00 100  1.2  1.3 99.00 99.00 99.00 999 1020.1  21.2  19.7 999.0 99.0 99.00
2010 01 01 05 00 115  0.6  0.6 99.00 99.00 99.00 999 1019.7  21.4  19.6 999.0 99.0 99.00
2010 01 01 06 00  54  1.0  1.1 99.00 99.00 99.00 999 1019.2  21.0  19.3 999.0 99.0 99.00
2010 01 01 07 00  23  1.3  1.4 99.00 99.00 99.00 999 1018.7  20.4  19.3 999.0 99.0 99.00
2010 01 01 08 00  54  1.4  1.5 99.00 99.00 99.00 999 1018.1  20.1  19.5 999.0 99.0 99.00
2010 01 01 09 00  42  1.4  1.5 99.00 99.00 99.00 999 1017.6  19.8  19.7 999.0 99.0 99.00
2010 01 01 10 00   0  0.0  0.0 99.00 99.00 99.00 999 1017.2  20.0  19.5 999.0 99.0 99.00
2010 01 01 11 00 207  0.7  0.8 99.00 99.00 99.00 999 1017.1  20.4  19.2 999.0 99.0 99.00
2010 01 01 12 00 183  2.4  2.5 99.00 99.00 99.00 999 1017.1  20.8  19.1 999.0 99.0 99.00
2010 01 01 13 00 263  0.9  1.0 99.00 99.00 99.00 999 1017.5  21.8  19.1 999.0 99.0 99.00
2010 01 01 14 00 228  2.1  2.2 99.00 99.00 99.00 999 1017.8  21.9  19.4 999.0 99.0 99.00
2010 01 01 15 00 233  2.4  2.6 99.00 99.00 99.00 999 1018.1  22.2  19.6 999.0 99.0 99.00
2010 01 01 16 00 234  4.3  4.7 99.00 99.00 99.00 999 1017.8  22.6  19.8 999.0 99.0 99.00
2010 01 01 17 00 254  4.5  5.9 99.00 99.00 99.00 999 1017.1  22.1  20.0 999.0 99.0 99.00
2010 01 01 18 00 266  5.4  6.0 99.00 99.00 99.00 999 1016.5  22.3  20.3 999.0 99.0 99.00
2010 01 01 19 00 257  3.6  4.2 99.00 99.00 99.00 999 1015.4  22.5  20.5 999.0 99.0 99.00
2010 01 01 20 00 274  4.1  4.4 99.00 99.00 99.00 999 1015.4  22.1  20.7 999.0 99.0 99.00
2010 01 01 21 00 290  4.0  4.5 99.00 99.00 99.00 999 1015.5  21.4  20.8 999.0 99.0 99.00
2010 01 01 22 00 290  8.0  9.2 99.00 99.00 99.00 999 1016.0  20.0  20.6 999.0 99.0 99.00
2010 01 01 23 00 311  5.3  5.9 99.00 99.00 99.00 999 1015.8  19.8  20.5 999.0 99.0 99.00
2010 01 02 00 00 316  3.9  4.4 99.00 99.00 99.00 999 1016.1  19.8  20.5 999.0 99.0 99.00
2010 01 02 01 00 328  5.9  6.9 99.00 99.00 99.00 999 1016.5  19.8  20.6 999.0 99.0 99.00
2010 01 02 02 00 342  9.5 11.0 99.00 99.00 99.00 999 1016.9  19.7  20.7 999.0 99.0 99.00
2010 01 02 03 00 344 10.4 11.8 99.00 99.00 99.00 999 1017.9  18.8  20.6 999.0 99.0 99.00
2010 01 02 04 00 352 10.2 11.6 99.00 99.00 99.00 999 1018.3  17.5  20.5 999.0 99.0 99.00
2010 01 02 05 00   2 11.0 12.6 99.00 99.00 99.00 999 1018.3  16.4  20.4 999.0 99.0 99.00
2010 01 02 06 00 356 11.9 13.8 99.00 99.00 99.00 999 1018.4  15.6  20.2 999.0 99.0 99.00
2010 01 02 07 00 357 12.1 14.0 99.00 99.00 99.00 999 1018.5  14.4  19.8 999.0 99.0 99.00
2010 01 02 08 00 352 13.6 15.9 99.00 99.00 99.00 999 1018.0  13.9  19.3 999.0 99.0 99.00
2010 01 02 09 00 357 13.0 14.1 99.00 99.00 99.00 999 1018.2  13.6  19.1 999.0 99.0 99.00
2010 01 02 10 00 357 11.2 12.9 99.00 99.00 99.00 999 1018.4  13.4  18.9 999.0 99.0 99.00
2010 01 02 11 00   1 11.1 12.8 99.00 99.00 99.00 999 1019.0  12.5  18.8 999.0 99.0 99.00
2010 01 02 12 00   7  9.9 11.8 99.00 99.00 99.00 999 1019.6  11.9  18.7 999.0 99.0 99.00
2010 01 02 13 00 357 10.7 12.1 99.00 99.00 99.00 999 1020.3  10.9  18.5 999.0 99.0 99.00
2010 01 02 14 00   1  9.8 11.2 99.00 99.00 99.00 999 1021.1  11.2  18.3 999.0 99.0 99.00
2010 01 02 15 00   4  7.8  8.6 99.00 99.00 99.00 999 1021.6  11.2  18.3 999.0 99.0 99.00
2010 01 02 16 00 359  6.4  7.9 99.00 99.00 99.00 999 1021.3  11.6  18.2 999.0 99.0 99.00
2010 01 02 17 00 355  6.6  8.1 99.00 99.00 99.00 999 1020.7  12.3  18.2 999.0 99.0 99.00
2010 01 02 18 00   9  5.9  6.4 99.00 99.00 99.00 999 1019.8  13.4  18.3 999.0 99.0 99.00
2010 01 02 19 00  13  6.7  7.8 99.00 99.00 99.00 999 1019.0  14.5  18.5 999.0 99.0 99.00
2010 01 02 20 00  25  7.4  9.0 99.00 99.00 99.00 999 1018.7  15.2  18.6 999.0 99.0 99.00
2010 01 02 21 00  20  5.9  7.3 99.00 99.00 99.00 999 1018.7  15.9  18.6 999.0 99.0 99.00
2010 01 02 22 00  13  6.6  7.8 99.00 99.00 99.00 999 1018.9  16.4  18.5 999.0 99.0 99.00
2010 01 02 23 00  24  7.6  8.1 99.00 99.00 99.00 999 1019.3  16.4  18.3 999.0 99.0 99.00
2010 01 03 00 00  16  7.4  8.4 99.00 99.00 99.00 999 1019.5  16.0  18.1 999.0 99.0 99.00
2010 01 03 01 00  15  8.5  9.8 99.00 99.00 99.00 999 1019.9  15.5  17.9 999.0 99.0 99.00
2010 01 03 02 00  11  9.1 10.9 99.00 99.00 99.00 999 1019.9  14.6  17.9 999.0 99.0 99.00
2010 01 03 03 00  13  9.2 10.8 99.00 99.00 99.00 999 1020.3  14.7  17.8 999.0 99.0 99.00
2010 01 03 04 00  10  9.9 10.9 99.00 99.00 99.00 999 1020.5  14.2  17.6 999.0 99.0 99.00
2010 01 03 05 00   6  8.6 10.0 99.00 99.00 99.00 999 1020.4  13.6  17.4 999.0 99.0 99.00
2010 01 03 06 00  16  9.0  9.8 99.00 99.00 99.00 999 1019.9  13.4  17.3 999.0 99.0 99.00
2010 01 03 07 00  17  8.3  9.0 99.00 99.00 99.00 999 1019.5  13.1  17.1 999.0 99.0 99.00
2010 01 03 08 00   9 10.2 11.1 99.00 99.00 99.00 999 1018.9  12.8  16.9 999.0 99.0 99.00
2010 01 03 09 00  12  9.1 10.7 99.00 99.00 99.00 999 1018.7  12.8  16.8 999.0 99.0 99.00
2010 01 03 10 00   7  9.9 10.6 99.00 99.00 99.00 999 1018.7  11.8  16.5 999.0 99.0 99.00
2010 01 03 11 00  15  8.6  9.6 99.00 99.00 99.00 999 1018.8  11.5  16.3 999.0 99.0 99.00
