#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 00  83  1.8  2.1 99.00 99.00 99.00 999 1021.9  24.6  25.2  20.2 99.0 99.00
2015 01 01 01 00  31  2.4  2.6 99.00 99.00 99.00 999 1022.4  24.7  25.2  20.1 99.0 99.00
2015 01 01 02 00  55  5.5  5.8 99.00 99.00 99.00 999 1022.6  23.8  25.1  20.1 99.0 99.00
2015 01 01 03 00 350  2.5  2.9 99.00 99.00 99.00 999 1022.7  24.0  25.1  20.2 99.0 99.00
2015 01 01 04 00  36  5.4  5.9 99.00 99.00 99.00 999 1022.3  23.9  25.1  20.5 99.0 99.00
2015 01 01 05 00  41  5.0  5.5 99.00 99.00 99.00 999 1021.7  23.6  25.1  20.0 99.0 99.00
2015 01 01 06 00  14  4.5  5.4 99.00 99.00 99.00 999 1021.4  23.0  25.1  20.5 99.0 99.00
2015 01 01 07 00   4  6.0  6.6 99.00 99.00 99.00 999 1021.2  22.7  25.0  20.5 99.0 99.00
2015 01 01 08 00  18  3.8  4.3 99.00 99.00 99.00 999 1020.8  22.9  24.9  20.5 99.0 99.00
2015 01 01 09 00  53  2.5  3.2 99.00 99.00 99.00 999 1020.5  23.3  24.8  20.8 99.0 99.00
2015 01 01 10 00  21  4.2  4.9 99.00 99.00 99.00 999 1020.8  23.1  24.8  20.7 99.0 99.00
2015 01 01 11 00  23  4.6  5.2 99.00 99.00 99.00 999 1021.6  22.7  24.8  20.8 99.0 99.00
2015 01 01 12 00  35  4.4  4.9 99.00 99.00 99.00 999 1022.1  22.3  24.7  20.6 99.0 99.00
2015 01 01 13 00  49  3.5  4.2 99.00 99.00 99.00 999 1022.6  22.6  24.6  20.8 99.0 99.00
2015 01 01 14 00  14  3.2  4.1 99.00 99.00 99.00 999 1023.2  23.1  24.6  20.7 99.0 99.00
2015 01 01 15 00  37  3.9  4.7 99.00 99.00 99.00 999 1023.4  23.1  24.6  20.9 99.0 99.00
2015 01 01 16 00  13  3.3  3.8 99.00 99.00 99.00 999 1023.3  23.5  24.8  21.2 99.0 99.00
2015 01 01 17 00  86  2.5  3.0 99.00 99.00 99.00 999 1022.7  23.9  25.0  21.4 99.0 99.00
2015 01 01 18 00  80  1.6  3.6 99.00 99.00 99.00 999 1021.5  25.6  25.2  20.4 99.0 99.00
2015 01 01 19 00 106  4.4  5.0 99.00 99.00 99.00 999 1020.6  25.1  25.4  19.7 99.0 99.00
2015 01 01 20 00 117  4.6  5.3 99.00 99.00 99.00 999 1020.4  25.1  25.4  19.6 99.0 99.00
2015 01 01 21 00  85  4.7  5.4 99.00 99.00 99.00 999 1020.5  25.1  25.6  19.6 99.0 99.00
2015 01 01 22 00  90  4.5  5.0 99.00 99.00 99.00 999 1020.5  24.9  25.5  19.7 99.0 99.00
2015 01 01 23 00 115  4.9  5.8 99.00 99.00 99.00 999 1020.9  24.9  25.4  20.0 99.0 99.00
2015 01 02 00 00 101  4.6  5.1 99.00 99.00 99.00 999 1021.4  25.0  25.2  20.3 99.0 99.00
2015 01 02 01 00  94  6.3  7.1 99.00 99.00 99.00 999 1021.9  25.0  25.1  20.6 99.0 99.00
2015 01 02 02 00 103  5.9  6.6 99.00 99.00 99.00 999 1022.3  25.0  25.1  20.6 99.0 99.00
2015 01 02 03 00  91  5.7  6.1 99.00 99.00 99.00 999 1022.4  24.9  25.1  20.7 99.0 99.00
2015 01 02 04 00 113  4.7  5.1 99.00 99.00 99.00 999 1022.6  25.0  25.0  20.4 99.0 99.00
2015 01 02 05 00 117  4.4  5.1 99.00 99.00 99.00 999 1022.2  24.9  25.0  20.5 99.0 99.00
2015 01 02 06 00 116  4.3  4.7 99.00 99.00 99.00 999 1022.0  24.9  25.0  20.5 99.0 99.00
2015 01 02 07 00 115  4.4  5.4 99.00 99.00 99.00 999 1021.8  24.9  25.0  21.0 99.0 99.00
2015 01 02 08 00 124  4.7  5.3 99.00 99.00 99.00 999 1021.6  24.9  24.9  21.0 99.0 99.00
2015 01 02 09 00 106  3.9  4.4 99.00 99.00 99.00 999 1021.4  24.9  24.8  21.4 99.0 99.00
2015 01 02 10 00 121  5.4  6.1 99.00 99.00 99.00 999 1021.5  24.9  24.7  21.0 99.0 99.00
2015 01 02 11 00 116  4.7  5.0 99.00 99.00 99.00 999 1022.0  24.9  24.7  21.2 99.0 99.00
2015 01 02 12 00 116  4.9  5.4 99.00 99.00 99.00 999 1022.6  25.0  24.7  21.5 99.0 99.00
2015 01 02 13 00 121  6.0  6.7 99.00 99.00 99.00 999 1023.2  25.2  24.7  21.1 99.0 99.00
2015 01 02 14 00 112  5.3  5.9 99.00 99.00 99.00 999 1023.9  25.5  24.7  21.2 99.0 99.00
2015 01 02 15 00 109  7.1  7.6 99.00 99.00 99.00 999 1024.3  25.7  24.7  20.6 99.0 99.00
2015 01 02 16 00 121  6.9  8.0 99.00 99.00 99.00 999 1023.8  25.7  24.8  21.1 99.0 99.00
2015 01 02 17 00 118  6.1  7.2 99.00 99.00 99.00 999 1023.0  25.8  25.0  21.4 99.0 99.00
2015 01 02 18 00 111  7.4  8.0 99.00 99.00 99.00 999 1022.2  25.7  25.2  21.0 99.0 99.00
2015 01 02 19 00 124  6.8  7.8 99.00 99.00 99.00 999 1021.5  25.8  25.3  21.2 99.0 99.00
2015 01 02 20 00 117  6.5  7.2 99.00 99.00 99.00 999 1021.3  25.9  25.5  21.3 99.0 99.00
2015 01 02 21 00 130  7.4  8.1 99.00 99.00 99.00 999 1021.4  25.9  25.6  20.9 99.0 99.00
2015 01 02 22 00 117  6.5  8.2 99.00 99.00 99.00 999 1021.5  25.7  25.7  20.9 99.0 99.00
2015 01 02 23 00 119  6.2  7.3 99.00 99.00 99.00 999 1021.8  25.4  25.6  21.3 99.0 99.00
2015 01 03 00 00 115  7.2  7.8 99.00 99.00 99.00 999 1022.1  25.3  25.4  21.1 99.0 99.00
2015 01 03 01 00 110  8.3  9.0 99.00 99.00 99.00 999 1022.4  25.3  25.3  21.4 99.0 99.00
2015 01 03 02 00 113  8.6 10.0 99.00 99.00 99.00 999 1022.4  25.3  25.2  21.2 99.0 99.00
2015 01 03 03 00 108  9.4 10.4 99.00 99.00 99.00 999 1022.5  25.4  25.2  20.9 99.0 99.00
2015 01 03 04 00 114  9.0 10.1 99.00 99.00 99.00 999 1022.3  25.4  25.1  21.5 99.0 99.00
2015 01 03 05 00 120  7.9  9.4 99.00 99.00 99.00 999 1022.2  25.4  25.0  21.7 99.0 99.00
2015 01 03 06 00 119  7.5  8.4 99.00 99.00 99.00 999 1021.8  25.4  24.9  21.8 99.0 99.00
2015 01 03 07 00 125  6.9  8.3 99.00 99.00 99.00 999 1021.7  25.3  24.8  21.7 99.0 99.00
2015 01 03 08 00 125  7.1  8.2 99.00 99.00 99.00 999 1021.5  25.3  24.8  21.7 99.0 99.00
2015 01 03 09 00 127  7.1  7.8 99.00 99.00 99.00 999 1021.8  25.3  24.7  21.8 99.0 99.00
2015 01 03 10 00 124  7.7  8.9 99.00 99.00 99.00 999 1021.9  25.3  24.7  21.5 99.0 99.00
2015 01 03 11 00 125  7.5  8.7 99.00 99.00 99.00 999 1022.1  25.3  24.6  21.7 99.0 99.00
2015 01 03 12 00 127  7.7  8.3 99.00 99.00 99.00 999 1022.8  25.3  24.6  21.4 99.0 99.00
2015 01 03 13 00 127  7.7  8.8 99.00 99.00 99.00 999 1023.3  25.4  24.6  21.5 99.0 99.00
2015 01 03 14 00 112  8.1  9.2 99.00 99.00 99.00 999 1024.1  25.9  24.6  21.3 99.0 99.00
2015 01 03 15 00 120  7.5  9.3 99.00 99.00 99.00 999 1024.2  26.1  24.7  21.3 99.0 99.00
2015 01 03 16 00 134  8.6  9.9 99.00 99.00 99.00 999 1023.8  25.9  24.8  21.6 99.0 99.00
2015 01 03 17 00 130  8.8 10.1 99.00 99.00 99.00 999 1023.2  25.9  25.0  21.8 99.0 99.00
2015 01 03 18 00 136  7.9  9.1 99.00 99.00 99.00 999 1022.3  26.3  25.3  21.8 99.0 99.00
2015 01 03 19 00 132  8.0  9.3 99.00 99.00 99.00 999 1021.9  26.2  25.4  21.7 99.0 99.00
2015 01 03 20 00 131  8.6 10.2 99.00 99.00 99.00 999 1021.7  26.4  25.5  21.9 99.0 99.00
