Date,MC TN (µM),AC TN (µM),MC FIU TP (µM),AC FIU TP (µM),MC Sal (ppt),AC Sal (ppt)
11/16/2008,46.08,,0.36,,21.3,
11/18/2008,,,,,,
11/19/2008,47.54,,0.40,,17.3,
11/21/2008,,,,,,
11/22/2008,45.27,,0.46,,16.9,
11/24/2008,,,,,,
11/25/2008,36.04,,0.50,,18.2,
11/27/2008,,,,,,
11/28/2008,37.88,,0.49,,23.3,
11/30/2008,,,,,,
12/1/2008,35.38,,0.44,,26.1,
12/3/2008,,,,,,
12/4/2008,41.50,,0.45,,20.0,
12/6/2008,,,,,,
12/7/2008,37.39,,0.42,,18.7,
12/9/2008,39.63,,0.39,,18.4,
12/12/2008,45.26,,0.29,,22.7,
12/15/2008,49.98,,0.46,,20.0,
12/18/2008,43.73,,0.44,,19.5,
12/21/2008,48.77,,,,19.2,
12/24/2008,39.53,,0.38,,18.2,
12/27/2008,45.19,,0.73,,19.1,
12/30/2008,40.25,,0.60,,18.7,
1/2/2009,38.83,,0.66,,19.1,
1/5/2009,39.74,,0.56,,20.8,
1/7/2009,,,,,,
1/8/2009,39.07,,0.67,,23.7,
1/11/2009,38.80,,0.52,,20.9,
1/13/2009,40.66,,0.49,,22.7,
1/14/2009,,,,,,
1/16/2009,,,,,20.1,
1/17/2009,,,,,,
1/19/2009,,,,,18.9,
1/20/2009,,,,,,
1/22/2009,,,,,19.4,
1/23/2009,,,,,,
1/25/2009,116.39,,,,19.2,
1/26/2009,,,,,,
1/28/2009,,,,,23.0,
1/29/2009,,,,,,
1/31/2009,,,,,26.8,
2/1/2009,,,,,,
2/3/2009,118.43,,,,22.6,
2/4/2009,,,,,,
2/6/2009,,,,,21.3,
2/7/2009,,,,,,
2/9/2009,126.47,,,,20.3,
2/10/2009,,,,,,
2/12/2009,112.91,,0.63,,30.9,
2/13/2009,,,,,,
2/15/2009,,,,,34.8,
2/16/2009,,,,,,
2/17/2009,,,,,,
2/18/2009,,,,,27.2,
2/19/2009,,,,,,
2/20/2009,,,,,,
2/21/2009,123.87,,1.07,,30.6,
2/22/2009,,,,,,
2/23/2009,,,,,,
2/24/2009,,,,,30.1,
2/25/2009,,,,,,
2/26/2009,,,,,,
2/27/2009,107.03,,0.99,,30.6,
2/28/2009,,,,,,
3/1/2009,,,,,,
3/2/2009,95.55,,0.72,,35.5,
3/3/2009,,,,,,
3/5/2009,105.77,,0.65,,32.4,
3/6/2009,,,,,,
3/8/2009,94.77,,0.62,,35.6,
3/9/2009,,,,,,
3/11/2009,74.96,,0.49,,40.8,
3/12/2009,,,,,,
3/14/2009,71.37,,0.39,,41.5,
3/15/2009,,,,,,
3/17/2009,85.61,,0.58,,40.8,
3/18/2009,,,,,,
3/20/2009,97.19,,0.52,,35.1,
3/21/2009,,46.13,,0.82,,50.6
3/23/2009,103.60,,1.89,,32.1,
3/24/2009,106.44,47.50,1.79,0.56,32.0,46.7
3/27/2009,51.38,46.96,0.46,0.33,37.8,49.3
3/30/2009,67.00,46.54,0.28,0.67,38.0,48.8
4/2/2009,80.85,46.89,0.26,0.47,39.5,46.4
4/5/2009,84.63,48.09,0.31,0.52,38.9,45.7
4/8/2009,84.90,49.50,0.48,0.62,37.9,49.0
4/11/2009,92.32,49.50,0.59,0.58,38.4,52.1
4/13/2009,89.55,,0.48,,39.5,
4/14/2009,,47.40,,0.47,,53.1
4/17/2009,48.76,46.46,0.39,0.70,40.7,55.2
4/20/2009,49.24,49.51,0.41,0.68,38.6,57.9
4/21/2009,,,,,,
4/23/2009,49.37,50.44,0.33,0.60,46.4,58.4
4/24/2009,,50.39,,0.67,,60.9
4/26/2009,49.48,,0.66,,41.8,
4/27/2009,,48.43,,1.29,,62.3
4/29/2009,49.18,,0.65,,40.6,
4/30/2009,,49.28,,0.69,,65.3
5/2/2009,49.62,,0.74,,44.7,
5/3/2009,,49.14,,0.48,,69.7
5/5/2009,49.06,,0.38,,47.7,
5/6/2009,,48.02,,0.51,,68.7
5/7/2009,49.66,,0.31,,49.2,
5/9/2009,,45.81,,0.44,,65.5
5/10/2009,64.19,,0.27,,49.0,
5/12/2009,,46.57,,0.46,,64.7
5/13/2009,65.55,,0.27,,50.5,
5/15/2009,,48.44,,0.46,,65.7
5/16/2009,67.40,,0.28,,51.3,
5/18/2009,,47.25,,0.58,,65.1
5/19/2009,89.77,47.86,0.29,0.57,51.5,60.8
5/21/2009,,,,,,
5/22/2009,97.10,36.64,0.44,0.45,49.1,60.1
5/24/2009,,,,,,
5/25/2009,89.56,49.06,0.24,0.64,48.4,59.3
5/26/2009,,,,,,
5/28/2009,65.40,40.55,0.29,0.94,47.2,60.7
5/29/2009,,,,,,
5/31/2009,51.24,38.43,0.26,0.34,45.6,57.3
6/1/2009,,,,,,
6/3/2009,43.52,35.82,0.36,1.45,44.0,52.3
6/4/2009,,,,,,
6/6/2009,58.89,60.61,0.50,1.74,43.0,48.1
6/7/2009,,,,,,
6/9/2009,41.21,74.44,0.53,1.13,42.0,38.5
6/10/2009,,,,,,
6/12/2009,55.33,75.29,0.66,1.25,40.9,39.4
6/13/2009,,,,,,
6/15/2009,,91.91,0.83,1.05,40.9,37.9
6/16/2009,55.91,,0.72,,39.0,
6/18/2009,,96.97,,0.67,,35.3
6/19/2009,116.43,,0.95,,38.4,
6/21/2009,,85.42,,0.72,,33.3
6/22/2009,107.92,82.99,0.39,0.62,37.6,33.3
6/24/2009,,,,,,
6/25/2009,92.93,178.18,0.31,0.94,37.8,30.3
6/27/2009,,,,,,
6/28/2009,87.61,171.11,0.41,0.61,38.6,32.0
6/30/2009,,,,,,
7/1/2009,111.85,154.49,0.48,0.69,36.6,33.7
7/3/2009,,,,,,
7/4/2009,118.70,77.60,0.51,0.90,35.5,32.5
7/6/2009,,,,,,
7/7/2009,115.85,72.55,0.58,1.29,34.6,34.1
7/9/2009,152.27,,,,34.5,
7/10/2009,,74.51,,1.02,,34.4
7/12/2009,56.10,,0.47,,34.6,
7/13/2009,,63.64,,1.27,,34.4
7/15/2009,56.21,,0.40,,34.2,
7/16/2009,,48.25,,1.29,,32.8
7/18/2009,92.16,,0.08,,34.3,
7/19/2009,,84.58,,1.62,,33.2
7/20/2009,,76.37,,1.62,,33.7
7/21/2009,113.65,,,,34.3,
7/22/2009,,,,,,
7/23/2009,,242.33,,2.56,,30.2
7/24/2009,113.53,,0.71,,33.8,
7/25/2009,,,,,,
7/26/2009,,143.72,,3.51,,27.7
7/27/2009,115.22,,0.48,,34.6,
7/28/2009,,,,,,
7/29/2009,,184.39,,2.16,,23.1
7/30/2009,97.99,,,,33.7,
7/31/2009,,,,,,
8/1/2009,,130.07,,1.88,,24.0
8/2/2009,29.03,,0.62,,33.1,
8/3/2009,,,,,,
8/4/2009,,111.82,,1.80,,25.0
8/5/2009,59.12,,0.50,,33.2,
8/6/2009,,,,,,
8/7/2009,,126.17,,1.92,,25.7
8/8/2009,43.42,,0.54,,33.2,
8/9/2009,,,,,,
8/10/2009,,127.74,,1.63,,25.7
8/11/2009,,,0.52,,32.1,
8/12/2009,,,,,,
8/13/2009,,109.95,,1.70,,26.0
8/14/2009,38.11,,0.45,,32.1,
8/16/2009,,103.57,,1.37,,25.3
8/17/2009,36.89,,0.36,,33.1,
8/19/2009,,115.58,,1.82,,24.8
8/20/2009,,109.76,0.49,1.17,32.5,25.2
8/23/2009,48.13,164.38,0.34,1.30,35.5,29.5
8/26/2009,38.34,136.61,0.51,1.65,33.4,27.3
8/29/2009,48.61,150.34,0.53,1.46,30.6,26.7
8/31/2009,38.54,,0.70,,29.2,
9/1/2009,,119.03,,1.17,,26.9
9/3/2009,,,,,,
9/4/2009,46.79,110.17,0.31,1.18,26.2,22.8
9/6/2009,,,,,,
9/7/2009,43.25,107.56,0.50,1.42,25.4,17.0
9/9/2009,,,,,,
9/10/2009,48.79,104.14,0.42,1.47,23.9,17.9
9/12/2009,,,,,,
9/13/2009,46.37,103.27,0.40,1.32,23.5,19.5
9/15/2009,,,,,,
9/16/2009,45.17,106.45,0.58,1.17,21.7,18.2
9/18/2009,,,,,,
9/19/2009,48.00,100.63,0.72,1.45,18.7,17.9
9/21/2009,,,,,,
9/22/2009,288.53,97.29,0.83,1.82,16.2,14.8
9/23/2009,,81.51,,1.96,,15.3
9/24/2009,,,,,,
9/25/2009,157.76,,0.65,,14.5,
9/26/2009,,40.18,,1.99,,14.3
9/27/2009,,,,,,
9/28/2009,183.02,,0.53,,12.6,
9/29/2009,,34.39,,1.87,,15.6
9/30/2009,,,,,,
10/1/2009,147.82,,0.56,,11.3,
10/2/2009,,,,1.24,,15.1
10/3/2009,,,,,,
10/4/2009,146.28,,0.64,,11.1,
10/5/2009,,47.27,,1.26,,16.6
10/6/2009,,,,,,
10/7/2009,204.49,,0.62,,11.0,
