Date,MC TN (µM),AC TN (µM),AC FIU TP (µM),MC FIU TP (µM),MC N&N (µM),AC N&N (µM),MC NO3 (µM),AC NO3 (µM),MC NO2 (µM),AC NO2 (µM),MC NH4 (µM),AC NH4 (µM),MC SRP (µM),AC SRP (µM),MC DOC (µM),AC DOC (µM),MC Sal (ppt),AC Sal (ppt)
12/9/2008,35.515,,,0.505,2.122,,1.896,,0.226,,8.928,,0.036,,1461.667,,18.9,
1/13/2009,42.334,,,0.380,0.851,,0.738,,0.113,,5.527,,0.025,,1250.000,,26.2,
2/19/2009,,,,,,,,,,,,,,,,,,
3/24/2009,97.178,,,0.938,0.470,,0.300,,0.170,,5.770,,0.026,,1400.833,,33.7,
4/14/2009,87.205,,,0.333,0.599,,0.369,,0.230,,8.794,,0.036,,1298.333,,42.7,
4/24/2009,,50.320,0.629,,,2.094,,1.991,,0.103,,13.820,,0.183,,1856.667,,63.8
5/7/2009,49.215,,,0.249,1.160,,0.947,,0.213,,9.787,,0.060,,1260.833,,50.6,
5/19/2009,,47.800,0.544,,,2.418,,2.159,,0.259,,6.857,,0.108,,1611.667,,59.2
6/16/2009,94.525,,,0.607,0.333,,0.214,,0.119,,4.099,,0.031,,1392.500,,41,
6/22/2009,,94.455,0.819,,,0.321,,0.138,,0.183,,10.260,,0.019,,2113.333,,36.0
7/9/2009,96.973,,,0.500,2.717,,2.217,,0.500,,2.749,,0.163,,1797.083,,36.4,
7/20/2009,,64.508,1.299,,,0.133,,0.066,,0.067,,0.942,,0.058,,1523.333,,33.5
8/11/2009,121.096,,,0.294,0.550,,0.455,,0.094,,3.667,,0.009,,1837.500,,31.5,
8/20/2009,,115.043,1.069,,,0.894,,0.722,,0.172,,0.959,,0.032,,1405.000,,27.1
9/1/2009,42.475,,,0.595,0.688,,0.597,,0.090,,1.829,,0.043,,1930.833,,28.3,
9/23/2009,,86.482,3.173,,,1.070,,0.641,,0.429,,13.851,,0.084,,1476.667,,13.1
10/8/2009,,44.796,,,,1.328,,1.036,,0.291,,12.496,,0.024,,2846.833,,17.4
10/9/2009,155.413,,,0.719,1.146,,0.754,,0.392,,24.412,,0.042,,2018.500,,11.1,
11/19/2009,,87.494,1.527,,,0.105,,0.054,,0.051,,2.297,,0.058,,2035.000,,35.5
11/30/2009,124.456,,,0.269,0.490,,0.352,,0.137,,3.964,,0.050,,1364.167,,14.4,
12/16/2009,124.335,,,0.273,0.717,,0.624,,0.093,,5.875,,0.147,,1512.500,,12.5,
12/17/2009,,105.325,1.443,,,1.626,,1.571,,0.055,,0.955,,0.138,,2215.833,,18.8
1/21/2010,,149.408,0.785,,,1.015,,0.941,,0.074,,3.329,,0.090,,2021.667,,15.5
1/22/2010,94.716,,,0.652,1.425,,1.031,,0.394,,15.946,,0.082,,1188.333,,19.2,
2/11/2010,,,1.090,,,0.780,,0.675,,0.105,,5.817,,0.160,,2035.833,,14.6
2/22/2010,126.260,,,0.889,1.931,,1.591,,0.340,,20.515,,0.107,,1065.000,,17.6,
3/18/2010,186.469,,,1.874,0.887,,0.698,,0.189,,7.644,,0.128,,1125.000,,13.6,
3/19/2010,,,2.839,,,1.255,,1.098,,0.157,,5.289,,0.245,,2420.833,,15.7
4/9/2010,,,3.887,,,0.692,,0.382,,0.310,,6.906,,0.207,,2631.500,,26.1
4/20/2010,190.741,,,0.141,0.902,,0.716,,0.186,,8.106,,0.040,,1179.167,,25.3,
5/3/2010,98.328,,,0.301,1.193,,0.922,,0.270,,6.342,,0.014,,1124.167,,28.2,
5/6/2010,,80.251,1.086,,,0.480,,0.209,,0.271,,,,0.019,,1680.833,,43.7
6/9/2010,93.245,,,0.249,0.941,,0.745,,0.196,,7.737,,0.037,,1225.833,,30.4,
6/14/2010,,159.791,0.715,,,0.869,,0.481,,0.388,,67.368,,0.063,,1317.500,,42.2
7/13/2010,,167.411,0.808,,,0.721,,0.199,,0.522,,16.395,,0.123,,1600.833,,47.2
7/27/2010,72.995,,,0.391,0.623,,0.537,,0.086,,3.697,,0.032,,1253.333,,31.7,
8/3/2010,80.454,171.243,0.782,0.241,0.805,0.945,0.660,0.749,0.145,0.195,8.230,11.579,0.027,0.319,1330.000,1872.500,36,50.4
8/13/2010,,,,,,,,,,,,,,,,,,
9/3/2010,81.000,195.611,1.467,0.406,0.749,0.297,0.545,0.162,0.204,0.136,7.001,1.120,0.077,0.217,1340.000,1981.667,24.6,30.7
9/14/2010,,,,,,,,,,,,,,,,,,
10/7/2010,37.264,,,0.255,2.437,,1.402,,1.035,,8.735,,0.014,,1200.833,,5.6,
10/22/2010,,154.731,1.917,,,0.561,,0.327,,0.234,,2.290,,0.205,,2005.833,,9.6
11/18/2010,61.530,,,0.400,2.311,,2.200,,0.111,,4.288,,0.082,,1160.000,,7.4,
11/23/2010,,134.255,2.661,,,2.298,,2.034,,0.264,,3.904,,0.252,,1645.833,,11.5
12/6/2010,61.274,,,1.028,2.604,,2.534,,0.070,,9.158,,0.131,,900.000,,9,
12/20/2010,,99.169,1.768,,,0.598,,0.494,,0.104,,3.578,,0.200,,1746.667,,11.6
1/18/2011,72.585,,,0.405,0.685,,0.630,,0.055,,9.569,,0.139,,690.250,,16.5,
1/21/2011,,120.779,1.176,,,0.334,,0.257,,0.077,,6.126,,0.072,,1114.167,,10.2
2/4/2011,,124.448,2.654,,,0.461,,0.386,,0.074,,7.941,,0.210,,1390.833,,10.0
2/22/2011,78.069,,,0.373,0.550,,0.509,,0.042,,13.401,,0.051,,819.667,,24.2,
3/7/2011,,248.684,3.393,,,0.545,,0.465,,0.080,,4.513,,0.164,,1618.333,,28.0
3/10/2011,76.820,,,0.365,0.235,,0.200,,0.034,,2.838,,0.049,,867.500,,29.3,
4/12/2011,84.934,,,0.309,0.663,,0.632,,0.032,,3.098,,0.411,,945.833,,35.84,
4/21/2011,,200.632,1.192,,,0.519,,0.434,,0.085,,48.062,,0.348,,1635.000,,51.5
5/3/2011,,,,,,,,,,,,,,,,,,
5/10/2011,107.469,,,1.095,0.301,,0.267,,0.035,,6.969,,0.494,,1285.833,,43,
5/17/2011,,121.525,0.626,,,0.904,,0.861,,0.043,,14.432,,0.104,,1300.833,,56.4
6/9/2011,79.678,,,0.186,0.479,,0.446,,0.032,,1.956,,0.067,,1228.333,,47.6,
6/14/2011,,,,,,,,,,,,,,,,,,
6/22/2011,,90.950,0.862,,,1.058,,1.012,,0.047,,2.275,,0.118,,1147.500,,70.8
7/14/2011,126.641,,,0.416,0.767,,0.703,,0.064,,26.286,,0.040,,1205.000,,35,
7/15/2011,,141.660,0.700,,,0.115,,0.016,,0.099,,12.609,,0.033,,1715.000,,36.7
8/2/2011,,,,,,,,,,,,,,,,,,
8/10/2011,95.899,,,0.119,0.174,0.726,0.127,0.573,0.047,0.153,2.523,1.808,0.127,0.046,1385.833,1700.000,37,46.2
9/6/2011,146.876,,,0.606,0.083,,0.014,,0.069,,1.279,,0.106,,1383.333,,39.8,
9/7/2011,,140.074,1.528,,,0.160,,0.052,,0.108,,3.593,,0.049,,1796.667,,41.5
10/4/2011,123.385,,,0.739,0.524,,0.445,,0.079,,6.849,,0.525,,1603.333,,28.5,
10/14/2011,,112.394,0.588,,,0.182,,0.095,,0.095,,15.166,,0.257,,1691.667,,35.1
11/8/2011,85.234,,,1.813,1.010,,0.859,,0.151,,7.677,,0.135,,1526.667,,13.4,
11/15/2011,,189.287,1.571,,,1.046,,0.010,,1.036,,0.211,,1.103,,2790.333,,29.2
12/19/2011,11.170,,,0.801,0.955,,0.898,,0.057,,4.891,,0.124,,1415.833,,15,
12/20/2011,,163.353,1.922,,,0.358,,0.306,,0.053,,3.406,,0.081,,1714.167,,27.0
1/9/2012,103.255,,,1.042,0.930,,0.895,,0.035,,5.674,,0.163,,1427.083,,20.4,
1/10/2012,,253.736,21.078,,,0.732,,0.690,,0.042,,6.906,,,,2544.000,,30.7
2/17/2012,,139.594,0.666,,,0.238,,0.206,,0.032,,7.660,,0.071,,1698.333,,36.8
2/28/2012,84.815,,,0.507,0.482,,0.447,,0.034,,4.361,,0.047,,1164.167,,25.3,
3/19/2012,,,,,,,,,,,,,,,,,,
3/20/2012,84.532,117.266,0.442,0.238,0.142,0.374,0.121,0.343,0.021,0.031,5.540,14.623,0.035,0.075,1156.667,1405.833,32.5,42.2
4/24/2012,88.828,166.893,1.112,0.546,0.520,0.908,0.479,0.813,0.041,0.095,3.316,19.461,,0.070,1095.000,1834.167,29.7,44.6
4/25/2012,,,,,,,,,,,,,,,,,,
5/15/2012,94.205,146.848,1.170,0.429,0.705,0.442,0.691,0.394,0.014,0.048,4.118,8.605,0.037,0.020,1162.500,1808.333,24.6,28.5
5/16/2012,,,,,,,,,,,,,,,,,,
6/21/2012,,,,,,,,,,,,,,,,,,
6/28/2012,91.237,89.048,1.252,1.451,0.783,0.221,0.724,0.150,0.060,0.070,1.529,5.491,0.022,0.007,1142.500,1120.000,19.2,29.4
