Station,DBKEY,Daily Date,Data Value
ALLIGARF,maxstage,4/25/2007,-0.99
ALLIGARF,maxstage,4/26/2007,-0.78
ALLIGARF,maxstage,4/27/2007,-0.65
ALLIGARF,maxstage,4/28/2007,-0.77
ALLIGARF,maxstage,4/29/2007,-0.81
ALLIGARF,maxstage,4/30/2007,-0.88
ALLIGARF,maxstage,5/1/2007,-0.86
ALLIGARF,maxstage,5/2/2007,-0.68
ALLIGARF,maxstage,5/3/2007,-0.54
ALLIGARF,maxstage,5/4/2007,-0.44
ALLIGARF,maxstage,5/5/2007,-0.45
ALLIGARF,maxstage,5/6/2007,-0.57
ALLIGARF,maxstage,5/7/2007,-0.64
ALLIGARF,maxstage,5/8/2007,-1.02
ALLIGARF,maxstage,5/9/2007,-0.4
ALLIGARF,maxstage,5/10/2007,-0.35
ALLIGARF,maxstage,5/11/2007,-0.32
ALLIGARF,maxstage,5/12/2007,-0.25
ALLIGARF,maxstage,5/13/2007,-0.14
ALLIGARF,maxstage,5/14/2007,-0.07
ALLIGARF,maxstage,5/15/2007,-0.24
ALLIGARF,maxstage,5/16/2007,-0.13
ALLIGARF,maxstage,5/17/2007,0.21
ALLIGARF,maxstage,5/18/2007,0.02
ALLIGARF,maxstage,5/19/2007,-0.15
ALLIGARF,maxstage,5/20/2007,-0.32
ALLIGARF,maxstage,5/21/2007,-0.82
ALLIGARF,maxstage,5/22/2007,-0.81
ALLIGARF,maxstage,5/23/2007,-0.93
ALLIGARF,maxstage,5/24/2007,-1.17
ALLIGARF,maxstage,5/25/2007,-1.32
ALLIGARF,maxstage,5/26/2007,-1.14
ALLIGARF,maxstage,5/27/2007,-1
ALLIGARF,maxstage,5/28/2007,-0.85
ALLIGARF,maxstage,5/29/2007,-0.73
ALLIGARF,maxstage,5/30/2007,-0.7
ALLIGARF,maxstage,5/31/2007,-0.78
ALLIGARF,maxstage,6/1/2007,-0.56
ALLIGARF,maxstage,6/2/2007,0.41
ALLIGARF,maxstage,6/3/2007,0.16
ALLIGARF,maxstage,6/4/2007,-0.32
ALLIGARF,maxstage,6/5/2007,-0.33
ALLIGARF,maxstage,6/6/2007,-0.33
ALLIGARF,maxstage,6/7/2007,-0.53
ALLIGARF,maxstage,6/8/2007,-0.67
ALLIGARF,maxstage,6/9/2007,-0.79
ALLIGARF,maxstage,6/10/2007,-0.4
ALLIGARF,maxstage,6/11/2007,-0.21
ALLIGARF,maxstage,6/12/2007,-0.15
ALLIGARF,maxstage,6/13/2007,-0.12
ALLIGARF,maxstage,6/14/2007,-0.06
ALLIGARF,maxstage,6/15/2007,0.31
ALLIGARF,maxstage,6/16/2007,0.48
ALLIGARF,maxstage,6/17/2007,0.21
ALLIGARF,maxstage,6/18/2007,-0.21
ALLIGARF,maxstage,6/19/2007,-0.42
ALLIGARF,maxstage,6/20/2007,-0.4
ALLIGARF,maxstage,6/21/2007,-0.21
ALLIGARF,maxstage,6/22/2007,-0.3
ALLIGARF,maxstage,6/23/2007,-0.32
ALLIGARF,maxstage,6/24/2007,-0.41
ALLIGARF,maxstage,6/25/2007,-0.55
ALLIGARF,maxstage,6/26/2007,-0.69
ALLIGARF,maxstage,6/27/2007,-0.64
ALLIGARF,maxstage,6/28/2007,-0.57
ALLIGARF,maxstage,6/29/2007,-0.28
ALLIGARF,maxstage,6/30/2007,
ALLIGARF,maxstage,7/1/2007,
ALLIGARF,maxstage,7/2/2007,
ALLIGARF,maxstage,7/3/2007,
ALLIGARF,maxstage,7/4/2007,
ALLIGARF,maxstage,7/5/2007,
ALLIGARF,maxstage,7/6/2007,
ALLIGARF,maxstage,7/7/2007,
ALLIGARF,maxstage,7/8/2007,
ALLIGARF,maxstage,7/9/2007,
ALLIGARF,maxstage,7/10/2007,
ALLIGARF,maxstage,7/11/2007,
ALLIGARF,maxstage,7/12/2007,
ALLIGARF,maxstage,7/13/2007,
ALLIGARF,maxstage,7/14/2007,
ALLIGARF,maxstage,7/15/2007,
ALLIGARF,maxstage,7/16/2007,
ALLIGARF,maxstage,7/17/2007,
ALLIGARF,maxstage,7/18/2007,
ALLIGARF,maxstage,7/19/2007,
ALLIGARF,maxstage,7/20/2007,
ALLIGARF,maxstage,7/21/2007,
ALLIGARF,maxstage,7/22/2007,
ALLIGARF,maxstage,7/23/2007,
ALLIGARF,maxstage,7/24/2007,
ALLIGARF,maxstage,7/25/2007,
ALLIGARF,maxstage,7/26/2007,
ALLIGARF,maxstage,7/27/2007,
ALLIGARF,maxstage,7/28/2007,
ALLIGARF,maxstage,7/29/2007,
ALLIGARF,maxstage,7/30/2007,
ALLIGARF,maxstage,7/31/2007,
ALLIGARF,maxstage,8/1/2007,
ALLIGARF,maxstage,8/2/2007,
ALLIGARF,maxstage,8/3/2007,-0.29
ALLIGARF,maxstage,8/4/2007,-0.32
ALLIGARF,maxstage,8/5/2007,-0.46
ALLIGARF,maxstage,8/6/2007,-0.33
ALLIGARF,maxstage,8/7/2007,-0.31
