station,project,collectDate,sampleType,programType,matrix,collectMethod,firstTriggerDate,depth,depthUnits,testNumber,parameter,dataType,value,remarkCode,flag,sigFigValue,uncertainty,dilution,mdl,pql,rdl,units,nDec,bdl,qualityCode,sampleID,upDownStream,discharge,weatherCode,collectionSpan,dcsMeters,totalDepth,upperDepth,lowerDepth,latitude,longitude,collectionAgency,workLab,source,owner,validator,validationLevel,samplingPurpose,dataInvestigation,receiveDate,LIMSNumber,measureDate,method,filtrationDate,storetCode,sampleComment,resultComment
FLAB16,FLAB,3/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,23,,,23,,,,,,Degrees Celsius,1,N,A,FIU15417,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,4/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,26.1,,,26.1,,,,,,Degrees Celsius,1,N,A,FIU15418,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,5/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,26.9,,,26.9,,,,,,Degrees Celsius,1,N,A,FIU15421,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,6/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,30.3,,,30.3,,,,,,Degrees Celsius,1,N,A,FIU15422,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,7/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,31.1,,,31.1,,,,,,Degrees Celsius,1,N,A,FIU15424,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,8/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,29,,,29,,,,,,Degrees Celsius,1,N,A,FIU15427,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,9/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,29.8,,,29.8,,,,,,Degrees Celsius,1,N,A,FIU15428,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,10/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,27.1,,,27.1,,,,,,Degrees Celsius,1,N,A,FIU15431,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,11/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,24.1,,,24.1,,,,,,Degrees Celsius,1,N,A,FIU15432,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,12/15/91,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,22.4,,,22.4,,,,,,Degrees Celsius,1,N,A,FIU15435,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,1/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,19.9,,,19.9,,,,,,Degrees Celsius,1,N,A,FIU15436,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,2/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,25.1,,,25.1,,,,,,Degrees Celsius,1,N,A,FIU15438,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,3/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,25.3,,,25.3,,,,,,Degrees Celsius,1,N,A,FIU15441,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,4/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,20,,,20,,,,,,Degrees Celsius,1,N,A,FIU15442,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,5/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,25.6,,,25.6,,,,,,Degrees Celsius,1,N,A,FIU15444,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,6/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,30.5,,,30.5,,,,,,Degrees Celsius,1,N,A,FIU15446,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,7/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,29.2,,,29.2,,,,,,Degrees Celsius,1,N,A,FIU15448,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,8/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,30.3,,,30.3,,,,,,Degrees Celsius,1,N,A,FIU15450,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,9/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,28.1,,,28.1,,,,,,Degrees Celsius,1,N,A,FIU15453,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,10/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,26.7,,,26.7,,,,,,Degrees Celsius,1,N,A,FIU15455,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,11/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,24.9,,,24.9,,,,,,Degrees Celsius,1,N,A,FIU15457,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,12/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,19.6,,,19.6,,,,,,Degrees Celsius,1,N,A,FIU15459,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,1/21/93,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,21.3,,,21.3,,,,,,Degrees Celsius,1,N,A,FIU15460,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
FLAB16,FLAB,2/10/93,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,19.9,,,19.9,,,,,,Degrees Celsius,1,N,A,FIU15461,,0,0,,,,,,25.118269,80.93965,,,FIU,FIU,,,,,,,,,,,,
