TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
H6059,NP-CHP, ,STG29,1/1/2016,1.803, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/2/2016,1.793, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/3/2016,1.782, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/4/2016,1.773, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/5/2016,1.756, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/6/2016,1.75, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/7/2016,1.745, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/8/2016,1.734, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/9/2016,1.725, ,2/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/10/2016,1.717, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/11/2016,1.711, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/12/2016,1.709, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/13/2016,1.704, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/14/2016,1.695, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/15/2016,1.726, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/16/2016,1.777, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/17/2016,1.785, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/18/2016,1.784, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/19/2016,1.776, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/20/2016,1.767, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/21/2016,1.758, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/22/2016,1.793, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/23/2016,1.84, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/24/2016,1.832, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/25/2016,1.827, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/26/2016,1.818, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/27/2016,1.823, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/28/2016,1.875, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/29/2016,1.897, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/30/2016,1.894, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,1/31/2016,1.89, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/1/2016,1.921, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/2/2016,1.935, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/3/2016,1.924, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/4/2016,1.913, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/5/2016,1.921, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/6/2016,1.915, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/7/2016,1.926, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/8/2016,1.91, ,3/12/2016 7:45,A
H6059,NP-CHP, ,STG29,2/9/2016,1.895, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/10/2016,1.883, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/11/2016,1.87, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/12/2016,1.857, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/13/2016,1.846, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/14/2016,1.833, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/15/2016,1.817, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/16/2016,1.823, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/17/2016,1.82, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/18/2016,1.801, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/19/2016,1.786, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/20/2016,1.772, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/21/2016,1.76, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/22/2016,1.746, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/23/2016,1.735, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/24/2016,1.727, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/25/2016,1.716, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/26/2016,1.701, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/27/2016,1.678, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/28/2016,1.663, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,2/29/2016,1.648, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/1/2016,1.632, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/2/2016,1.617, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/3/2016,1.603, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/4/2016,1.59, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/5/2016,1.576, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/6/2016,1.562, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/7/2016,1.543, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/8/2016,1.526, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/9/2016,1.51, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/10/2016,1.494, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/11/2016,1.483, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/12/2016,1.471, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/13/2016,1.46, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/14/2016,1.449, ,4/16/2016 7:45,A
H6059,NP-CHP, ,STG29,3/15/2016,1.436, ,5/10/2016 7:45,A
H6059,NP-CHP, ,STG29,3/16/2016,1.422, ,5/10/2016 7:45,A
H6059,NP-CHP, ,STG29,3/17/2016,1.409, ,5/10/2016 7:45,A
H6059,NP-CHP, ,STG29,3/18/2016,1.396, ,5/10/2016 7:45,A
