Project Code,Station ID,Sample ID,Collection_Date,Sample Type New,Collection Method,Matrix,Test Number,Test Name,Storet Code,Value,Sigfig Value,Units
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,16.303,16.3,mg/L
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.644,1.6,mg/L
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,12,TURBIDITY,,0.265,0.3,NTU
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.03,0.03,mg/L
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,7,Temperature,,26.5,26.5,Deg C
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,7.55,7.55,mg/L
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,98,SALINITY,,54,54,PSU
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,0.86,0.9,ug/L
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14936,4/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.003,0.003,mg/L
FLAB,FLAB14,FIU14937,4/23/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.12,1.1,ug/L
FLAB,FLAB14,FIU14938,5/8/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.24,2.2,ug/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,2.099,2.1,mg/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.023,0.023,mg/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.72,1.7,ug/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,78,NITRATE-N,,0.002,0.002,mg/L
FLAB,FLAB14,FIU14939,5/15/1991,SAMP,G,SA,98,SALINITY,,63,63,PSU
