station,sampleID,testNumber,parameter,collectDate,value,units,remarkCode,project,sampleType,programType,matrix,collectMethod,dataType,mdl,bdl,qualityCode,depth,depthUnits,dcsMeters,source,discharge,latitude,longitude,totalDepth,upDownStream,samplingPurpose,owner,sampleComment
FLAB14,155014B,7,Temperature,1/21/2004,18.1,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,156014B,7,Temperature,2/24/2004,25.3,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,157014B,7,Temperature,3/23/2004,23.6,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,158014SB,7,Temperature,4/21/2004,23.9,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,159014B,7,Temperature,5/21/2004,27.1,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,159014S,7,Temperature,5/21/2004,27.1,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,WMD,
FLAB14,160014S,7,Temperature,6/28/2004,30,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,WMD,
FLAB14,161014B,7,Temperature,7/27/2004,30.6,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,161014S,7,Temperature,7/27/2004,30.7,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,162014B,7,Temperature,8/24/2004,30.7,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,162014S,7,Temperature,8/24/2004,30.3,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,163014B,7,Temperature,9/28/2004,28.3,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,163014S,7,Temperature,9/28/2004,28.5,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,164014B,7,Temperature,10/26/2004,26.5,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,164014S,7,Temperature,10/26/2004,26.5,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,165014B,7,Temperature,11/29/2004,23.3,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,165014S,7,Temperature,11/29/2004,23.3,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,166014B,7,Temperature,12/14/2004,19.9,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.9,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,166014S,7,Temperature,12/14/2004,19.8,Degrees Celsius,D,FLAB,SAMP,MON,SA,FP,TEMP,,N,A,0.1,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14936,7,Temperature,4/15/1991,26.5,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14939,7,Temperature,5/15/1991,25.8,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14940,7,Temperature,6/15/1991,30.7,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14942,7,Temperature,7/15/1991,30.9,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14945,7,Temperature,8/15/1991,28.8,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14946,7,Temperature,9/15/1991,28.4,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14949,7,Temperature,10/15/1991,26.9,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14950,7,Temperature,11/15/1991,24.6,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14953,7,Temperature,12/15/1991,22.7,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14954,7,Temperature,1/15/1992,20.9,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14956,7,Temperature,2/15/1992,25.8,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14959,7,Temperature,3/15/1992,25.6,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14960,7,Temperature,4/15/1992,16.2,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14962,7,Temperature,5/15/1992,25.2,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14964,7,Temperature,6/15/1992,30.6,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14966,7,Temperature,7/15/1992,28.2,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14968,7,Temperature,8/15/1992,29.5,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14971,7,Temperature,9/15/1992,27.2,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14973,7,Temperature,10/15/1992,26.7,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14975,7,Temperature,11/15/1992,24.6,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14977,7,Temperature,12/15/1992,16.6,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
FLAB14,FIU14978,7,Temperature,1/21/1993,21.7,Degrees Celsius,,FLAB,SAMP,MON,SA,G,TEMP,,N,A,0,,,FIU,0,25.1504805,-80.8092194,,,,FIU,
