date,chlorophyll,DO,pH,FDOM,rainfall,salinity,temperature,turbidity,meanstage
1/1/2011,3.55,7.872,null,null,0,27.043,20.635,null,-0.673
1/2/2011,3.573,8.668,null,null,0,27.782,22.154,null,-0.68
1/3/2011,4.451,7.937,null,null,0,26.561,23.235,null,-0.865
1/4/2011,5.314,7.83,null,null,0,26.183,23.448,null,-0.887
1/5/2011,5.609,8.117,null,null,0,25.607,23.927,null,-0.836
1/6/2011,5.628,6.489,null,null,0.11,26.141,22.888,null,-0.569
1/7/2011,5.683,7.29,null,null,0,27.018,19.323,null,-0.845
1/8/2011,3.574,8.919,null,null,0,29.977,19.711,null,-0.604
1/9/2011,4.014,7.916,null,null,0,29.071,20.716,null,-0.836
1/10/2011,3.968,7.245,null,null,0,32.015,21.503,null,-0.821
1/11/2011,4.963,7.521,null,null,0,31.485,23.919,null,-0.901
1/12/2011,6.747,8.106,null,null,0,22.736,18.467,null,-1.389
1/13/2011,8.312,9.799,null,null,0,15.821,9.372,null,-1.846
1/14/2011,null,null,null,null,0,13.492,null,null,-1.952
1/15/2011,null,null,null,null,0,11.738,null,null,-1.896
1/16/2011,6.548,10.518,null,null,0,11.94,20.19,null,-1.636
1/17/2011,6.013,7.163,null,null,4.07,17.139,20.195,null,-0.972
1/18/2011,5.223,7.97,null,null,0,18.046,22,null,-0.613
1/19/2011,5.576,8.914,null,null,0,17.686,24.591,null,-0.576
1/20/2011,6.377,6.891,null,null,0,18.089,25.766,null,-0.65
1/21/2011,6.869,6.367,null,null,0,20.55,24.622,null,-0.374
1/22/2011,9.29,6.025,null,null,0.01,17.832,21.667,null,-0.641
1/23/2011,8.816,8.674,null,null,0,13.035,14.425,null,-1.127
1/24/2011,7.346,9.065,null,null,0,13.674,17.528,null,-1.045
1/25/2011,5.899,8.208,null,null,0,18.655,21.131,null,-0.805
1/26/2011,6.462,7.334,null,null,0.9,17.613,21.64,null,-0.829
1/27/2011,8.195,9.511,null,null,0,11.109,18.96,null,-1.248
1/28/2011,9.163,10.605,null,null,0,10.138,16.205,null,-1.491
1/29/2011,8.266,9.87,null,null,0,10.212,16.549,null,-1.37
1/30/2011,8.326,9.865,null,null,0,10.163,18.189,null,-1.3
1/31/2011,8.528,9.682,null,null,0,9.164,20.485,null,-1.253
2/1/2011,8.633,8.655,null,null,0,11.874,23.054,null,-1.014
2/2/2011,8.465,7.856,null,null,0,14.121,24.166,null,-0.825
2/3/2011,8.745,6.263,null,null,0,14.924,25.686,null,-0.971
2/4/2011,9.914,7.094,null,null,0,14.121,24.911,null,-0.868
2/5/2011,8.119,6.907,null,null,0,15.569,24.633,null,-0.657
2/6/2011,7.674,8.669,null,null,0,18.706,25.522,null,-0.75
2/7/2011,7.161,6.76,8.592,null,0,21.293,25.716,null,-0.618
2/8/2011,6.842,7.654,8.633,null,0,17.892,23.412,null,-1.051
2/9/2011,8.082,7.885,8.684,null,0,13.466,20.328,null,-1.278
2/10/2011,7.719,8.224,8.755,null,0,15.339,24.702,null,-1.112
