Station,DBKEY,Daily Date,Data Value
NP-CHP,rainfall,5/21/1994,0
NP-CHP,rainfall,5/22/1994,0
NP-CHP,rainfall,5/23/1994,0
NP-CHP,rainfall,5/24/1994,0
NP-CHP,rainfall,5/25/1994,0.84
NP-CHP,rainfall,5/26/1994,0
NP-CHP,rainfall,5/27/1994,0
NP-CHP,rainfall,5/28/1994,0
NP-CHP,rainfall,5/29/1994,4.68
NP-CHP,rainfall,5/30/1994,2.04
NP-CHP,rainfall,5/31/1994,0
NP-CHP,rainfall,6/1/1994,0
NP-CHP,rainfall,6/2/1994,0
NP-CHP,rainfall,6/3/1994,0.36
NP-CHP,rainfall,6/4/1994,0.12
NP-CHP,rainfall,6/5/1994,0
NP-CHP,rainfall,6/6/1994,0
NP-CHP,rainfall,6/7/1994,0
NP-CHP,rainfall,6/8/1994,0
NP-CHP,rainfall,6/9/1994,0.48
NP-CHP,rainfall,6/10/1994,0.96
NP-CHP,rainfall,6/11/1994,0
NP-CHP,rainfall,6/12/1994,0
NP-CHP,rainfall,6/13/1994,0
NP-CHP,rainfall,6/14/1994,0
NP-CHP,rainfall,6/15/1994,0.12
NP-CHP,rainfall,6/16/1994,0
NP-CHP,rainfall,6/17/1994,0
NP-CHP,rainfall,6/18/1994,0
NP-CHP,rainfall,6/19/1994,0
NP-CHP,rainfall,6/20/1994,0
NP-CHP,rainfall,6/21/1994,0
NP-CHP,rainfall,6/22/1994,0
NP-CHP,rainfall,6/23/1994,0
NP-CHP,rainfall,6/24/1994,0
NP-CHP,rainfall,6/25/1994,0
NP-CHP,rainfall,6/26/1994,0
NP-CHP,rainfall,6/27/1994,0
NP-CHP,rainfall,6/28/1994,0
NP-CHP,rainfall,6/29/1994,0.24
NP-CHP,rainfall,6/30/1994,0.12
NP-CHP,rainfall,7/1/1994,0
NP-CHP,rainfall,7/2/1994,0.48
NP-CHP,rainfall,7/3/1994,0.84
NP-CHP,rainfall,7/4/1994,0
NP-CHP,rainfall,7/5/1994,0
NP-CHP,rainfall,7/6/1994,
NP-CHP,rainfall,7/7/1994,0.12
NP-CHP,rainfall,7/8/1994,0.09
NP-CHP,rainfall,7/9/1994,0.33
NP-CHP,rainfall,7/10/1994,0.17
NP-CHP,rainfall,7/11/1994,0.02
NP-CHP,rainfall,7/12/1994,0
NP-CHP,rainfall,7/13/1994,0
NP-CHP,rainfall,7/14/1994,0
NP-CHP,rainfall,7/15/1994,0
NP-CHP,rainfall,7/16/1994,0
NP-CHP,rainfall,7/17/1994,0
NP-CHP,rainfall,7/18/1994,0.52
NP-CHP,rainfall,7/19/1994,0
NP-CHP,rainfall,7/20/1994,0
NP-CHP,rainfall,7/21/1994,0.04
NP-CHP,rainfall,7/22/1994,0
NP-CHP,rainfall,7/23/1994,0
NP-CHP,rainfall,7/24/1994,0
NP-CHP,rainfall,7/25/1994,0
NP-CHP,rainfall,7/26/1994,0
NP-CHP,rainfall,7/27/1994,0.15
NP-CHP,rainfall,7/28/1994,1.2
NP-CHP,rainfall,7/29/1994,0.01
NP-CHP,rainfall,7/30/1994,0
NP-CHP,rainfall,7/31/1994,0
NP-CHP,rainfall,8/1/1994,0.55
NP-CHP,rainfall,8/2/1994,0
NP-CHP,rainfall,8/3/1994,0.61
NP-CHP,rainfall,8/4/1994,0.01
NP-CHP,rainfall,8/5/1994,0.27
NP-CHP,rainfall,8/6/1994,0.01
NP-CHP,rainfall,8/7/1994,0
NP-CHP,rainfall,8/8/1994,0
NP-CHP,rainfall,8/9/1994,0
NP-CHP,rainfall,8/10/1994,0.42
NP-CHP,rainfall,8/11/1994,0.99
NP-CHP,rainfall,8/12/1994,1.49
NP-CHP,rainfall,8/13/1994,0.36
NP-CHP,rainfall,8/14/1994,0.45
NP-CHP,rainfall,8/15/1994,0
NP-CHP,rainfall,8/16/1994,0
NP-CHP,rainfall,8/17/1994,0.01
NP-CHP,rainfall,8/18/1994,0
NP-CHP,rainfall,8/19/1994,0
NP-CHP,rainfall,8/20/1994,0.02
NP-CHP,rainfall,8/21/1994,0
NP-CHP,rainfall,8/22/1994,0
NP-CHP,rainfall,8/23/1994,0.82
NP-CHP,rainfall,8/24/1994,0.2
NP-CHP,rainfall,8/25/1994,0.62
NP-CHP,rainfall,8/26/1994,0.67
NP-CHP,rainfall,8/27/1994,0.24
NP-CHP,rainfall,8/28/1994,0.07
NP-CHP,rainfall,8/29/1994,0
NP-CHP,rainfall,8/30/1994,0
NP-CHP,rainfall,8/31/1994,0
NP-CHP,rainfall,9/1/1994,0
NP-CHP,rainfall,9/2/1994,0
NP-CHP,rainfall,9/3/1994,1.16
NP-CHP,rainfall,9/4/1994,0.39
NP-CHP,rainfall,9/5/1994,0.06
NP-CHP,rainfall,9/6/1994,
NP-CHP,rainfall,9/7/1994,0.13
NP-CHP,rainfall,9/8/1994,0.15
NP-CHP,rainfall,9/9/1994,0.36
NP-CHP,rainfall,9/10/1994,0.28
NP-CHP,rainfall,9/11/1994,0
NP-CHP,rainfall,9/12/1994,0.89
NP-CHP,rainfall,9/13/1994,3.06
NP-CHP,rainfall,9/14/1994,2.99
NP-CHP,rainfall,9/15/1994,0.17
NP-CHP,rainfall,9/16/1994,0
NP-CHP,rainfall,9/17/1994,0
NP-CHP,rainfall,9/18/1994,0
NP-CHP,rainfall,9/19/1994,0
NP-CHP,rainfall,9/20/1994,3.73
NP-CHP,rainfall,9/21/1994,0.01
NP-CHP,rainfall,9/22/1994,0
NP-CHP,rainfall,9/23/1994,0
NP-CHP,rainfall,9/24/1994,0.07
NP-CHP,rainfall,9/25/1994,0.78
NP-CHP,rainfall,9/26/1994,0.45
NP-CHP,rainfall,9/27/1994,0.24
NP-CHP,rainfall,9/28/1994,0.78
NP-CHP,rainfall,9/29/1994,0.31
NP-CHP,rainfall,9/30/1994,1.76
NP-CHP,rainfall,10/1/1994,1.89
NP-CHP,rainfall,10/2/1994,0.06
NP-CHP,rainfall,10/3/1994,0
NP-CHP,rainfall,10/4/1994,0
NP-CHP,rainfall,10/5/1994,0.09
NP-CHP,rainfall,10/6/1994,0.04
NP-CHP,rainfall,10/7/1994,0.18
NP-CHP,rainfall,10/8/1994,0.04
NP-CHP,rainfall,10/9/1994,0.29
NP-CHP,rainfall,10/10/1994,0.06
NP-CHP,rainfall,10/11/1994,0.02
NP-CHP,rainfall,10/12/1994,0.69
NP-CHP,rainfall,10/13/1994,0.17
NP-CHP,rainfall,10/14/1994,0
NP-CHP,rainfall,10/15/1994,0
NP-CHP,rainfall,10/16/1994,0.08
NP-CHP,rainfall,10/17/1994,0
NP-CHP,rainfall,10/18/1994,0
NP-CHP,rainfall,10/19/1994,0
NP-CHP,rainfall,10/20/1994,0
NP-CHP,rainfall,10/21/1994,0
NP-CHP,rainfall,10/22/1994,0
NP-CHP,rainfall,10/23/1994,0
NP-CHP,rainfall,10/24/1994,0
NP-CHP,rainfall,10/25/1994,0
NP-CHP,rainfall,10/26/1994,0
NP-CHP,rainfall,10/27/1994,0.38
NP-CHP,rainfall,10/28/1994,0
NP-CHP,rainfall,10/29/1994,0.38
NP-CHP,rainfall,10/30/1994,0.37
NP-CHP,rainfall,10/31/1994,0.87
NP-CHP,rainfall,11/1/1994,0
NP-CHP,rainfall,11/2/1994,0
NP-CHP,rainfall,11/3/1994,0
NP-CHP,rainfall,11/4/1994,0
NP-CHP,rainfall,11/5/1994,0
NP-CHP,rainfall,11/6/1994,0
NP-CHP,rainfall,11/7/1994,0
NP-CHP,rainfall,11/8/1994,0
NP-CHP,rainfall,11/9/1994,0
NP-CHP,rainfall,11/10/1994,0
NP-CHP,rainfall,11/11/1994,0.89
NP-CHP,rainfall,11/12/1994,0.04
NP-CHP,rainfall,11/13/1994,0.07
NP-CHP,rainfall,11/14/1994,2.11
NP-CHP,rainfall,11/15/1994,6.53
NP-CHP,rainfall,11/16/1994,2.46
NP-CHP,rainfall,11/17/1994,0
NP-CHP,rainfall,11/18/1994,0.01
NP-CHP,rainfall,11/19/1994,0
NP-CHP,rainfall,11/20/1994,0
NP-CHP,rainfall,11/21/1994,0
NP-CHP,rainfall,11/22/1994,0
NP-CHP,rainfall,11/23/1994,0
NP-CHP,rainfall,11/24/1994,0
NP-CHP,rainfall,11/25/1994,0
NP-CHP,rainfall,11/26/1994,0
NP-CHP,rainfall,11/27/1994,0
NP-CHP,rainfall,11/28/1994,0
NP-CHP,rainfall,11/29/1994,0
NP-CHP,rainfall,11/30/1994,
NP-CHP,rainfall,12/1/1994,
NP-CHP,rainfall,12/2/1994,
NP-CHP,rainfall,12/3/1994,0.01
NP-CHP,rainfall,12/4/1994,0.29
NP-CHP,rainfall,12/5/1994,0.11
NP-CHP,rainfall,12/6/1994,0
NP-CHP,rainfall,12/7/1994,0
NP-CHP,rainfall,12/8/1994,0
NP-CHP,rainfall,12/9/1994,0
NP-CHP,rainfall,12/10/1994,0.03
NP-CHP,rainfall,12/11/1994,0.05
NP-CHP,rainfall,12/12/1994,0
NP-CHP,rainfall,12/13/1994,0
NP-CHP,rainfall,12/14/1994,0
NP-CHP,rainfall,12/15/1994,0
NP-CHP,rainfall,12/16/1994,0
NP-CHP,rainfall,12/17/1994,0
NP-CHP,rainfall,12/18/1994,0
NP-CHP,rainfall,12/19/1994,0
NP-CHP,rainfall,12/20/1994,0.17
NP-CHP,rainfall,12/21/1994,0.95
NP-CHP,rainfall,12/22/1994,0
NP-CHP,rainfall,12/23/1994,0.18
