Project Code,Station ID,Sample ID,Collection_Date,Sample Type New,Collection Method,Matrix,Test Number,Test Name,Storet Code,Value,Sigfig Value,Units
FLAB,FLAB15,FIU15172,3/14/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.48,1.5,ug/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.006,0.006,mg/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,12,TURBIDITY,,0.25,0.2,NTU
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,9.5,9.5,mg/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,7,Temperature,,24.9,24.9,Deg C
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,0.602,0.6,mg/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,98,SALINITY,,40,40,PSU
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,78,NITRATE-N,,0.004,0.004,mg/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.14,1.1,ug/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.02,0.02,mg/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.037,0.04,mg/L
FLAB,FLAB15,FIU15173,3/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,6.73,6.7,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.018,0.02,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,12,TURBIDITY,,0.625,0.6,NTU
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,6.35,6.35,mg/L
FLAB,FLAB15,FIU15174,4/15/1991,SAMP,G,SA,7,Temperature,,26.9,26.9,Deg C
