Project Code,Station ID,Sample ID,Collection_Date,Sample Type New,Collection Method,Matrix,Test Number,Test Name,Storet Code,Value,Sigfig Value,Units
FLAB,FLAB12,FIU14457,3/14/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.99,2,ug/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.032,0.032,mg/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,12,TURBIDITY,,0.95,1,NTU
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,8.4,8.4,mg/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,7,Temperature,,26,26,Deg C
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.714,1.7,mg/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,98,SALINITY,,50,50,PSU
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,78,NITRATE-N,,0.031,0.031,mg/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.53,1.5,ug/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.022,0.022,mg/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.202,0.2,mg/L
FLAB,FLAB12,FIU14458,3/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,17.07,17.1,mg/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.371,0.37,mg/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,12,TURBIDITY,,1.35,1.4,NTU
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,9.45,9.45,mg/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,2.139,2.1,mg/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,15.878,15.9,mg/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,98,SALINITY,,56,56,PSU
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.39,1.4,ug/L
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,7,Temperature,,26,26,Deg C
FLAB,FLAB12,FIU14459,4/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.023,0.023,mg/L
FLAB,FLAB12,FIU14460,4/16/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.8,1.8,ug/L
FLAB,FLAB12,FIU14461,5/1/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,2.49,2.5,ug/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,19,NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.002,0.002,mg/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,12,TURBIDITY,,1.125,1.1,NTU
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,5.65,5.65,mg/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,7,Temperature,,29,29,Deg C
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,3.981,4,mg/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,98,SALINITY,,55,55,PSU
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,78,NITRATE-N,,0.001,0.001,mg/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.91,1.9,ug/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.017,0.017,mg/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.302,0.3,mg/L
FLAB,FLAB12,FIU14462,5/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,16.738,16.7,mg/L
FLAB,FLAB12,FIU14463,6/11/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,1.15,1.2,ug/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,19,NITRITE-N,,0.001,0.001,mg/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,18,NITRATE+NITRITE-N,,0.011,0.011,mg/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,12,TURBIDITY,,0.315,0.3,NTU
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,8,DISSOLVED OXYGEN,,6.5,6.5,mg/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,7,Temperature,,29.4,29.4,Deg C
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,21,"KJELDAHL NITROGEN, TOTAL",,1.003,1,mg/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,98,SALINITY,,49.8,49.8,PSU
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,78,NITRATE-N,,0.01,0.01,mg/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,61,CHLOROPHYLL-A,,0.89,0.9,ug/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,25,"PHOSPHATE, TOTAL AS P",,0.014,0.014,mg/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,20,AMMONIA-N,,0.075,0.08,mg/L
FLAB,FLAB12,FIU14464,6/15/1991,SAMP,G,SA,100,"CARBON, TOTAL ORGANIC",,16.473,16.5,mg/L
