Station,DBKEY,Daily Date,Data Value
WESTLAKE,flow,4/18/2014,-9.1
WESTLAKE,flow,4/19/2014,5.1
WESTLAKE,flow,4/20/2014,-11
WESTLAKE,flow,4/21/2014,-8.3
WESTLAKE,flow,4/22/2014,-6.1
WESTLAKE,flow,4/23/2014,-8.7
WESTLAKE,flow,4/24/2014,-15
WESTLAKE,flow,4/25/2014,-13
WESTLAKE,flow,4/26/2014,-16
WESTLAKE,flow,4/27/2014,-21
WESTLAKE,flow,4/28/2014,-17
WESTLAKE,flow,4/29/2014,-15
WESTLAKE,flow,4/30/2014,-16
WESTLAKE,flow,5/1/2014,-12
WESTLAKE,flow,5/2/2014,-7.2
WESTLAKE,flow,5/3/2014,-2.4
WESTLAKE,flow,5/4/2014,1.5
WESTLAKE,flow,5/5/2014,2.8
WESTLAKE,flow,5/6/2014,4.5
WESTLAKE,flow,5/7/2014,2.7
WESTLAKE,flow,5/8/2014,2.4
WESTLAKE,flow,5/9/2014,4.8
WESTLAKE,flow,5/10/2014,3.3
WESTLAKE,flow,5/11/2014,3.2
WESTLAKE,flow,5/12/2014,5.4
WESTLAKE,flow,5/13/2014,2
WESTLAKE,flow,5/14/2014,1.8
WESTLAKE,flow,5/15/2014,6.3
WESTLAKE,flow,5/16/2014,2
WESTLAKE,flow,5/17/2014,5.8
WESTLAKE,flow,5/18/2014,9.5
WESTLAKE,flow,5/19/2014,5.9
WESTLAKE,flow,5/20/2014,3.8
WESTLAKE,flow,5/21/2014,6.4
WESTLAKE,flow,5/22/2014,2.7
WESTLAKE,flow,5/23/2014,3.7
WESTLAKE,flow,5/24/2014,1.2
WESTLAKE,flow,5/25/2014,2.5
WESTLAKE,flow,5/26/2014,4
WESTLAKE,flow,5/27/2014,4.5
WESTLAKE,flow,5/28/2014,4.3
WESTLAKE,flow,5/29/2014,1.9
WESTLAKE,flow,5/30/2014,2.5
WESTLAKE,flow,5/31/2014,3.3
WESTLAKE,flow,6/1/2014,4.4
WESTLAKE,flow,6/2/2014,4.9
WESTLAKE,flow,6/3/2014,6.3
WESTLAKE,flow,6/4/2014,5
WESTLAKE,flow,6/5/2014,6.2
WESTLAKE,flow,6/6/2014,6.6
WESTLAKE,flow,6/7/2014,5.7
WESTLAKE,flow,6/8/2014,7.2
WESTLAKE,flow,6/9/2014,6.3
WESTLAKE,flow,6/10/2014,
WESTLAKE,flow,6/11/2014,
WESTLAKE,flow,6/12/2014,3.7
WESTLAKE,flow,6/13/2014,
WESTLAKE,flow,6/14/2014,
WESTLAKE,flow,6/15/2014,3.9
WESTLAKE,flow,6/16/2014,6.1
WESTLAKE,flow,6/17/2014,11
WESTLAKE,flow,6/18/2014,5.8
WESTLAKE,flow,6/19/2014,4.5
WESTLAKE,flow,6/20/2014,
WESTLAKE,flow,6/21/2014,5.5
WESTLAKE,flow,6/22/2014,4.8
WESTLAKE,flow,6/23/2014,1.1
WESTLAKE,flow,6/24/2014,2.9
WESTLAKE,flow,6/25/2014,7.8
WESTLAKE,flow,6/26/2014,8.1
WESTLAKE,flow,6/27/2014,17
WESTLAKE,flow,6/28/2014,17
WESTLAKE,flow,6/29/2014,12
WESTLAKE,flow,6/30/2014,4.6
WESTLAKE,flow,7/1/2014,8.3
WESTLAKE,flow,7/2/2014,7.5
WESTLAKE,flow,7/3/2014,3.8
WESTLAKE,flow,7/4/2014,0.6
WESTLAKE,flow,7/5/2014,3.5
WESTLAKE,flow,7/6/2014,4
WESTLAKE,flow,7/7/2014,2.6
WESTLAKE,flow,7/8/2014,4.3
WESTLAKE,flow,7/9/2014,8.9
WESTLAKE,flow,7/10/2014,10
WESTLAKE,flow,7/11/2014,5.8
WESTLAKE,flow,7/12/2014,8.9
WESTLAKE,flow,7/13/2014,8.1
WESTLAKE,flow,7/14/2014,1.7
WESTLAKE,flow,7/15/2014,4.5
WESTLAKE,flow,7/16/2014,7.3
WESTLAKE,flow,7/17/2014,4.4
WESTLAKE,flow,7/18/2014,2
WESTLAKE,flow,7/19/2014,2.2
WESTLAKE,flow,7/20/2014,5.8
WESTLAKE,flow,7/21/2014,11
WESTLAKE,flow,7/22/2014,12
WESTLAKE,flow,7/23/2014,10
WESTLAKE,flow,7/24/2014,11
WESTLAKE,flow,7/25/2014,12
WESTLAKE,flow,7/26/2014,10
WESTLAKE,flow,7/27/2014,10
WESTLAKE,flow,7/28/2014,11
WESTLAKE,flow,7/29/2014,9.8
WESTLAKE,flow,7/30/2014,7
WESTLAKE,flow,7/31/2014,3.2
WESTLAKE,flow,8/1/2014,2.8
WESTLAKE,flow,8/2/2014,1.1
WESTLAKE,flow,8/3/2014,-1.4
WESTLAKE,flow,8/4/2014,-0.5
WESTLAKE,flow,8/5/2014,4
WESTLAKE,flow,8/6/2014,-3.9
WESTLAKE,flow,8/7/2014,4.1
WESTLAKE,flow,8/8/2014,12
WESTLAKE,flow,8/9/2014,8.6
WESTLAKE,flow,8/10/2014,4.4
WESTLAKE,flow,8/11/2014,5
WESTLAKE,flow,8/12/2014,4.1
WESTLAKE,flow,8/13/2014,3.8
WESTLAKE,flow,8/14/2014,2.5
WESTLAKE,flow,8/15/2014,1.5
WESTLAKE,flow,8/16/2014,1
WESTLAKE,flow,8/17/2014,-0.56
WESTLAKE,flow,8/18/2014,3.5
WESTLAKE,flow,8/19/2014,5.5
WESTLAKE,flow,8/20/2014,6
WESTLAKE,flow,8/21/2014,2.2
WESTLAKE,flow,8/22/2014,4
WESTLAKE,flow,8/23/2014,3.3
WESTLAKE,flow,8/24/2014,5.5
WESTLAKE,flow,8/25/2014,-2.7
WESTLAKE,flow,8/26/2014,-14
WESTLAKE,flow,8/27/2014,-6.6
WESTLAKE,flow,8/28/2014,-2.2
WESTLAKE,flow,8/29/2014,-15
WESTLAKE,flow,8/30/2014,-16
WESTLAKE,flow,8/31/2014,-8.2
WESTLAKE,flow,9/1/2014,-4.9
WESTLAKE,flow,9/2/2014,-5.4
WESTLAKE,flow,9/3/2014,-1.6
WESTLAKE,flow,9/4/2014,8.6
WESTLAKE,flow,9/5/2014,-3.1
WESTLAKE,flow,9/6/2014,1.2
WESTLAKE,flow,9/7/2014,2.9
WESTLAKE,flow,9/8/2014,-9.3
WESTLAKE,flow,9/9/2014,-11
WESTLAKE,flow,9/10/2014,1.7
WESTLAKE,flow,9/11/2014,1
WESTLAKE,flow,9/12/2014,2.7
WESTLAKE,flow,9/13/2014,-13
WESTLAKE,flow,9/14/2014,1.5
WESTLAKE,flow,9/15/2014,-0.73
WESTLAKE,flow,9/16/2014,10
WESTLAKE,flow,9/17/2014,8.3
WESTLAKE,flow,9/18/2014,3.1
WESTLAKE,flow,9/19/2014,2.7
WESTLAKE,flow,9/20/2014,4.6
WESTLAKE,flow,9/21/2014,1.2
WESTLAKE,flow,9/22/2014,-0.03
WESTLAKE,flow,9/23/2014,-15
WESTLAKE,flow,9/24/2014,-8.2
WESTLAKE,flow,9/25/2014,-4
WESTLAKE,flow,9/26/2014,4
WESTLAKE,flow,9/27/2014,-3.2
WESTLAKE,flow,9/28/2014,0.03
WESTLAKE,flow,9/29/2014,2.3
WESTLAKE,flow,9/30/2014,5.3
WESTLAKE,flow,10/1/2014,-6.7
WESTLAKE,flow,10/2/2014,3.2
WESTLAKE,flow,10/3/2014,13
WESTLAKE,flow,10/4/2014,13
WESTLAKE,flow,10/5/2014,-3.7
WESTLAKE,flow,10/6/2014,-2.9
WESTLAKE,flow,10/7/2014,2.2
WESTLAKE,flow,10/8/2014,-3.9
WESTLAKE,flow,10/9/2014,-5.1
WESTLAKE,flow,10/10/2014,0.65
WESTLAKE,flow,10/11/2014,2.9
WESTLAKE,flow,10/12/2014,-2.3
WESTLAKE,flow,10/13/2014,-4.7
WESTLAKE,flow,10/14/2014,6.7
WESTLAKE,flow,10/15/2014,16
WESTLAKE,flow,10/16/2014,12
WESTLAKE,flow,10/17/2014,1.9
WESTLAKE,flow,10/18/2014,4.1
WESTLAKE,flow,10/19/2014,-0.82
WESTLAKE,flow,10/20/2014,-6.4
WESTLAKE,flow,10/21/2014,-2.7
WESTLAKE,flow,10/22/2014,-1.3
WESTLAKE,flow,10/23/2014,-7.6
WESTLAKE,flow,10/24/2014,-4.8
WESTLAKE,flow,10/25/2014,5.3
WESTLAKE,flow,10/26/2014,3.4
WESTLAKE,flow,10/27/2014,2.1
WESTLAKE,flow,10/28/2014,1.6
WESTLAKE,flow,10/29/2014,8.5
WESTLAKE,flow,10/30/2014,9.7
WESTLAKE,flow,10/31/2014,16
WESTLAKE,flow,11/1/2014,11
WESTLAKE,flow,11/2/2014,-3.7
WESTLAKE,flow,11/3/2014,0.83
WESTLAKE,flow,11/4/2014,8.7
WESTLAKE,flow,11/5/2014,12
WESTLAKE,flow,11/6/2014,8.9
WESTLAKE,flow,11/7/2014,4.8
WESTLAKE,flow,11/8/2014,-11
WESTLAKE,flow,11/9/2014,-9.2
WESTLAKE,flow,11/10/2014,-3.9
WESTLAKE,flow,11/11/2014,2.5
WESTLAKE,flow,11/12/2014,-3.8
WESTLAKE,flow,11/13/2014,2.9
WESTLAKE,flow,11/14/2014,7
WESTLAKE,flow,11/15/2014,-1.3
WESTLAKE,flow,11/16/2014,-1.3
WESTLAKE,flow,11/17/2014,0.25
WESTLAKE,flow,11/18/2014,-3.5
WESTLAKE,flow,11/19/2014,0.52
WESTLAKE,flow,11/20/2014,0.56
WESTLAKE,flow,11/21/2014,5.9
WESTLAKE,flow,11/22/2014,3.5
WESTLAKE,flow,11/23/2014,13
WESTLAKE,flow,11/24/2014,-1.6
WESTLAKE,flow,11/25/2014,-16
WESTLAKE,flow,11/26/2014,-4.4
WESTLAKE,flow,11/27/2014,-12
WESTLAKE,flow,11/28/2014,1.7
WESTLAKE,flow,11/29/2014,2.5
WESTLAKE,flow,11/30/2014,3.4
WESTLAKE,flow,12/1/2014,3.2
WESTLAKE,flow,12/2/2014,5.9
WESTLAKE,flow,12/3/2014,-5.9
WESTLAKE,flow,12/4/2014,-4.1
WESTLAKE,flow,12/5/2014,-9.8
WESTLAKE,flow,12/6/2014,-7
WESTLAKE,flow,12/7/2014,-0.93
WESTLAKE,flow,12/8/2014,3.9
WESTLAKE,flow,12/9/2014,2.3
WESTLAKE,flow,12/10/2014,-3.4
WESTLAKE,flow,12/11/2014,-7
WESTLAKE,flow,12/12/2014,-8.4
WESTLAKE,flow,12/13/2014,-7.2
WESTLAKE,flow,12/14/2014,-0.88
WESTLAKE,flow,12/15/2014,-6.2
WESTLAKE,flow,12/16/2014,-4.5
WESTLAKE,flow,12/17/2014,-0.48
WESTLAKE,flow,12/18/2014,2.3
WESTLAKE,flow,12/19/2014,-1.7
WESTLAKE,flow,12/20/2014,1.4
WESTLAKE,flow,12/21/2014,-6.9
WESTLAKE,flow,12/22/2014,-7.3
WESTLAKE,flow,12/23/2014,-16
WESTLAKE,flow,12/24/2014,-10
WESTLAKE,flow,12/25/2014,-20
WESTLAKE,flow,12/26/2014,-10
WESTLAKE,flow,12/27/2014,0.1
WESTLAKE,flow,12/28/2014,2.8
WESTLAKE,flow,12/29/2014,3.7
WESTLAKE,flow,12/30/2014,4.3
WESTLAKE,flow,12/31/2014,6.3
WESTLAKE,flow,1/1/2015,5.5
WESTLAKE,flow,1/2/2015,1.6
WESTLAKE,flow,1/3/2015,-1.8
WESTLAKE,flow,1/4/2015,3.8
WESTLAKE,flow,1/5/2015,2.7
WESTLAKE,flow,1/6/2015,8.8
WESTLAKE,flow,1/7/2015,17
WESTLAKE,flow,1/8/2015,1.5
WESTLAKE,flow,1/9/2015,11
WESTLAKE,flow,1/10/2015,4.4
WESTLAKE,flow,1/11/2015,6.2
WESTLAKE,flow,1/12/2015,6.7
WESTLAKE,flow,1/13/2015,10
WESTLAKE,flow,1/14/2015,6.1
WESTLAKE,flow,1/15/2015,9.5
WESTLAKE,flow,1/16/2015,1.3
WESTLAKE,flow,1/17/2015,3.3
WESTLAKE,flow,1/18/2015,12
WESTLAKE,flow,1/19/2015,-6.4
WESTLAKE,flow,1/20/2015,-8.6
WESTLAKE,flow,1/21/2015,-12
WESTLAKE,flow,1/22/2015,-19
WESTLAKE,flow,1/23/2015,-13
WESTLAKE,flow,1/24/2015,3.2
WESTLAKE,flow,1/25/2015,-9
WESTLAKE,flow,1/26/2015,11
WESTLAKE,flow,1/27/2015,-7.6
WESTLAKE,flow,1/28/2015,-4.6
WESTLAKE,flow,1/29/2015,1.7
WESTLAKE,flow,1/30/2015,14
WESTLAKE,flow,1/31/2015,-1.8
WESTLAKE,flow,2/1/2015,2.9
WESTLAKE,flow,2/2/2015,11
WESTLAKE,flow,2/3/2015,-11
WESTLAKE,flow,2/4/2015,-1.7
WESTLAKE,flow,2/5/2015,16
WESTLAKE,flow,2/6/2015,-7.2
WESTLAKE,flow,2/7/2015,0.21
WESTLAKE,flow,2/8/2015,11
WESTLAKE,flow,2/9/2015,5.7
WESTLAKE,flow,2/10/2015,21
WESTLAKE,flow,2/11/2015,-5.5
WESTLAKE,flow,2/12/2015,3.1
WESTLAKE,flow,2/13/2015,9
WESTLAKE,flow,2/14/2015,-2.7
WESTLAKE,flow,2/15/2015,-5.7
WESTLAKE,flow,2/16/2015,-15
WESTLAKE,flow,2/17/2015,-5.8
WESTLAKE,flow,2/18/2015,-7.1
WESTLAKE,flow,2/19/2015,-1.5
WESTLAKE,flow,2/20/2015,-7.7
WESTLAKE,flow,2/21/2015,-0.18
WESTLAKE,flow,2/22/2015,0.22
WESTLAKE,flow,2/23/2015,-1.8
WESTLAKE,flow,2/24/2015,0.27
WESTLAKE,flow,2/25/2015,-14
WESTLAKE,flow,2/26/2015,-1.4
WESTLAKE,flow,2/27/2015,-12
WESTLAKE,flow,2/28/2015,-4.5
WESTLAKE,flow,3/1/2015,1.5
WESTLAKE,flow,3/2/2015,8.4
WESTLAKE,flow,3/3/2015,3.2
WESTLAKE,flow,3/4/2015,3.1
WESTLAKE,flow,3/5/2015,0.38
WESTLAKE,flow,3/6/2015,-2.1
WESTLAKE,flow,3/7/2015,-2.3
WESTLAKE,flow,3/8/2015,0.63
WESTLAKE,flow,3/9/2015,3.9
WESTLAKE,flow,3/10/2015,-5.2
WESTLAKE,flow,3/11/2015,-0.1
WESTLAKE,flow,3/12/2015,-7
WESTLAKE,flow,3/13/2015,-5.3
WESTLAKE,flow,3/14/2015,3.6
WESTLAKE,flow,3/15/2015,1.6
WESTLAKE,flow,3/16/2015,2.9
WESTLAKE,flow,3/17/2015,5.1
WESTLAKE,flow,3/18/2015,-5.7
WESTLAKE,flow,3/19/2015,-12
WESTLAKE,flow,3/20/2015,-12
WESTLAKE,flow,3/21/2015,-9.9
WESTLAKE,flow,3/22/2015,-9.7
WESTLAKE,flow,3/23/2015,-2.5
WESTLAKE,flow,3/24/2015,-12
WESTLAKE,flow,3/25/2015,-6
WESTLAKE,flow,3/26/2015,-8.2
WESTLAKE,flow,3/27/2015,3.2
WESTLAKE,flow,3/28/2015,-9.8
WESTLAKE,flow,3/29/2015,-0.01
WESTLAKE,flow,3/30/2015,6.7
WESTLAKE,flow,3/31/2015,4.9
WESTLAKE,flow,4/1/2015,5.2
WESTLAKE,flow,4/2/2015,-3.5
WESTLAKE,flow,4/3/2015,-1.9
WESTLAKE,flow,4/4/2015,2.8
WESTLAKE,flow,4/5/2015,-4.4
WESTLAKE,flow,4/6/2015,-4.4
WESTLAKE,flow,4/7/2015,-3.2
WESTLAKE,flow,4/8/2015,-4
WESTLAKE,flow,4/9/2015,-0.65
WESTLAKE,flow,4/10/2015,0.2
WESTLAKE,flow,4/11/2015,3.3
WESTLAKE,flow,4/12/2015,-1.2
WESTLAKE,flow,4/13/2015,1.4
WESTLAKE,flow,4/14/2015,0.06
WESTLAKE,flow,4/15/2015,0.73
WESTLAKE,flow,4/16/2015,1.2
WESTLAKE,flow,4/17/2015,0.87
WESTLAKE,flow,4/18/2015,1.2
WESTLAKE,flow,4/19/2015,1.3
WESTLAKE,flow,4/20/2015,-16
WESTLAKE,flow,4/21/2015,-0.42
WESTLAKE,flow,4/22/2015,0.84
WESTLAKE,flow,4/23/2015,2.9
WESTLAKE,flow,4/24/2015,5.5
WESTLAKE,flow,4/25/2015,3
WESTLAKE,flow,4/26/2015,4.7
WESTLAKE,flow,4/27/2015,-0.1
WESTLAKE,flow,4/28/2015,-6.7
WESTLAKE,flow,4/29/2015,-6.4
WESTLAKE,flow,4/30/2015,4.2
WESTLAKE,flow,5/1/2015,5.3
WESTLAKE,flow,5/2/2015,-3.1
WESTLAKE,flow,5/3/2015,1.8
WESTLAKE,flow,5/4/2015,6.6
WESTLAKE,flow,5/5/2015,15
WESTLAKE,flow,5/6/2015,12
WESTLAKE,flow,5/7/2015,5.8
WESTLAKE,flow,5/8/2015,2.9
WESTLAKE,flow,5/9/2015,-0.27
WESTLAKE,flow,5/10/2015,-6.2
WESTLAKE,flow,5/11/2015,-3.1
WESTLAKE,flow,5/12/2015,4.4
WESTLAKE,flow,5/13/2015,3.8
WESTLAKE,flow,5/14/2015,-2.5
WESTLAKE,flow,5/15/2015,-2.1
WESTLAKE,flow,5/16/2015,1.1
WESTLAKE,flow,5/17/2015,-1.5
WESTLAKE,flow,5/18/2015,2.8
WESTLAKE,flow,5/19/2015,4.6
WESTLAKE,flow,5/20/2015,7.5
WESTLAKE,flow,5/21/2015,7
WESTLAKE,flow,5/22/2015,1.9
WESTLAKE,flow,5/23/2015,-3.1
WESTLAKE,flow,5/24/2015,3.1
WESTLAKE,flow,5/25/2015,6.9
WESTLAKE,flow,5/26/2015,6.3
WESTLAKE,flow,5/27/2015,3.5
WESTLAKE,flow,5/28/2015,8.5
WESTLAKE,flow,5/29/2015,9.9
WESTLAKE,flow,5/30/2015,3.7
WESTLAKE,flow,5/31/2015,1.1
WESTLAKE,flow,6/1/2015,-2.1
WESTLAKE,flow,6/2/2015,-0.69
WESTLAKE,flow,6/3/2015,-0.8
WESTLAKE,flow,6/4/2015,1.9
WESTLAKE,flow,6/5/2015,1
WESTLAKE,flow,6/6/2015,10
WESTLAKE,flow,6/7/2015,8.8
WESTLAKE,flow,6/8/2015,5.6
WESTLAKE,flow,6/9/2015,6.7
WESTLAKE,flow,6/10/2015,4.9
WESTLAKE,flow,6/11/2015,-3.1
WESTLAKE,flow,6/12/2015,-0.63
WESTLAKE,flow,6/13/2015,6
WESTLAKE,flow,6/14/2015,8
WESTLAKE,flow,6/15/2015,11
WESTLAKE,flow,6/16/2015,0.14
WESTLAKE,flow,6/17/2015,3.9
WESTLAKE,flow,6/18/2015,3.8
WESTLAKE,flow,6/19/2015,4.9
WESTLAKE,flow,6/20/2015,5.9
WESTLAKE,flow,6/21/2015,4.8
WESTLAKE,flow,6/22/2015,3.3
WESTLAKE,flow,6/23/2015,5.6
WESTLAKE,flow,6/24/2015,5.3
WESTLAKE,flow,6/25/2015,6.9
WESTLAKE,flow,6/26/2015,7.1
WESTLAKE,flow,6/27/2015,5.4
WESTLAKE,flow,6/28/2015,5.6
WESTLAKE,flow,6/29/2015,4.3
WESTLAKE,flow,6/30/2015,2.3
WESTLAKE,flow,7/1/2015,2.6
WESTLAKE,flow,7/2/2015,2.5
WESTLAKE,flow,7/3/2015,7.2
WESTLAKE,flow,7/4/2015,3.8
WESTLAKE,flow,7/5/2015,3.9
WESTLAKE,flow,7/6/2015,7.8
WESTLAKE,flow,7/7/2015,7.7
WESTLAKE,flow,7/8/2015,3
WESTLAKE,flow,7/9/2015,3.3
WESTLAKE,flow,7/10/2015,4.2
WESTLAKE,flow,7/11/2015,6.2
WESTLAKE,flow,7/12/2015,6.2
