station,project,collectDate,sampleType,programType,matrix,collectMethod,firstTriggerDate,depth,depthUnits,testNumber,parameter,dataType,value,remarkCode,flag,sigFigValue,uncertainty,dilution,mdl,pql,rdl,units,nDec,bdl,qualityCode,sampleID,upDownStream,discharge,weatherCode,collectionSpan,dcsMeters,totalDepth,upperDepth,lowerDepth,latitude,longitude,collectionAgency,workLab,source,owner,validator,validationLevel,samplingPurpose,dataInvestigation,receiveDate,LIMSNumber,measureDate,method,filtrationDate,storetCode,sampleComment,resultComment
FLAB25,FLAB,7/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,29.2,,,29.2,,,,,,Degrees Celsius,1,N,A,FIU17602,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,8/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,30.6,,,30.6,,,,,,Degrees Celsius,1,N,A,FIU17604,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,9/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,28.9,,,28.9,,,,,,Degrees Celsius,1,N,A,FIU17607,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,10/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,27.8,,,27.8,,,,,,Degrees Celsius,1,N,A,FIU17609,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,11/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,25.4,,,25.4,,,,,,Degrees Celsius,1,N,A,FIU17611,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,12/15/92,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,20.5,,,20.5,,,,,,Degrees Celsius,1,N,A,FIU17613,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,1/21/93,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,21.9,,,21.9,,,,,,Degrees Celsius,1,N,A,FIU17614,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,2/10/93,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,19.5,,,19.5,,,,,,Degrees Celsius,1,N,A,FIU17615,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,3/10/93,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,21,,,21,,,,,,Degrees Celsius,1,N,A,FIU17616,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,4/7/93,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,24.6,,,24.6,,,,,,Degrees Celsius,1,N,A,FIU17617,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
FLAB25,FLAB,5/12/93,SAMP,MON,SA,G,,0,,7,Temperature,TEMP,25.3,,,25.3,,,,,,Degrees Celsius,1,N,A,FIU17618,,0,0,,,,,,25.0837,81.080581,,,FIU,FIU,,,,,,,,,,,,
