"","source_file","total_area_m2","n_patches","easting","northing"
"1","2016_05_monthly_frequency_FLBAY.tif",22790594.4145218,5,517764.724776736,2773769.93572318
"2","2016_06_monthly_frequency_FLBAY.tif",10818052.8739206,6,519155.107119308,2772299.30255131
"3","2016_07_monthly_frequency_FLBAY.tif",20012638.744164,8,519820.18689776,2774755.89790252
"4","2016_08_monthly_frequency_FLBAY.tif",40890169.680374,6,518887.778067257,2775658.82352953
"5","2016_09_monthly_frequency_FLBAY.tif",55821990.8737699,4,524441.543043754,2773205.85304561
"6","2016_10_monthly_frequency_FLBAY.tif",131673504.169215,3,521697.095775203,2765713.40503839
"7","2016_11_monthly_frequency_FLBAY.tif",31775234.5117527,7,510337.326212908,2765717.04299178
"8","2016_12_monthly_frequency_FLBAY.tif",59401784.0197738,6,513114.954756473,2761457.63534805
"9","2017_01_monthly_frequency_FLBAY.tif",38322158.2421018,3,518480.449137989,2763350.19293264
"10","2017_02_monthly_frequency_FLBAY.tif",13482440.4480326,3,529042.658040072,2769016.87780793
"11","2017_03_monthly_frequency_FLBAY.tif",3877473.89802681,3,522159.215111959,2767054.95390988
"12","2017_04_monthly_frequency_FLBAY.tif",3934678.12434648,3,518182.720836206,2769362.42011861
"13","2017_05_monthly_frequency_FLBAY.tif",6076089.59681698,4,519482.869368413,2768270.76740422
"14","2017_06_monthly_frequency_FLBAY.tif",3588272.65363906,6,516238.319568034,2766385.10491749
"15","2017_07_monthly_frequency_FLBAY.tif",3356367.32428942,2,520442.155781879,2768060.01345934
"16","2017_08_monthly_frequency_FLBAY.tif",6828042.90664377,4,522628.526717836,2768943.43028594
"17","2017_09_monthly_frequency_FLBAY.tif",5843201.11852976,4,514003.974908131,2771538.42139063
"18","2017_10_monthly_frequency_FLBAY.tif",121695998.452945,16,521403.541775341,2774680.66229791
"19","2017_11_monthly_frequency_FLBAY.tif",162744890.172373,11,521217.19853913,2766490.15974548
"20","2017_12_monthly_frequency_FLBAY.tif",65874440.3890929,8,528369.581969991,2775860.18408537
"21","2018_01_monthly_frequency_FLBAY.tif",52334727.643529,15,528902.607400067,2777476.15466843
"22","2018_02_monthly_frequency_FLBAY.tif",40573201.5731959,13,514458.336191548,2784923.46540505
"23","2018_03_monthly_frequency_FLBAY.tif",39584411.8304238,19,513882.342034519,2787082.59370442
"24","2018_04_monthly_frequency_FLBAY.tif",39120077.3895826,15,508308.876625248,2787749.55991147
"25","2018_05_monthly_frequency_FLBAY.tif",6422303.85492794,7,515673.801652352,2770362.98797519
"26","2018_06_monthly_frequency_FLBAY.tif",12363342.579595,6,506771.984798825,2790505.4875344
"27","2018_07_monthly_frequency_FLBAY.tif",11044028.8206683,6,525951.269646377,2778920.79554988
"28","2018_08_monthly_frequency_FLBAY.tif",27291900.2471411,6,524479.16546472,2779020.30065251
"29","2018_09_monthly_frequency_FLBAY.tif",54886268.4985543,8,522967.157906181,2775719.96007801
"30","2018_10_monthly_frequency_FLBAY.tif",85685689.1393866,5,516526.759888235,2770803.99021042
"31","2018_11_monthly_frequency_FLBAY.tif",152511303.558408,5,520149.668811164,2765575.76052294
"32","2018_12_monthly_frequency_FLBAY.tif",64911393.8879193,6,527187.411384339,2771629.59163117
"33","2019_01_monthly_frequency_FLBAY.tif",9828673.71219144,5,528923.444819706,2780492.0910219
"34","2019_02_monthly_frequency_FLBAY.tif",2832550.55589982,3,521887.758023697,2782446.12421603
"35","2019_03_monthly_frequency_FLBAY.tif",2601517.09560014,2,521153.568694464,2781431.93799979
"36","2019_04_monthly_frequency_FLBAY.tif",3759128.47447227,2,522404.319485539,2776456.79124189
"37","2019_05_monthly_frequency_FLBAY.tif",867501.816214996,1,520938.353860671,2776275.08784103
"38","2019_06_monthly_frequency_FLBAY.tif",1561204.3990944,3,517215.356984225,2778860.0087894
"39","2019_07_monthly_frequency_FLBAY.tif",4106753.06177698,5,523677.969846436,2774365.12302448
"40","2019_08_monthly_frequency_FLBAY.tif",2776092.49730408,4,527422.509538853,2775867.55568377
"41","2019_09_monthly_frequency_FLBAY.tif",6187021.72834394,2,525505.352440869,2778811.03457479
"42","2019_10_monthly_frequency_FLBAY.tif",53037310.3783741,5,518281.666524058,2775260.35861031
"43","2019_11_monthly_frequency_FLBAY.tif",7343654.54142727,3,524530.966352475,2778494.04195411
"44","2019_12_monthly_frequency_FLBAY.tif",2024909.38410143,2,526262.640180068,2771341.37349274
"45","2020_01_monthly_frequency_FLBAY.tif",982716.084530897,3,520674.710473043,2782528.15717065
"46","2020_02_monthly_frequency_FLBAY.tif",1445453.2503149,1,520706.25150939,2779875.45000406
"47","2020_03_monthly_frequency_FLBAY.tif",404771.86546909,1,519297.903129328,2778350.25388428
"48","2020_04_monthly_frequency_FLBAY.tif",1388584.82599208,1,523190.924153807,2770626.80222716
"49","2020_05_monthly_frequency_FLBAY.tif",751891.345256087,2,520968.974616731,2775245.98109277
"50","2020_06_monthly_frequency_FLBAY.tif",3122563.79698959,3,520841.80990725,2778182.14388156
"51","2020_07_monthly_frequency_FLBAY.tif",14057150.7709027,4,525387.178778595,2772798.22142871
"52","2020_08_monthly_frequency_FLBAY.tif",22788438.2899285,9,523163.809352023,2775051.92109885
"53","2020_09_monthly_frequency_FLBAY.tif",61258957.6535863,4,516111.217402389,2773338.84552922
"54","2020_10_monthly_frequency_FLBAY.tif",36171329.1735498,8,503456.073659178,2766736.10971121
"55","2020_11_monthly_frequency_FLBAY.tif",57967.6389350312,1,470945.565385774,2744720.21268841
"56","2020_12_monthly_frequency_FLBAY.tif",636052.145990124,2,515693.643774149,2778738.86738246
"57","2021_01_monthly_frequency_FLBAY.tif",1040886.18035155,2,514073.569102367,2777762.20156457
"58","2021_02_monthly_frequency_FLBAY.tif",115666.87153105,2,522114.187859522,2776285.8613202
"59","2021_04_monthly_frequency_FLBAY.tif",3003108.35877843,6,501399.494286076,2795282.23211275
"60","2021_05_monthly_frequency_FLBAY.tif",6759334.0790885,8,504198.906475376,2790590.70227218
"61","2021_06_monthly_frequency_FLBAY.tif",3065172.02836,4,506487.13861897,2776221.09338051
"62","2021_07_monthly_frequency_FLBAY.tif",231179.980181629,1,543101.462754473,2785357.5230112
"63","2021_08_monthly_frequency_FLBAY.tif",115680.799174584,1,522807.622849778,2774649.53649115
"64","2021_09_monthly_frequency_FLBAY.tif",289228.93582789,2,510320.294316027,2773320.94753474
"65","2021_10_monthly_frequency_FLBAY.tif",231226.320791877,2,520499.992496515,2782579.74766566
"66","2021_11_monthly_frequency_FLBAY.tif",983153.107583476,1,528652.620580733,2776515.63075617
"67","2021_12_monthly_frequency_FLBAY.tif",2948658.0743388,3,520756.299019879,2780192.99044048
