Site_code,Sampling_event,SIA/District,Sample_code,Collected,Dried,S2 ,Submitted_District,Powder,Decarb,Wrap,S34,Uc S,Wt%S,Uc S_Percents,Amount,Analyst comments,N15,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments,C13,Uc C,Wt%C,Uc C_Percents,Amount,Analyst comments
ACS1,4-24,SIA,ACS1_4-24_SIA,4/10/2024,8/13/2024,Y,,Y,Y,"C,N,S",,,,,3.600 ,Too small S,5.35 ,0.37 ,0.403 ,0.009747707,3.000 ,,-23.85,0.15 ,14.875 ,0.054951431,2.000 ,
ACS1,9-23,SIA,ACS1_9-23_SIA,9/26/2023,8/1/2024,Y,,Y,Y,"C,N,S",-4.80,0.79 ,0.478 ,0.046 ,3.200 ,,,,,,2.600 ,BQL_N<0.0099mg;0.0082 mg N ;estimated target 5.76mg,-23.75,0.18 ,19.670 ,0.181962392,2.500 ,
ACS2,4-24,SIA,ACS2_4-24_SIA,4/10/2024,8/19/2024,Y,,Y,Y,"C,N,S",,,,,3.800 ,Too Small S,,,,,2.300 ,BQL_N<0.0061mg;0.0057 mg N,-21.35,0.15 ,10.718 ,0.039367242,2.700 ,
ACS2,9-23,SIA,ACS2_9-23_SIA,9/26/2023,7/30/2024,Y,,Y,Y,"C,N,S",0.46 ,0.72 ,0.493 ,0.044 ,3.200 ,,,,,,2.400 ,BQL_N<0.0099mg;0.0077 mg N ;estimated target 5.62mg,-22.70,0.17 ,18.079 ,0.16420693,2.600 ,
ACS3,4-24,SIA,ACS3_4-24_SIA,4/10/2024,8/13/2024,Y,,Y,Y,"C,N,S",-0.45,0.96 ,0.223 ,0.294 ,3.700 ,,,,,,2.300 ,BQL_N<0.0099mg;0.0082 mg N ;estimated target 5.1mg,-16.80,,14.628 ,0.069622566,2.900 ,Large C
ACS3,9-23,SIA,ACS3_9-23_SIA,9/26/2023,7/30/2024,Y,,Y,Y,"C,N,S",0.06 ,0.72 ,1.150 ,0.075 ,3.700 ,,3.38 ,0.40 ,1.192 ,0.005337271,3.000 ,,-25.12,0.26 ,26.836 ,0.27577811,2.500 ,Large C
ACS4,4-24,SIA,ACS4_4-24_SIA,4/10/2024,8/16/2024,Y,,Y,Y,"C,N,S",-0.47,1.92 ,0.142 ,0.338 ,3.700 ,very small S,,,,,2.400 ,BQL_N<0.0061mg;0.0033 mg N,-4.82,0.15 ,10.516 ,0.041713856,2.100 ,
ACS4,9-23,SIA,ACS4_9-23_SIA,9/26/2023,7/30/2024,Y,,Y,Y,"C,N,S",-0.53,1.46 ,0.408 ,0.057 ,3.100 ,Very small S,,,,,3.000 ,BQL_N<0.0099mg;0.0083 mg N ;estimated target 6.58mg,-21.69,0.17 ,14.747 ,0.108899782,2.100 ,
ACS5,4-24,SIA,ACS5_4-24_SIA,4/10/2024,8/19/2024,Y,,Y,Y,"C,N,S",2.14 ,1.33 ,0.194 ,0.375 ,3.200 ,small S,4.42 ,0.37 ,0.385 ,0.012150891,2.600 ,,-18.94,0.15 ,12.292 ,0.047150485,2.700 ,
ACS5,9-23,SIA,ACS5_9-23_SIA,9/26/2023,8/1/2024,Y,,Y,Y,"C,N,S",2.27 ,0.70 ,0.508 ,0.039 ,3.300 ,,,,,,2.800 ,BQL_N<0.0099mg;0.0036 mg N ;estimated target 13.9mg,-21.01,0.17 ,20.907 ,0.191676321,2.300 ,
