,,Sampling_event,sample_dry_weight,CN_weight,C_weight,N_weight,C_mol_weight,N_mol_weight,C_N,Site_code,Sub Sample weight (g),Pan weight(g),Ash weight w/pan (g),organic material (g),inorganic material (g)
1,TBCM ,9-23,30.6,3.002,22.34,1.66,1.860,0.118,15.726,TBCM ,2.9824,1.1253,2.9091,1.1986,1.7838
2,SBT1 ,9-23,23.0,3.165,28.98,1.67,2.413,0.119,20.203,SBT1 ,2.7615,1.1177,2.2335,1.6457,1.1158
3,SBT2,9-23,112.5,3.015,11.01,0.37,0.917,0.026,34.935,SBT2,3.0226,1.0790,3.6802,0.4214,2.6012
4,OL ,9-23,41.3,3.299,15.76,0.68,1.312,0.048,27.081,OL ,2.8188,1.0890,3.5341,0.3737,2.4451
5,E146 ,9-23,22.4,3.468,19.84,1.16,1.652,0.083,20.011,E146 ,2.8282,1.0760,3.3405,0.5637,2.2645
6,RB ,9-23,110.4,3.431,12.10,0.48,1.008,0.034,29.614,RB ,3.1701,1.0730,3.6831,0.5600,2.6101
7,ACS1 ,9-23,73.6,3.664,12.05,0.36,1.004,0.026,38.718,ACS1 ,2.9714,1.0656,3.7736,0.2634,2.7080
8,ACS2 ,9-23,53.3,3.369,12.76,0.40,1.063,0.029,37.227,ACS2 ,3.2681,1.0951,2.9832,1.3800,1.8881
9,ACS3 ,9-23,33.9,3.855,15.54,0.93,1.294,0.066,19.465,ACS3 ,3.3309,1.0938,3.5636,0.8611,2.4698
10,ACS4 ,9-23,99.2,3.483,11.57,0.28,0.963,0.020,48.325,ACS4 ,2.7464,1.0980,3.6430,0.2014,2.5450
11,ACS5 ,9-23,88.9,2.947,12.74,0.47,1.061,0.034,31.389,ACS5 ,2.4106,1.0760,3.1726,0.3140,2.0966
12,GBHM ,9-23,122.2,3.024,11.61,0.43,0.967,0.031,31.682,GBHM ,3.5760,1.1070,3.9225,0.7605,2.8155
13,TKB ,9-23,144.7,3.357,11.87,0.26,0.989,0.019,53.122,TKB ,3.1094,1.0933,4.0107,0.1920,2.9174
14,CP ,9-23,31.0,3.053,22.67,1.46,1.888,0.104,18.094,CP ,2.5874,1.1241,2.9709,0.7406,1.8468
15,MCS1 ,9-23,35.5,3.862,12.30,0.64,1.024,0.046,22.320,MCS1 ,3.3335,1.1130,3.5991,0.8474,2.4861
16,MCS2 ,9-23,114.2,3.195,11.71,0.31,0.975,0.022,44.502,MCS2 ,2.8787,1.1002,3.7676,0.2113,2.6674
17,MCS3 ,9-23,87.3,2.23,11.48,0.38,0.956,0.027,34.985,MCS3 ,2.6642,1.0780,3.5023,0.2399,2.4243
18,MCS4 ,9-23,63.3,3.117,13.48,0.54,1.122,0.038,29.243,MCS4 ,3.3407,1.0740,3.6871,0.7276,2.6131
19,JB ,9-23,69.0,3.069,12.23,0.56,1.018,0.040,25.479,JB ,2.9301,1.0831,3.4838,0.5294,2.4007
20,P37 ,9-23,15.3,3.357,20.14,1.21,1.677,0.086,19.412,P37 ,2.6747,1.0862,3.1734,0.5875,2.0872
21,TBHM ,9-23,25.4,3.533,20.28,1.09,1.689,0.078,21.725,TBHM ,2.5626,1.0952,2.7011,0.9567,1.6059
22,TB1 ,9-23,65.1,3.292,11.77,0.37,0.980,0.026,37.104,TB1 ,3.2162,1.0880,3.9000,0.4042,2.8120
23,TB2 ,9-23,74.0,4.009,12.09,0.29,1.006,0.021,49.043,TB2 ,3.4575,1.1062,4.2543,0.3094,3.1481
24,DC1,9-23,34.0,4.08,15.78,0.88,1.314,0.063,20.866,DC1,2.6733,1.0623,2.8733,0.8623,1.8110
25,DC2,9-23,102.2,5.264,10.99,0.23,0.915,0.016,56.188,DC2,3.0220,1.1011,3.7385,0.3846,2.6374
26,GB1,9-23,70.0,2.855,11.46,0.49,0.954,0.035,27.049,GB1,2.6268,1.0750,3.2129,0.4889,2.1379
27,GB2,9-23,84.8,3.854,12.07,0.43,1.005,0.031,32.484,GB2,2.5051,1.1065,3.2216,0.3900,2.1151
28,R127,9-23,34.4,3.227,16.67,0.80,1.388,0.057,24.342,R127,2.5973,1.1100,3.3231,0.3842,2.2131
29,NCC,9-23,66.4,2.8,16.02,0.72,1.334,0.051,26.115,NCC,2.7190,1.1153,3.4916,0.3427,2.3763
30,CC,9-23,123.2,3.791,10.41,0.22,0.866,0.016,54.084,CC,3.4452,1.1134,4.2873,0.2713,3.1739
31,WB1,9-23,50.0,3.605,12.17,0.37,1.013,0.026,38.554,WB1,3.5373,1.1213,4.2192,0.4394,3.0979
32,WB2,9-23,115.2,2.869,12.71,0.44,1.058,0.031,33.661,WB2,2.6305,1.0792,3.4101,0.2996,2.3309
33,TSM1,9-23,26.7,3.239,20.71,1.28,1.724,0.091,18.905,TSM1,2.8021,1.0758,3.3560,0.5219,2.2802
34,TSM3,9-23,17.8,3.278,22.08,1.61,1.838,0.115,15.985,TSM3,2.6079,1.0991,2.9600,0.7470,1.8609
35,TSM4,9-23,5.0,3.549,45.68,2.27,3.803,0.162,23.445,TSM4,2.3496,1.1183,1.3497,2.1182,0.2314
36,DCM*,9-23,79.3,3.9,13.88,0.87,1.156,0.062,18.540,DCM*,3.1220,1.1297,3.4006,0.8511,2.2709
37,CP ,4-24,39.2,3.357,24.66,1.68,2.053,0.120,17.099,CP ,3.4895,1.0970,3.8582,0.7283,2.7612
38,RB ,4-24,124.6,3.419,12.10,0.47,1.008,0.034,29.757,RB ,3.1671,1.0807,3.7321,0.5157,2.6514
39,TBCM ,4-24,51.3,3.449,15.70,0.74,1.307,0.053,24.579,TBCM ,3.2762,1.0948,3.5186,0.8524,2.4238
40,TBC,4-24,98.7,3.651,12.60,0.46,1.049,0.033,32.211,TBC,3.6482,1.1077,4.0872,0.6687,2.9795
41,OL ,4-24,105.5,3.997,14.81,0.50,1.233,0.036,34.258,OL ,3.7263,1.1130,4.5092,0.3301,3.3962
42,EP146,4-24,64.3,3.899,15.51,0.58,1.291,0.041,31.379,EP146,3.5462,1.1085,4.2995,0.3552,3.1910
43,P37 ,4-24,71.3,5.062,15.37,0.49,1.280,0.035,36.960,P37 ,3.6252,1.0848,4.3519,0.3581,3.2671
44,R127,4-24,58.6,3.531,17.87,0.76,1.488,0.054,27.429,R127,3.0724,1.0847,3.7235,0.4336,2.6388
45,JB ,4-24,153.1,4.087,11.98,0.37,0.998,0.026,38.136,JB ,3.4123,1.1056,4.0238,0.4941,2.9182
46,CC,4-24,120.5,4.243,11.90,0.13,0.991,0.009,106.151,CC,4.1646,1.1080,5.0126,0.2600,3.9046
47,GB1,4-24,75.4,4.128,13.23,0.46,1.102,0.033,33.470,GB1,3.8675,1.1211,4.2583,0.7303,3.1372
48,WB1,4-24,191.7,6.406,12.53,0.28,1.043,0.020,53.142,WB1,3.9338,1.1060,4.5281,0.5117,3.4221
49,MCS1 ,4-24,63.6,4.196,12.46,0.41,1.037,0.029,35.727,MCS1 ,3.0020,1.1104,3.5153,0.5971,2.4049
50,MCSY,4-24,66.7,3.762,16.46,0.52,1.371,0.037,37.182,MCSY,3.8402,1.0902,4.1951,0.7353,3.1049
51,MCS2 ,4-24,134.1,3.426,14.04,0.32,1.169,0.023,51.122,MCS2 ,3.7705,1.1028,4.4831,0.3902,3.3803
