Site_code,,sample ID,weight (g),TP (mg/kg),TP
TBCM,923S2,1,0.1108,435.02,0.043501805
SBT1,923S2,2,0.1086,850.83,0.085082873
SBT2,923S2,3,0.106,298.11,0.029811321
OL,923S2,4,0.1074,91.25,0.009124767
E146,923S2,5,0.1129,116.92,0.011691763
RB,923S2,6,0.1062,223.16,0.022316384
ACS1,923S2,7,0.1122,113.19,0.011319073
ACS2,923S2,8,0.1069,128.16,0.012815716
ACS3,923S2,9,0.1049,888.47,0.088846521
ACS4,923S2,10,0.1085,105.99,0.010599078
ACS5,923S2,11,0.1009,333.00,0.033300297
GBHM,923S2,12,0.1021,532.81,0.053281097
TKB,923S2,13,0.1049,65.78,0.006577693
CP,923S2,14,0.1005,167.16,0.016716418
MCS1,923S2,15,0.1041,219.02,0.021902017
MCS2,923S2,16,0.1031,245.39,0.024539282
MCS3,923S2,17,0.1011,92.98,0.009297725
MCS4,923S2,18,0.1045,85.17,0.008516746
JB,923S2,19,0.1019,274.78,0.02747792
P37,923S2,20,0.1015,335.96,0.033596059
TBHM,923S2,21,0.1016,58.07,0.005807087
TB1,923S2,22,0.1045,427.75,0.04277512
TB2,923S2,23,0.1014,135.11,0.013510848
DC1,923S2,24,0.1052,76.05,0.007604563
DC2,923S2,25,0.1001,540.46,0.054045954
GB1,923S2,26,0.1021,317.34,0.031733595
GB2,923S2,27,0.1011,220.57,0.022057369
R127,923S2,28,0.1,194.00,0.0194
NCC,923S2,29,0.1047,127.98,0.012798472
CC,923S2,30,0.1012,91.90,0.009189723
WB1,923S2,31,0.1005,368.16,0.03681592
WB2,923S2,32,0.1006,192.84,0.019284294
TSM1,923S2,33,0.1018,177.80,0.017779961
TSM3,923S2,34,0.1066,71.29,0.007129456
TSM4,923S2,35,0.1035,201.93,0.020193237
DCM1,923S2,36,0.1022,543.05,0.054305284
CP,324S2,37,0.103,554.37,0.055436893
RB,424S2,38,0.135,142.96,0.014296296
TBCM,424S2,39,0.1035,291.79,0.029178744
TBC,424S2,40,0.1563,191.94,0.019193858
OL,324S2,41,0.1019,272.82,0.027281649
EP146,324S2,42,0.1033,55.18,0.005517909
P37,324S2,43,0.1019,72.62,0.007262022
R127,324S2,44,0.1513,52.88,0.005287508
JB,424S2,45,0.1099,182.89,0.018289354
CC,424S2,46,0.1185,217.72,0.021772152
GB1,424S2,47,0.1019,275.76,0.027576055
WB1,424S2,48,0.1359,183.96,0.018395879
MCS1,424S2,49,0.1441,124.91,0.012491325
MCSY,424S2,50,0.1412,159.35,0.015934844
MCS2,424S2,51,0.1493,246.48,0.024648359
MCS3,424S2,52,0.1465,90.78,0.009078498
ACS1,424S2,53,0.1642,62.12,0.006211937
ACS2,424S2,54,0.162,206.17,0.020617284
TSM1,424S2,55,0.1783,87.49,0.008749299
TSM4,424S2,56,0.1207,258.49,0.025849213
NC1,424S2,57,0.1023,456.50,0.045650049
ACS3,424S2,58,0.132,512.88,0.051287879
ACS5,424S2,59,0.1428,93.84,0.009383754
TBHM,424S2,60,0.1027,445.96,0.04459591
DC1,424S2,61,0.1093,235.13,0.023513266
TB1,424S2,62,0.1239,359.97,0.035996772
TB2,424S2,63,0.1381,69.51,0.006951484
WB2,424S2,64,0.1203,68.99,0.006899418
TSM3,424S2,65,0.1319,62.93,0.006292646
GB2,424S2,66,0.1738,71.35,0.007134638
ACS4,424S2,67,0.1495,270.23,0.027023411
DC2,424S2,68,0.1793,67.48,0.006748466
DCM1,424S2,69,0.1388,330.69,0.033069164
TKB,424S2,70,0.1811,329.10,0.032909994
SBT1,424S2,71,0.1299,67.74,0.006774442
SBT2,424S2,72,0.141,1112.06,0.111205674
,,,,,
,,,,,
