Site_code,Sampling_event,Sample_code,Collected,Time_Collected,Temp,DO%,DO,Salinity,pH,NTU,FDOM_RFU,FDOM_QSU
P37,9_23,P37_9_23_WQ,9/15/2023,9:37,,,,,,,,
NCL,9_23,NCL_9_23_WQ,9/15/2023,10:37,,,,,,,,
CP,9_23,CP_9_23_WQ,9/15/2023,11:25,,,,,,,,
EP146,9_23,EP146_9_23_WQ,9/15/2023,12:39,,,,,,,,
OL,9_23,OL_9_23_WQ,9/15/2023,13:14,,,,,,,,
TSH,9_23,TSH_9_23_WQ,9/15/2023,13:55,,,,,,,,
R127,9_23,R127_9_23_WQ,9/15/2023,14:27,,,,,,,,
ACS1,9-23,ACS1_9-23_WQ,9/26/2023,7:57,29.153,84.3,6.02,12.97,8.01,3.82,45.67,137.03
ACS2,9-23,ACS2_9-23_WQ,9/26/2023,8:53,29.212,81.2,5.83,11.73,8,3.91,44.03,134.8
ACS3,9-23,ACS3_9-23_WQ,9/26/2023,9:28,29.082,92.5,6.68,10.63,8.44,6.53,29.84,59.59
ACS4,9-23,ACS4_9-23_WQ,9/26/2023,11:18,28.961,62.5,4.46,12.86,7.72,4.15,45.63,136.8
ACS5,9-23,ACS5_9-23_WQ,9/26/2023,14:49,32.004,78.1,5.12,20.12,8,20.55,38.87,116.6
GBHM,9-23,GBHM_9-23_WQ,9/26/2023,15:07,,,,14.6,,,,
DC1,9-23,DC1_9-23_WQ,9/26/2023,13:29,29.958,34.6,2.34,19.77,7.9,20.1,45.1,135.27
DCM1,9-23,DCM1_9-23_WQ,9/26/2023,13:59,,,,14.4,,,,
DC2,9-23,DC2_9-23_WQ,9/26/2023,12:35,29.36,29.3,2.03,17.67,7.67,16.51,45.42,136.17
DCM2,9-23,DCM2_9-23_WQ,9/26/2023,13:00,,,,6.6,,,,
GB1,9-23,GB1_9-23_WQ,9/26/2023,14:28,30.731,98.5,6.32,26.84,8.18,9.01,29.6,88.82
MCS1,9-23,MCS1_9-23_WQ,9/27/2023,10:49,29.141,95,6.82,12,8.37,2.28,32.87,98.63
MCS2,9-23,MCS2_9-23_WQ,9/27/2023,11:16,29.314,94.4,6.72,12.96,8.13,3.99,32.28,96.88
MCS3,9-23,MCS3_9-23_WQ,9/27/2023,11:39,29.199,89,6.24,15.8,8,3.96,36.56,109.7
MCS4,9-23,MCS4_9-23_WQ,9/27/2023,12:09,29.036,65.5,4.57,17.45,7.86,8.49,35.1,105.13
TBHM,9-23,TBHM_9-23_WQ,9/27/2023,12:41,,,,12.6,,,,
TBC,9-23,TBC_9-23_WQ,9/27/2023,13:37,29.954,81.3,5.19,30.67,7.9,21.54,16.07,48.24
TBCM,9-23,TBCM_9-23_WQ,9/27/2023,14:11,,,,28.2,,,,
TB1,9-23,TB1_9-23_WQ,9/27/2023,13:03,30.734,65.4,4.34,21.43,7.81,8.73,32.64,97.94
TB2,9-23,TB2_9-23_WQ,9/27/2023,14:39,29.625,93.9,5.94,34.17,8.19,5.36,10.3,31
GB2,9-23,GB2_9-23_WQ,9/27/2023,15:38,29.897,111.1,6.99,33.67,8.24,11.51,13.43,40.3
RB,9-23,RB_9-23_WQ,9/27/2023,15:06,29.485,111.3,6.97,35.77,8.21,1.9,14.37,43.15
TSM1,9-23,TSM1_9-23_WQ,9/30/2023,10:40,,,,,,,,
TSM3,9-23,TSM3_9-23_WQ,9/30/2023,9:35,,,,,,,,
TSM4,9-23,TSM4_9-23_WQ,9/30/2023,9:10,,,,,,,,
SBT1,9-23,SBT1_9-23_WQ,9/30/2023,8:15,,,,28.3,,,,
SBT2,9-23,SBT2_9-23_WQ,10/5/2023,9:05,28.197,72.6,4.6,36.89,8.04,7.5,11.51,34.48
WB1,9-23,WB1_9-23_WQ,10/5/2023,10:16,28.192,85.6,5.48,35.62,8.04,1.56,12.05,36.14
WB2,9-23,WB2_9-23_WQ,10/5/2023,10:50,28.382,104.8,6.62,37.41,8.24,0.98,8.95,26.89
TKB,9-23,TKB_9-23_WQ,10/5/2023,12:00,28.866,104.5,6.53,38.15,8.3,0.24,6.84,20.57
JB,9-23,JB_9-23_WQ,10/5/2023,13:21,28.937,115.4,7.24,37.19,8.56,0,6.44,19.32
CC,9-23,CC_9-23_WQ,10/5/2023,14:25,29.215,109.7,6.84,37.15,8.16,6.37,4.21,12.65
TSM3,1123E,TSM3_1123E_WQ,11/28/2023,13:13,25.1,75,6.3,0.2,,,,
TSM4,1123E,TSM4_1123E_WQ,11/28/2023,12:55,24.4,55,4.7,0.2,,,,
SBT1,1123E,SBT1_1123E_WQ,11/28/2023,12:11,23.5,11,1.04,10.5,,,,
ACS1,1123E,ACS1_1123E_WQ,11/28/2023,10:41,25.2,97,7.6,10,,,,
DC1,1123E,DC1_1123E_WQ,11/28/2023,8:44,20.2,9,0.8,14.4,,,,
DCM1,1123E,DCM1_1123E_WQ,11/28/2023,8:57,20,55,4.7,13.6,,,,
GB1,1123E,GB1_1123E_WQ,11/28/2023,8:10,23.2,64,5,16.9,,,,
P37,11_23,P37_11_23_WQ,11/29/2023,9:42,,,,,,,,
NCL,11_23,NCL_11_23_WQ,11/29/2023,10:45,,,,,,,,
CP,11_23,CP_11_23_WQ,11/29/2023,11:38,,,,,,,,
EP146,11_23,EP146_11_23_WQ,11/29/2023,12:52,,,,,,,,
OL,11_23,OL_11_23_WQ,11/29/2023,13:32,,,,,,,,
TSH,11_23,TSH_11_23_WQ,11/29/2023,14:12,,,,,,,,
R127,11_23,R127_11_23_WQ,11/29/2023,14:48,,,,,,,,
SBT2,1123E,SBT2_1123E_WQ,11/30/2023,10:28,20.9,136,9.3,34.5,,,,
MCS1,1123E,MCS1_1123E_WQ,11/30/2023,15:02,22.8,99,8.3,5,,,,
TB1,1123E,TB1_1123E_WQ,11/30/2023,14:14,22.8,98,8.1,8.6,,,,
TB2,1123E,TB2_1123E_WQ,11/30/2023,13:52,22.5,98,7.6,22.1,,,,
GB2,1123E,GB2_1123E_WQ,11/30/2023,9:05,19.9,89,7.2,21.7,,,,
RB,1123E,RB_1123E_WQ,11/30/2023,8:42,20.5,77,6,29.2,,,,
WB1,1123E,WB1_1123E_WQ,11/30/2023,13:22,22.2,95,7.2,26.2,,,,
TKB,1123E,TKB_1123E_WQ,11/30/2023,12:42,22.6,101,7.4,30,,,,
JB,1123E,JB_1123E_WQ,11/30/2023,11:22,20.9,106,7.7,35.9,,,,
SBT2,1-24,SBT2_1-24_WQ,1/6/2024,10:10,21.7,59,4.3,31.2,,,,
GB2,1-24,GB2_1-24_WQ,1/6/2024,9:45,21.7,92,7,24.6,,,,
RB,1-24,RB_1-24_WQ,1/6/2024,8:53,21.1,87,6.7,26.4,,,,
