Site_code,Sampling_event,Sample_code,Collected,Time_Collected,Temp,DO%,DO,Salinity,pH,NTU,FDOM_RFU
ACS2,23-Sep,ACS2_9-23_WQ,9/26/2023,8:53,29.212,81.2,5.88,11.73,8,3.91,44.93
ACS3,23-Sep,ACS3_9-23_WQ,9/26/2023,9:29,29.082,92.5,6.68,10.63,8.44,6.53,29.84
ACS5,23-Sep,ACS5_9-23_WQ,9/26/2023,14:49,32.004,78.1,5.12,20.12,8,20.55,38.87
GB1,23-Sep,GB1_9-23_WQ,9/26/2023,14:28,30.731,98.5,6.32,26.84,8.18,9.01,29.6
DC2,23-Sep,DC2_9-23_WQ,9/26/2023,12:35,29.36,29.3,2.03,17.67,7.67,16.51,45.42
DC1,23-Sep,DC1_9-23_WQ,9/26/2023,13:29,29.958,34.6,2.34,19.77,7.9,20.1,45.1
ACS1,23-Sep,ACS1_9-23_WQ,9/26/2023,7:57,29.153,84.3,6.02,12.97,8.01,3.82,45.67
ACS4,23-Sep,ACS4_9-23_WQ,9/26/2023,11:18,28.961,62.5,4.46,12.86,7.72,4.15,45.63
TB2,23-Sep,TB2_9-23_WQ,9/27/2023,2:39,29.625,93.9,5.94,34.17,8.19,5.36,10.3
TBC,23-Sep,TBC_9-23_WQ,9/27/2023,13:37,29.954,81.3,5.19,30.67,7.9,21.54,16.07
GB2,23-Sep,GB2_9-23_WQ,9/27/2023,3:38,29.897,111.1,6.99,33.67,8.24,11.51,13.43
RB,23-Sep,RB_9-23_WQ,9/27/2023,15:06,29.485,111.3,6.97,35.77,8.21,1.9,14.37
TB1,23-Sep,TB1_9-23_WQ,9/27/2023,13:03,30.734,65.4,4.34,21.43,7.81,8.73,32.64
MCS3,23-Sep,MCS3_9-23_WQ,9/27/2023,11:39,29.199,89,6.24,15.8,8,3.96,36.56
MCS4,23-Sep,MCS4_9-23_WQ,9/27/2023,12:09,29.036,65.5,4.07,17.45,7.86,8.49,35.2
MCS1,23-Sep,MCS1_9-23_WQ,9/27/2023,10:49,29.141,95,6.82,12,8.37,2.28,32.87
MCS2,23-Sep,MCS2_9-23_WQ,9/27/2023,11:16,29.341,94.4,6.72,12.96,8.13,3.99,32.28
JB,23-Sep,JB_9-23_WQ,10/5/2023,1:21,28.937,115.4,7.54,37.19,8.56,-0.1,6.44
TKB,23-Sep,TKB_9-23_WQ,10/5/2023,12:00,28.866,104.5,6.53,38.15,8.3,0.24,6.84
SBT2,23-Sep,SBT2_9-23_WQ,10/5/2023,9:05,28.197,72.6,4.6,36.89,8.04,7.5,11.51
CC,23-Sep,CC_9-23_WQ,10/5/2023,2:25,29.215,109.7,6.84,37.15,8.16,6.37,4.21
WB2,23-Sep,WB2_9-23_WQ,10/5/2023,10:50,29.382,104.8,6.62,37.41,8.24,0.98,8.95
WB1,23-Sep,WB1_9-23_WQ,10/5/2023,10:16,28.192,85.6,5.48,35.62,8.04,1.56,12.05
GB1,1123E,GB1_1123E_WQ,11/28/2023,8:10,23.2,64,5,16.9,,,
ACS1,1123E,ACS1_1123E_WQ,11/28/2023,10:41,25.2,97,7.6,10,,,
TSM3,1123E,TSM3_1123E_WQ,11/28/2023,13:13,25.2,75,6.3,0.2,,,
TSM4,1123E,TSM4_1123E_WQ,11/28/2023,12:55,24.4,55,4.7,0.2,,,
SBT1,1123E,SBT1_1123E_WQ,11/28/2023,12:11,23.5,11,1.04,10.5,,,
DC1,1123E,DC1_1123E_WQ,11/28/2023,8:44,20.2,9,0.8,14.4,,,
DCM1,1123E,DCM1_1123E_WQ,11/28/2023,8:57,20,55,4.7,3.6,,,
