Site_code,Sampling_event,Sample_code,Collected,Majority
ACS1,9-23,ACS1_9-23_A,9/26/2023,Gleo
ACS4,9-23,ACS4_9-23_A,9/26/2023,Syn
MCS1,9-23,MCS1_9-23_A,9/27/2023,Gleo
MCS3,9-23,MCS3_9-23_A,9/27/2023,Syn
TB1,9-23,TB1_9-23_A,9/27/2023,Syn
GB1,9-23,GB1_9-23_A,9/26/2023,Syn
RB,9-23,RB_9-23_A,9/27/2023,Syn
WB1,9-23,WB1_9-23_A,9/27/2023,Syn
ACS1,1-24,ACS1_1-24_A,2/2/2024,Gleo
ACS4,1-24,ACS4_1-24_A,2/2/2024,Gleo
MCS1,1-24,MCS1_1-24_A,1/7/2024,Gleo
MCS3,1-24,MCS3_1-24_A,1/7/2024,Gleo
TB1,1-24,TB1_1-24_A,1/7/2024,Gleo
GB1,1-24,GB1_1-24_A,2/2/2024,Gleo
RB,1-24,RB_1-24_A,1/6/2024,Gleo
WB1,1-24,WB1_1-24_A,1/7/2024,Gleo
ACS1,4-24,ACS1_4-24_A,4/10/2024,Gleo
ACS4,4-24,ACS4_4-24_A,4/10/2024,Gleo
MCS1,4-24,MCS1_4-24_A,4/8/2024,Syn
MCS3,4-24,MCS3_4-24_A,4/8/2024,Syn
TB1,4-24,TB1_4-24_A,4/8/2024,Syn
GB1,4-24,GB1_4-24_A,4/10/2024,Gleo
RB,4-24,RB_4-24_A,4/11/2024,Syn
WB1,4-24,WB1_4-24_A,4/11/2024,Syn
ACS1,8-24,ACS1_8-24_A,8/11/2024,Gleo
ACS4,8-24,ACS4_8-24_A,8/11/2024,Syn
MCS1,8-24,MCS1_8-24_A,8/10/2024,Mix
MCS3,8-24,MCS3_8-24_A,8/10/2024,Syn
TB1,8-24,TB1_8-24_A,8/10/2024,Syn
GB1,8-24,GB1_8-24_A,8/11/2024,Syn
RB,8-24,RB_8-24_A,8/12/2024,Syn
WB1,8-24,WB1_8-24_A,8/12/2024,Syn
