Site_code,Sampling_event,Rep,Sample_code,Collected,Water_amount,Processed,Chl
P37,9_23,1,P37_9_23_1,9/15/2023,47,NA,NA
P37,9_23,2,P37_9_23_2,9/15/2023,60,NA,NA
NCL,9_23,1,NCL_9_23_1,9/15/2023,60,NA,NA
NCL,9_23,2,NCL_9_23_2,9/15/2023,57,NA,NA
CP,9_23,1,CP_9_23_1,9/15/2023,58,NA,NA
CP,9_23,2,CP_9_23_2,9/15/2023,60,NA,NA
EP146,9_23,1,EP146_9_23_1,9/15/2023,58,NA,NA
EP146,9_23,2,EP146_9_23_2,9/15/2023,60,NA,NA
OL,9_23,1,OL_9_23_1,9/15/2023,NA,NA,NA
OL,9_23,2,OL_9_23_2,9/15/2023,58,NA,NA
TSH,9_23,1,TSH_9_23_1,9/15/2023,58,NA,NA
TSH,9_23,2,TSH_9_23_2,9/15/2023,55,NA,NA
R127,9_23,1,R127_9_23_1,9/15/2023,58,NA,NA
R127,9_23,2,R127_9_23_2,9/15/2023,55,NA,NA
ACS1,9-23,1,ACS1_9-23_1,9/26/2023,56,12/1/2023,31.63
ACS2,9-23,1,ACS2_9-23_1,9/26/2023,57,12/1/2023,35.99
ACS3,9-23,1,ACS3_9-23_1,9/26/2023,32,12/1/2023,45.99
ACS4,9-23,1,ACS4_9-23_1,9/26/2023,53,12/1/2023,24.9
ACS5,9-23,1,ACS5_9-23_1,9/26/2023,53,12/1/2023,34.88
GBHM,9-23,1,GBHM_9-23_1,9/26/2023,53,12/1/2023,23.46
DC1,9-23,1,DC1_9-23_1,9/26/2023,51,12/1/2023,25.07
DCM1,9-23,1,DCM1_9-23_1,9/26/2023,57,12/1/2023,38.77
DC2,9-23,1,DC2_9-23_1,9/26/2023,55,12/1/2023,34.13
DCM2,9-23,1,DCM2_9-23_1,9/26/2023,56,12/1/2023,39.03
GB1,9-23,1,GB1_9-23_1,9/26/2023,53,12/1/2023,15.8
ACS1,9-23,2,ACS1_9-23_2,9/26/2023,58,12/1/2023,30.25
ACS2,9-23,2,ACS2_9-23_2,9/26/2023,55,12/1/2023,36.63
ACS3,9-23,2,ACS3_9-23_2,9/26/2023,27,12/1/2023,41.89
ACS4,9-23,2,ACS4_9-23_2,9/26/2023,58,12/1/2023,23.29
ACS5,9-23,2,ACS5_9-23_2,9/26/2023,57,12/1/2023,30.08
GBHM,9-23,2,GBHM_9-23_2,9/26/2023,60,12/1/2023,39.62
DC1,9-23,2,DC1_9-23_2,9/26/2023,58,12/1/2023,32.87
DCM1,9-23,2,DCM1_9-23_2,9/26/2023,60,12/1/2023,26.71
DC2,9-23,2,DC2_9-23_2,9/26/2023,57,12/1/2023,34.39
DCM2,9-23,2,DCM2_9-23_2,9/26/2023,56,12/1/2023,15.23
GB1,9-23,2,GB1_9-23_2,9/26/2023,57,12/1/2023,17.21
MCS1,9-23,1,MCS1_9-23_1,9/27/2023,55,12/1/2023,14.61
MCS2,9-23,1,MCS2_9-23_1,9/27/2023,53,12/1/2023,17.75
MCS3,9-23,1,MCS3_9-23_1,9/27/2023,56,12/1/2023,21.45
MCS4,9-23,1,MCS4_9-23_1,9/27/2023,57,12/1/2023,22.23
TBHM,9-23,1,TBHM_9-23_1,9/27/2023,60,12/1/2023,22.07
TBC,9-23,1,TBC_9-23_1,9/27/2023,56,12/1/2023,10.1
TBCM,9-23,1,TBCM_9-23_1,9/27/2023,62,12/1/2023,9.76
TB1,9-23,1,TB1_9-23_1,9/27/2023,55,12/1/2023,18.42
TB2,9-23,1,TB2_9-23_1,9/27/2023,55,12/1/2023,1.69
GB2,9-23,1,GB2_9-23_1,9/27/2023,56,12/1/2023,7.98
RB,9-23,1,RB_9-23_1,9/27/2023,56,12/1/2023,2.74
MCS1,9-23,2,MCS1_9-23_2,9/27/2023,54,12/1/2023,15.42
MCS2,9-23,2,MCS2_9-23_2,9/27/2023,58,12/1/2023,17.71
MCS3,9-23,2,MCS3_9-23_2,9/27/2023,57,12/1/2023,22.27
MCS4,9-23,2,MCS4_9-23_2,9/27/2023,56,12/1/2023,22.79
TBHM,9-23,2,TBHM_9-23_2,9/27/2023,62,12/1/2023,17.47
TBC,9-23,2,TBC_9-23_2,9/27/2023,56,12/1/2023,9.32
TBCM,9-23,2,TBCM_9-23_2,9/27/2023,54,12/1/2023,13.99
