Site_code,Sampling_event,Rep,Sample_code,Collected,Water_amount,Processed,Chl
ACS1,9/23/2025,1,ACS1_9-23_1,9/26/2023,56,12/1/2023,31.63
ACS1,9/23/2025,2,ACS1_9-23_2,9/26/2023,58,12/1/2023,30.25
ACS1,11/1/2023,1,ACS1_1123E_1,11/28/2023,53,11/6/2024,13.29
ACS1,11/1/2023,2,ACS1_1123E_2,11/28/2023,55,11/6/2024,13.85
ACS1,4/24/2025,1,ACS1_4-24_1,4/10/2024,5,11/6/2024,28.1
ACS1,4/24/2025,2,ACS1_4-24_2,4/10/2024,11,11/6/2024,25.49
ACS1,8/24/2025,1,ACS1_8-24_1,,25,11/6/2024,77.17
ACS1,8/24/2025,2,ACS1_8-24_2,,25,11/6/2024,49.32
ACS2,9/23/2025,1,ACS2_9-23_1,9/26/2023,57,12/1/2023,35.99
ACS2,9/23/2025,2,ACS2_9-23_2,9/26/2023,55,12/1/2023,36.63
ACS2,4/24/2025,1,ACS2_4-24_1,4/10/2024,20,11/6/2024,28.52
ACS2,8/24/2025,1,ACS2_8-24_1,,30,11/6/2024,8.39
ACS2,8/24/2025,2,ACS2_8-24_2,,29,,4.86
ACS3,9/23/2025,1,ACS3_9-23_1,9/26/2023,32,12/1/2023,45.99
ACS3,9/23/2025,2,ACS3_9-23_2,9/26/2023,27,12/1/2023,41.89
ACS3,4/24/2025,2,ACS3_4-24_2,4/10/2024,20,11/6/2024,29.72
ACS3,8/24/2025,1,ACS3_8-24_1,,,11/6/2024,5.44
ACS3,8/24/2025,2,ACS3_8-24_2,,,11/6/2024,38.42
ACS4,9/23/2025,1,ACS4_9-23_1,9/26/2023,53,12/1/2023,24.9
ACS4,9/23/2025,2,ACS4_9-23_2,9/26/2023,58,12/1/2023,23.29
ACS4,4/24/2025,1,ACS4_4-24_1,4/10/2024,20,11/6/2024,51.02
ACS4,4/24/2025,2,ACS4_4-24_2,4/10/2024,20,11/6/2024,60.02
ACS4,8/24/2025,1,ACS4_8-24_1,,43,,1.23
ACS4,8/24/2025,2,ACS4_8-24_2,,37,,1.83
ACS5,9/23/2025,1,ACS5_9-23_1,9/26/2023,53,12/1/2023,34.88
ACS5,9/23/2025,2,ACS5_9-23_2,9/26/2023,57,12/1/2023,30.08
ACS5,4/24/2025,1,ACS5_4-24_1,4/10/2024,30,11/6/2024,33.15
ACS5,4/24/2025,2,ACS5_4-24_2,4/10/2024,24,11/6/2024,46.73
ACS5,8/24/2025,1,ACS5_8-24_1,,50,11/6/2024,22.75
ACS5,8/24/2025,2,ACS5_8-24_2,,50,11/6/2024,22.37
GB1,9/23/2025,1,GB1_9-23_1,9/26/2023,53,12/1/2023,15.8
GB1,9/23/2025,2,GB1_9-23_2,9/26/2023,57,12/1/2023,17.21
GB1,11/1/2023,1,GB1_1123E_1,11/28/2023,55,11/6/2024,19.83
GB1,11/1/2023,2,GB1_1123E_2,11/28/2023,57,11/6/2024,27.93
GB1,1/24/2025,1,GB1_1-24_1,1/11/2024,51,11/6/2024,15.17
GB1,1/24/2025,2,GB1_1-24_2,1/11/2024,52,11/6/2024,16.8
GB1,8/24/2025,1,GB1_8-24_1,,,11/6/2024,22.9
GB1,8/24/2025,2,GB1_8-24_2,,,11/6/2024,22.9
GB2,9/23/2025,1,GB2_9-23_1,9/27/2023,56,12/1/2023,7.98
GB2,9/23/2025,2,GB2_9-23_2,9/27/2023,57,12/1/2023,8.12
GB2,11/1/2023,1,GB2_1123E_1,11/30/2023,52,11/6/2024,21.26
GB2,11/1/2023,2,GB2_1123E_2,11/30/2023,52,11/6/2024,16.95
GB2,4/24/2025,1,GB2_4-24_1,4/11/2024,50,11/6/2024,5.81
GB2,4/24/2025,2,GB2_4-24_2,4/11/2024,50,11/6/2024,4.6
GB2,8/24/2025,1,GB2_8-24_1,,,11/6/2024,17.46
GB2,8/24/2025,2,GB2_8-24_2,,,11/6/2024,14.2
