"","Site_code","Sampling_event","Sample_code.x","Temp","DO","Salinity","pH","NTU","FDOM_RFU","FDOM_QSU","Site_Name","Latitude","Longitude","UTM_Easting","UTM_Northing","Site_type","Algal_subset","Notes","Sample_code.y","N.N_um.L","NO2.N_um.L","NO3.N_um.L","NH3.NH4.N_um.L","SRP_um.L","Sample_code.x.1","TN_um.L","TP_um.L","TOC_um.L","Rep","Sample_code.y.1","Collected","Water_amount","Processed","Chl"
"1","ACS1","1-24","ACS1_1-24_WQ",22.2,8.7,8.9,NA,NA,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1-24_F1","0.354",0.276,NA,1.085,"0.577","ACS1_1-24_UF1",166.7,2,1193,1,"ACS1_1-24_1","1/11/2024",25,"",NA
"2","ACS1","1-24","ACS1_1-24_WQ",22.2,8.7,8.9,NA,NA,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1-24_F1","0.354",0.276,NA,1.085,"0.577","ACS1_1-24_UF1",166.7,2,1193,2,"ACS1_1-24_2","1/11/2024",25,"",NA
"3","ACS1","1123E","ACS1_1123E_WQ",25.2,7.6,10,NA,NA,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1123E_F1","0.668",0.364,NA,0.542,"0.072","ACS1_1123E_UF",2.95,0.058,38.44,1,"ACS1_1123E_1","11/28/2023",53,"11/6/2024",13.29
"4","ACS1","1123E","ACS1_1123E_WQ",25.2,7.6,10,NA,NA,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1123E_F1","0.668",0.364,NA,0.542,"0.072","ACS1_1123E_UF",2.95,0.058,38.44,2,"ACS1_1123E_2","11/28/2023",55,"11/6/2024",13.85
"5","ACS1","1123E","ACS1_1123E_WQ",25.2,7.6,10,NA,NA,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1123E_F1","0.00935",0.0051,NA,0.00759,"0.00223","ACS1_1123E_UF",2.95,0.058,38.44,1,"ACS1_1123E_1","11/28/2023",53,"11/6/2024",13.29
"6","ACS1","1123E","ACS1_1123E_WQ",25.2,7.6,10,NA,NA,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1123E_F1","0.00935",0.0051,NA,0.00759,"0.00223","ACS1_1123E_UF",2.95,0.058,38.44,2,"ACS1_1123E_2","11/28/2023",55,"11/6/2024",13.85
"7","ACS1","4-24","ACS1_4-24_WQ",24.3,8.47,7.99,8.76,13.84,29.35,89.23,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_4-24_F1","2.623",0.345,2.278,2.108,"0.219","ACS1_4-24_UF1",148.8,2.41,1632,2,"ACS1_4-24_2","4/10/2024",11,"11/6/2024",25.49
"8","ACS1","4-24","ACS1_4-24_WQ",24.3,8.47,7.99,8.76,13.84,29.35,89.23,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_4-24_F1","2.623",0.345,2.278,2.108,"0.219","ACS1_4-24_UF1",148.8,2.41,1632,1,"ACS1_4-24_1","4/10/2024",5,"11/6/2024",28.1
"9","ACS1","9-23","ACS1_9-23_WQ",29.153,6.02,12.97,8.01,3.82,45.67,137.03,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_9-23_F1","0.783",0.55,NA,47.11,"0.020","ACS1_9-23_UF1",165.8,1.391,2901,2,"ACS1_9-23_2","9/26/2023",58,"12/1/2023",30.25
"10","ACS1","9-23","ACS1_9-23_WQ",29.153,6.02,12.97,8.01,3.82,45.67,137.03,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_9-23_F1","0.783",0.55,NA,47.11,"0.020","ACS1_9-23_UF1",165.8,1.391,2901,1,"ACS1_9-23_1","9/26/2023",56,"12/1/2023",31.63
"11","ACS2","1-24","ACS2_1-24_WQ",22.6,8.8,6.4,NA,NA,NA,NA,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_1-24_F1","0.674",0.137,NA,0.432,"0.031","ACS2_1-24_UF1",117.6,1.774,1788,1,"ACS2_1-24_1","1/11/2024",25,"",NA
"12","ACS2","1-24","ACS2_1-24_WQ",22.6,8.8,6.4,NA,NA,NA,NA,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_1-24_F1","0.674",0.137,NA,0.432,"0.031","ACS2_1-24_UF1",117.6,1.774,1788,2,"ACS2_1-24_2","1/11/2024",NA,"11/6/2024",NA
"13","ACS2","4-24","ACS2_4-24_WQ",25,8.51,6.23,8.47,10.92,26.35,80.06,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_4-24_F1","1.567",0.328,1.239,0.443,"0.239","ACS2_4-24_UF1",139.3,2.796,1429,1,"ACS2_4-24_1","4/10/2024",20,"11/6/2024",28.52
"14","ACS2","4-24","ACS2_4-24_WQ",25,8.51,6.23,8.47,10.92,26.35,80.06,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_4-24_F1","1.567",0.328,1.239,0.443,"0.239","ACS2_4-24_UF1",139.3,2.796,1429,2,"ACS2_4-24_2","4/10/2024",NA,"",NA
"15","ACS2","9-23","ACS2_9-23_WQ",29.212,5.88,11.73,8,3.91,44.93,134.8,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_9-23_F1","0.700",0.343,NA,9.553,"0.028","ACS2_9-23_UF1",109.6,1.91,2810,1,"ACS2_9-23_1","9/26/2023",57,"12/1/2023",35.99
"16","ACS2","9-23","ACS2_9-23_WQ",29.212,5.88,11.73,8,3.91,44.93,134.8,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_9-23_F1","0.700",0.343,NA,9.553,"0.028","ACS2_9-23_UF1",109.6,1.91,2810,2,"ACS2_9-23_2","9/26/2023",55,"12/1/2023",36.63
"17","ACS3","1-24","ACS3_1-24_WQ",22.3,8.7,4.2,NA,NA,NA,NA,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_1-24_F1","0.526",0.329,NA,0.666,"0.154","ACS3_1-24_UF1",108.6,1.916,1916,2,"ACS3_1-24_2","1/11/2024",NA,"11/6/2024",NA
"18","ACS3","1-24","ACS3_1-24_WQ",22.3,8.7,4.2,NA,NA,NA,NA,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_1-24_F1","0.526",0.329,NA,0.666,"0.154","ACS3_1-24_UF1",108.6,1.916,1916,1,"ACS3_1-24_1","1/11/2024",25,"",NA
"19","ACS3","4-24","ACS3_4-24_WQ",25,8.24,3.96,8.8,17.35,22.11,65.25,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_4-24_F1","0.964",0.589,0.375,1.639,"0.645","ACS3_4-24_UF1",95.5,3.196,914.2,2,"ACS3_4-24_2","4/10/2024",20,"11/6/2024",29.72
"20","ACS3","8-24","ACS3_8-24_WQ",31.94,6.21,7.97,8.18,5.61,2.07,22.49,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_8-24_F1","0.558",0.028,NA,2.425,"0.038","ACS3_8-24_UF1",79,0.757,763.1,2,"ACS3_8-24_2","",NA,"11/6/2024",38.42
"21","ACS3","8-24","ACS3_8-24_WQ",31.94,6.21,7.97,8.18,5.61,2.07,22.49,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_8-24_F1","0.558",0.028,NA,2.425,"0.038","ACS3_8-24_UF1",79,0.757,763.1,1,"ACS3_8-24_1","",NA,"11/6/2024",5.44
"22","ACS3","9-23","ACS3_9-23_WQ",29.082,6.68,10.63,8.44,6.53,29.84,89.59,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_9-23_F1","0.322",0.175,NA,0.341,"0.038","ACS3_9-23_UF1",71.4,1.996,1731,1,"ACS3_9-23_1","9/26/2023",32,"12/1/2023",45.99
"23","ACS3","9-23","ACS3_9-23_WQ",29.082,6.68,10.63,8.44,6.53,29.84,89.59,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_9-23_F1","0.322",0.175,NA,0.341,"0.038","ACS3_9-23_UF1",71.4,1.996,1731,2,"ACS3_9-23_2","9/26/2023",27,"12/1/2023",41.89
"24","ACS4","1-24","ACS4_1-24_WQ",22.6,8.7,6.8,NA,NA,NA,NA,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_1-24_F1","0.656",0.344,NA,1.156,"0.054","ACS4_1-24_UF1",100,1.964,1729,2,"ACS4_1-24_2","1/11/2024",51,"",NA
"25","ACS4","1-24","ACS4_1-24_WQ",22.6,8.7,6.8,NA,NA,NA,NA,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_1-24_F1","0.656",0.344,NA,1.156,"0.054","ACS4_1-24_UF1",100,1.964,1729,1,"ACS4_1-24_1","1/11/2024",51,"",NA
"26","ACS4","4-24","ACS4_4-24_WQ",24.7,7.74,10.76,8.27,45.01,28.67,87.06,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_4-24_F1","1.49",0.335,1.155,1.189,"0.209","ACS4_4-24_UF1",197.1,5.758,1386,2,"ACS4_4-24_2","4/10/2024",20,"11/6/2024",60.02
"27","ACS4","4-24","ACS4_4-24_WQ",24.7,7.74,10.76,8.27,45.01,28.67,87.06,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_4-24_F1","1.49",0.335,1.155,1.189,"0.209","ACS4_4-24_UF1",197.1,5.758,1386,1,"ACS4_4-24_1","4/10/2024",20,"11/6/2024",51.02
"28","ACS4","9-23","ACS4_9-23_WQ",28.961,4.46,12.86,7.72,4.15,45.63,136.8,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_9-23_F1","0.593",0.396,NA,2.223,"0.017","ACS4_9-23_UF1",74.5,1.489,2078,1,"ACS4_9-23_1","9/26/2023",53,"12/1/2023",24.9
"29","ACS4","9-23","ACS4_9-23_WQ",28.961,4.46,12.86,7.72,4.15,45.63,136.8,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_9-23_F1","0.593",0.396,NA,2.223,"0.017","ACS4_9-23_UF1",74.5,1.489,2078,2,"ACS4_9-23_2","9/26/2023",58,"12/1/2023",23.29
"30","ACS5","1-24","ACS5_1-24_WQ",22.4,6.8,7,NA,NA,NA,NA,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_1-24_F1","0.425",0.319,NA,0.565,"0.044","ACS5_1-24_UF1",129.8,2.267,2022,1,"ACS5_1-24_1","1/11/2024",51,"",NA
"31","ACS5","1-24","ACS5_1-24_WQ",22.4,6.8,7,NA,NA,NA,NA,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_1-24_F1","0.425",0.319,NA,0.565,"0.044","ACS5_1-24_UF1",129.8,2.267,2022,2,"ACS5_1-24_2","1/11/2024",30,"",NA
"32","ACS5","4-24","ACS5_4-24_WQ",24.5,6.59,13.5,8.3,22.34,28.74,87.29,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_4-24_F1","1.11",0.269,0.841,1.35,"0.113","ACS5_4-24_UF1",146.4,3.698,1097,1,"ACS5_4-24_1","4/10/2024",30,"11/6/2024",33.15
"33","ACS5","4-24","ACS5_4-24_WQ",24.5,6.59,13.5,8.3,22.34,28.74,87.29,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_4-24_F1","1.11",0.269,0.841,1.35,"0.113","ACS5_4-24_UF1",146.4,3.698,1097,2,"ACS5_4-24_2","4/10/2024",24,"11/6/2024",46.73
"34","ACS5","9-23","ACS5_9-23_WQ",32.004,5.12,20.12,8,20.55,38.87,116.6,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_9-23_F1","0.419",0.184,NA,0.417,"0.039","ACS5_9-23_UF1",109.1,2.043,1401,2,"ACS5_9-23_2","9/26/2023",57,"12/1/2023",30.08
"35","ACS5","9-23","ACS5_9-23_WQ",32.004,5.12,20.12,8,20.55,38.87,116.6,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_9-23_F1","0.419",0.184,NA,0.417,"0.039","ACS5_9-23_UF1",109.1,2.043,1401,1,"ACS5_9-23_1","9/26/2023",53,"12/1/2023",34.88
"36","CC","1-24","CC_1-24_WQ",20.8,7.1,29.6,NA,NA,NA,NA,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_1-24_F1","0.554",0.075,NA,0.537,"0.062","CC_1-24_UF1",21,0.507,325.7,1,"CC_1-24_1","1/6/2024",55,"",NA
"37","CC","1-24","CC_1-24_WQ",20.8,7.1,29.6,NA,NA,NA,NA,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_1-24_F1","0.554",0.075,NA,0.537,"0.062","CC_1-24_UF1",21,0.507,325.7,2,"CC_1-24_2","1/6/2024",54,"",NA
"38","CC","4-24","CC_4-24_WQ",25.4,6.85,34.38,8.05,43.15,3.81,11.87,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_4-24_F1","0.065",0.023,NA,0.048,"0.001","CC_4-24_UF1",36.7,1.732,243.3,1,"CC_4-24_1","4/11/2024",50,"11/6/2024",7.8
"39","CC","4-24","CC_4-24_WQ",25.4,6.85,34.38,8.05,43.15,3.81,11.87,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_4-24_F1","0.065",0.023,NA,0.048,"0.001","CC_4-24_UF1",36.7,1.732,243.3,2,"CC_4-24_2","4/11/2024",51,"11/6/2024",5.03
