Site_code,Sampling_event,Sample_code,Collected,Accounted For, Filtered,Decarb,Wrapped,Clean Filter Weight,Average Clean Filter Weight,Dried Filter Weight,Sample Weight,Total Weight after Trim,,C Total weight %,C Sample Amount,,N Total weight %,N Sample Amount,,S Total weight %,S Sample Amount,,C Section Weight,C Cut Filter Weight,C Filter Trim Piece,C Sample Weight,C Filter Weight,C Sample to Filter Ratio,C Vial Piece,C Sample Amount in Vial Piece,C Vial Filter Amount,C Weight After Decarb,C Weight Ratio After Decarb (same),C Total Weight to Tin,C approx Sample in Tin,,N Section Weight,N Cut Weight,N Filter Trim Piece,N Sample Weight,N Filter Weight,N Sample to Filter Ratio,N Total Weight to Tin,N apprx Sample in Tin,,S Section Weight,S Cut Weight,S Trim Piece,S Sample Weight,S Filter Weight,S Sample to Filter Ratio,S Total Weight to Tin,S apprx Sample in Tin,,Submitted_SIA,C13,Uc C,Wt%C,Uc C_Percents,Amount,Analyst comments,N15,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments
ACS1,11-24,ACS1_11-24_G,11/10/24,Y,,,"C,N,S",134.6,,145.2,10.6,109.5,,27.85388128,2.696357457,,28.76712329,2.78476262,,43.37899543,4.19924522,,41.1,30.5,10.6,2.7,27.8,0.1,15,1.45,13.55,14.9,0.1,3.2,0.31,,39.8,31.5,8.3,2.8,28.7,0.1,6.7,0.6,,74,47.5,26.5,4.2,43.3,0.1,17.1,1.7,,Y,-30.04,0.14,7.9,0.17406374,0.9, ,-1.15,0.32,1.028,0.060783666,1.6, 
ACS1,1-24,ACS1_1-24_G,1/11/24,y,9/10/24,,"C,N,S",133.9,,161.1,27.2,112.4,,24.11032028,5.834525905,,26.51245552,6.415825534,,49.3772242,11.94893682,,38.5,27.1,11.4,5.83,21.27,0.27,17.1,4.69,12.41,20.7,0.27,4.3,1.18,,38.4,29.8,8.6,6.4,23.4,0.27,7.9,2.2,,72.2,55.5,16.7,11.9,43.6,0.27,26.4,7.2,,Y,-23.33,0.14,14.53,0.127599816,1, ,5.06,0.26,0.917,0.008958871,1.8, 
ACS1,8-24,ACS1_8-24_G,8/1/24,Y,,,"C,N,S",135.5,,176.6,41.1,110.1,,24.34150772,9.086611874,,25.06811989,9.357854019,,50.59037239,18.88523438,,34.7,26.8,7.9,9.09,17.71,0.51,17.3,8.87,8.43,18.8,0.51,4.2,2.15,,39.9,27.6,12.3,9.4,18.2,0.51,6.8,3.5,,74.1,55.7,18.4,18.9,36.8,0.51,31.4,16.1,,Y,-22.29,0.14,5.23,0.272121508,0.9,,,,,,1.6,BQL_N<0.0144mg;0.0083 mg N
ACS1,9-23,ACS1_9-23_G,9/26/23,y,9/4/24,,"C,N,S",133.4,,153.4,20,105.6,,24.90530303,4.716913453,,25.85227273,4.896263774,,49.24242424,9.326216713,,37.3,26.3,11,4.72,21.58,0.22,20,4.37,15.63,24.9,0.22,5.3,1.16,,37.8,27.3,10.5,4.9,22.4,0.22,7.6,1.7,,69.2,52,17.2,9.3,42.7,0.22,30,6.6,,Y,-29.14,0.14,8.56,0.171007079,0.9, ,2.08,0.25,1.215,0.011397459,1.4, 
ACS2,4-24,ACS2_4-24_G,4/10/24,Y,9/4/24,,"C,N,S",129.6,,162.8,33.2,108.4,,24.35424354,7.45904876,,25,7.656826568,,50.64575646,15.51143094,,35.9,26.4,9.5,7.46,18.94,0.39,18.1,7.13,10.97,17.6,0.39,3.3,1.3,,37.3,27.1,10.2,7.7,19.4,0.39,5,2,,81.5,54.9,26.6,15.5,39.4,0.39,20.8,8.2,,Y,-25.32,0.14,12.18,0.148009741,0.9, ,,,,,1.4,BQL_N<0.0112mg;0.0094 mg N
ACS2,8-24,ACS2_8-24_G,8/1/24,Y,,,"C,N,S",133.3,,162.3,29,109.7,,23.06289881,6.096846542,,25.52415679,6.747498149,,51.41294439,13.59138913,,33.5,25.3,8.2,6.1,19.2,0.32,15.2,4.83,10.37,15.1,0.32,4,1.27,,34.5,28,6.5,6.7,21.3,0.32,5.2,1.7,,85.2,56.4,28.8,13.6,42.8,0.32,21.7,6.9,,Y,-28.79,0.14,5.1,0.239480987,1,,,,,,1.8,BQL_N<0.0144mg;0.0117 mg N
ACS2,9-23,ACS2_9-23_G,9/26/23,Y,9/4/24,,"C,N,S",129.7,,153.3,23.6,109.2,,29.21245421,6.31331428,,23.44322344,5.066484187,,47.34432234,10.23192314,,41,31.9,9.1,6.31,25.59,0.25,18.5,4.56,13.94,18.4,0.25,3.3,0.81,,40.2,25.6,14.6,5.1,20.5,0.25,5.2,1.3,,73.1,51.7,21.4,10.2,41.5,0.25,19.6,4.8,,Y,-28.23,0.28,7.15,0.155620476,1,Very Small C,4.64,,0.806,0.017041282,1.3, 
ACS3,1-24,ACS3_1-24_G,1/11/24,Y,,,"C,N,S",133.7,,156.1,22.4,108.2,,25.50831793,5.280834765,,26.52495379,5.491302818,,47.96672828,9.930265374,,41.6,27.6,14,5.28,22.32,0.24,22,5.21,16.79,22.6,0.24,4,0.95,,39.2,28.7,10.5,5.5,23.2,0.24,8,1.9,,72,51.9,20.1,9.9,42,0.24,22.4,5.3,,Y,-27.37,0.15,16.17,0.033811838,0.9, ,3.55,,1.328,0.008822005,1.9, 
ACS3,8-24,ACS3_8-24_G,8/1/24,Y,,,"C,N,S",133.1,,156,22.9,110.4,,26.08695652,5.411153119,,25,5.185688406,,48.91304348,10.1459121,,40.1,28.8,11.3,5.41,23.39,0.23,17.1,,,19.4,0.23,4.8,1.11,,37.2,27.6,9.6,5.2,22.4,0.23,7.3,1.7,,75.5,54,21.5,10.1,43.9,0.23,27.1,6.3,,Y,-27.48,0.14,3.44,0.22161392,0.9, ,,,,,1.7,BQL_N<0.0112mg;0.005 mg N
ACS3,9-23,ACS3_9-23_G,9/26/23,Y,9/3/24,,"C,N,S",129.6,,154.6,25,108.7,,26.0349586,5.987800966,,25.1149954,5.776217893,,48.850046,11.23506118,,38.9,28.3,10.6,5.99,22.31,0.27,22.3,5.98,16.32,22,0.27,3.6,0.97,,41.7,27.3,14.4,5.8,21.5,0.27,6.3,1.7,,78.4,53.1,25.3,11.2,41.9,0.27,17.7,4.8,,Y,-26.04,0.15,9.38,0.035293324,0.9, ,,,,,1.4,BQL_N<0.008mg;0.0076 mg N
ACS4,4-24,ACS4_4-24_G,4/10/24,Y,9/6/24,,"C,N,S",129.2,,149.9,20.7,95.9,,25.9645464,5.60444328,,26.27737226,5.671966693,,47.75808133,10.30857439,,37.7,24.9,12.8,5.6,19.3,0.29,16.6,4.82,11.78,20.2,0.29,3.2,0.93,,38.4,25.2,13.2,5.7,19.5,0.29,4.8,1.4,,76.9,45.8,31.1,10.3,35.5,0.29,14.9,4.3,,Y,-27.63,0.14,8.44,0.199005143,0.8, ,2.98,,1.207,0.013188704,1.4, 
ACS4,8-24,ACS4_8-24_G,8/1/24,Y,,,"C,N,S",132.7,,175.6,42.9,95.8,,23.2776618,10.42392162,,26.0960334,11.68601078,,50.6263048,22.67086092,,32.9,22.3,10.6,10.42,11.88,0.88,14,12.29,1.71,14.4,0.88,3.7,3.25,,35.7,25,10.7,11.7,13.3,0.88,5.9,5.2,,80.5,48.5,32,22.7,25.8,0.88,18.9,16.6,,Y,-28.66,0.28,1.48,0.246867174,0.9,Very small C,,,,,1.7,BDL_N<0.0068mg;0.0041 mg N
ACS5,1-24,ACS5_1-24_G,1/11/24,Y,,,"C,N,S",132.2,,145.1,12.9,101.1,,25.3214639,3.230928628,,25.42037587,3.243549443,,49.25816024,6.285165846,,38.3,25.6,12.7,3.23,22.37,0.14,17.2,2.48,14.72,17.8,0.14,3.7,0.53,,39.1,25.7,13.4,3.2,22.5,0.14,8.8,1.3,,71.8,49.8,22,6.3,43.5,0.14,21.2,3.1,,Y,-28.38,0.14,12.56,0.170345613,0.8, ,4.71,0.31,1.277,0.061932729,1.5, 
ACS5,4-24,ACS5_4-24_G,4/10/24,Y,9/4/24,,"C,N,S",129.5,,152.2,22.7,101.4,,26.42998028,5.916770732,,24.95069034,5.585608191,,48.61932939,10.88420885,,33.5,26.8,6.7,5.92,20.88,0.28,20.9,5.92,14.98,21.3,0.28,4.9,1.39,,36.2,25.3,10.9,5.6,19.7,0.28,10.2,2.9,,74.6,49.3,25.3,10.9,38.4,0.28,28.4,8,,Y,-25.5,0.15,11.42,0.038556313,0.8, ,3.52,0.3,1.269,0.009772154,1.5, 
ACS5,8-24,ACS5_8-24_G,8/1/24,Y,,,"C,N,S",132.2,,168.8,36.6,91.9,,25.46245919,10.14065295,,24.37431991,9.707291717,,50.16322089,19.97795304,,37.6,23.4,14.2,10.14,13.26,0.76,20.1,15.37,4.73,19.6,0.76,5.3,4.05,,36.9,22.4,14.5,9.7,12.7,0.76,9.8,7.5,,67.7,46.1,21.6,20,26.1,0.76,28.3,21.6,,Y,-21.88,0.15,8.95,0.035948801,0.9, ,,,,,1.9,BQL_N<0.0144mg;0.0133 mg N
ACS5,9-23,ACS5_9-23_G,9/26/23,Y,9/3/24,,"C,N,S",128.7,,150.9,22.2,90.1,,26.41509434,6.508491613,,23.30743618,5.742786717,,50.27746948,12.38801135,,39.2,23.8,15.4,6.51,17.29,0.38,19.7,7.42,12.28,20.1,0.38,6,2.26,,33.6,21,12.6,5.7,15.3,0.38,9.1,3.4,,68.5,45.3,23.2,12.4,32.9,0.38,29.9,11.3,,Y,-26.4,0.14,7.88,0.173424833,0.9, ,3.37,,1.13,0.009587717,1.8, 
CC,1-24,CC_1-24_G,1/6/24,Y,9/10/24,,"C,N,S",127.4,,150.7,23.3,109.8,,24.68123862,5.237457739,,24.13479053,5.121499265,,51.18397086,10.86144372,,42.8,27.1,15.7,5.24,21.86,0.24,16.8,4.02,12.78,18.7,0.24,3.3,0.79,,39.1,26.5,12.6,5.1,21.4,0.24,4.9,1.2,,80,56.2,23.8,10.9,45.3,0.24,17.5,4.2,,Y,-28.69,0.31,2.27,0.05127622,0.9,Very Small C,,,,,1.5,BDL_N<0.0041mg;0.0013 mg N
CC,4-24,CC_4-24_G,4/11/24,Y,9/5/24,,"C,N,S",130.3,,182.7,52.4,115.6,,26.47058824,11.99877875,,27.07612457,12.27326062,,46.4532872,21.05668036,,46.3,30.6,15.7,12,18.6,0.65,17.3,11.16,6.14,19.3,0.65,3.3,2.13,,42.6,31.3,11.3,12.3,19,0.65,4.9,3.2,,79.2,53.7,25.5,21.1,32.6,0.65,15.4,9.9,,Y,-26.17,0.14,2.09,0.284703128,1,,,,,,1.6,BDL_N<0.003mg;0.0022 mg N
CC,8-24,CC_8-24_G,8/1/24,Y,,,"C,N,S",134,,174.4,40.4,118.6,,25.29510961,8.616546613,,26.13827993,8.903764834,,48.56661046,16.5437695,,47.4,30,17.4,8.62,21.38,0.4,16.4,6.61,9.79,20.5,0.4,2.9,1.17,,38.2,31,7.2,8.9,22.1,0.4,5.2,2.1,,85.1,57.6,27.5,16.5,41.1,0.4,14.5,5.8,,Y,-24.71,0.15,2.83,0.043981973,1, ,,,,,1.7,BQL_N<0.008mg;0.0044 mg N
CC,9-23,CC_9-23_G,10/5/23,Y,12/15/23,,"C,N,S",,130.5010101,174.2,43.6989899,114.4,,27.97202797,10.6848721,,21.15384615,8.080434523,,50.87412587,19.43311112,,40.6,32,8.6,10.68,21.32,0.5,16.5,8.27,8.23,21.7,0.5,4.4,2.21,,36.9,24.2,12.7,8.1,16.1,0.5,8.2,4.1,,77.1,58.2,18.9,19.4,38.8,0.5,26.1,13.1,,Y,-25.2,0.14,1.57,0.026776251,0.9, ,,,,,1.9,BQL_N<0.0066mg;0.0025 mg N
CP,8-24,CP_7-24_G,7/3/24,Y,,,"C,N,S",135,,150.3,15.3,106.4,,29.22932331,4.203088784,,22.7443609,3.270570694,,48.02631579,6.90603977,,39.4,31.1,8.3,4.2,26.9,0.16,23.5,3.67,19.83,21.8,0.16,4.1,0.64,,39.8,24.2,15.6,3.3,20.9,0.16,5.7,0.9,,75.4,51.1,24.3,6.9,44.2,0.16,18.9,3,,Y,-26.13,0.14,8.51,0.2000634,1,,2.85,0.25,0.797,0.017708235,1.5, 
CP,9-23,CP_9-23_G,9/15/23,Y,9/4/24,,"C,N,S",129.6,,148.6,19,114.3,,23.27209099,3.868501564,,25.54680665,4.246625777,,51.18110236,8.507794793,,33.2,26.6,6.6,3.87,22.73,0.17,18.2,3.1,15.1,19.3,0.17,4.2,0.71,,41.4,29.2,12.2,4.2,25,0.17,5.8,1,,77.7,58.5,19.2,8.5,50,0.17,23.5,4,,Y,-25.71,0.15,6.53,0.047438772,0.8, ,,,,,1.3,BDL_N<0.0022mg;0.0011 mg N
DC1,11-24,DC1_11-24_G,11/16/24,Y,,,"C,N,S",133.6,,162.5,28.9,108.7,,25.39098436,6.750684894,,25.39098436,6.750684894,,49.21803128,13.08556673,,40.9,27.6,13.3,6.75,20.85,0.32,20.4,6.61,13.79,18.1,0.32,5.2,1.68,,31.4,27.6,3.8,6.8,20.8,0.32,6.3,2,,74,53.5,20.5,13.1,40.4,0.32,31.2,10.1,,Y,-24.17,0.27,2.91,0.226081314,0.8,Very small C,3.07,0.38,0.517,0.0115346,1.7,Small N
DC1,4-24,DC1_4-24_G,4/10/24,Y,9/5/24,,"C,N,S",130.8,,151.1,20.3,135.4,,25.99704579,3.89763685,,28.50812408,4.274113137,,45.49483013,6.820864488,,52,35.2,16.8,3.9,31.3,0.12,29.4,3.66,25.74,27.2,0.12,1.3,0.16,,55.2,38.6,16.6,4.3,34.3,0.12,2.4,0.3,,100.2,61.6,38.6,6.8,54.8,0.12,7.6,0.9,,Y,-24.92,0.15,10.86,0.029343079,1, ,5.91,0.26,1.841,0.014846569,1.4, 
DC1,8-24,DC1_8-24_G,8/1/24,Y,,,"C,N,S",133.9,,176.4,42.5,109,,22.20183486,8.656678731,,24.86238532,9.694049322,,52.93577982,20.64009763,,40.2,24.2,16,8.66,15.54,0.56,18.8,10.47,8.33,18.9,0.56,1.6,0.89,,43.5,27.1,16.4,9.7,17.4,0.56,2.7,1.5,,90.5,57.7,32.8,20.6,37.1,0.56,8.3,4.6,,Y,-23.3,0.14,5.31,0.236595047,1,,,,,,1.4,BQL_N<0.0144mg;0.0079 mg N
