Collection_Date,Sample Type New,Collection Method,Matrix,Test Number,Test Name,Storet Code,Value,Sigfig Value
1991-04-15,SAMP,G,SA,61,CHLOROPHYLL-A,,0.86,0.9
1991-04-23,SAMP,G,SA,61,CHLOROPHYLL-A,,1.12,1.1
1991-05-08,SAMP,G,SA,61,CHLOROPHYLL-A,,2.24,2.2
1991-05-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.72,1.7
1991-06-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.97,2
1991-06-18,SAMP,G,SA,61,CHLOROPHYLL-A,,2.56,2.6
1991-07-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1,1
1991-07-16,SAMP,G,SA,61,CHLOROPHYLL-A,,1.3,1.3
1991-07-30,SAMP,G,SA,61,CHLOROPHYLL-A,,2.75,2.8
1991-08-15,SAMP,G,SA,61,CHLOROPHYLL-A,,2.12,2.1
1991-09-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.69,1.7
1991-09-18,SAMP,G,SA,61,CHLOROPHYLL-A,,2.2,2.2
1991-10-09,SAMP,G,SA,61,CHLOROPHYLL-A,,8.87,8.9
1991-10-15,SAMP,G,SA,61,CHLOROPHYLL-A,,6.82,6.8
1991-11-15,SAMP,G,SA,61,CHLOROPHYLL-A,,2.68,2.7
1991-11-21,SAMP,G,SA,61,CHLOROPHYLL-A,,3.49,3.5
1991-12-10,SAMP,G,SA,61,CHLOROPHYLL-A,,1.54,1.5
1991-12-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.18,1.2
1992-01-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.54,1.5
1992-01-23,SAMP,G,SA,61,CHLOROPHYLL-A,,2,2
1992-02-15,SAMP,G,SA,61,CHLOROPHYLL-A,,0.88,0.9
1992-02-20,SAMP,G,SA,61,CHLOROPHYLL-A,,1.15,1.2
1992-03-10,SAMP,G,SA,61,CHLOROPHYLL-A,,2.42,2.4
1992-03-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.86,1.9
1992-04-15,SAMP,G,SA,61,CHLOROPHYLL-A,,0.75,0.8
1992-04-29,SAMP,G,SA,61,CHLOROPHYLL-A,,0.98,1
1992-05-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.31,1.3
1992-05-20,SAMP,G,SA,61,CHLOROPHYLL-A,,1.7,1.7
1992-06-15,SAMP,G,SA,61,CHLOROPHYLL-A,,0.94,0.9
1992-07-01,SAMP,G,SA,61,CHLOROPHYLL-A,,1.23,1.2
1992-07-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.25,1.2
1992-07-22,SAMP,G,SA,61,CHLOROPHYLL-A,,1.63,1.6
1992-08-15,SAMP,G,SA,61,CHLOROPHYLL-A,,0.8,0.8
1992-08-19,SAMP,G,SA,61,CHLOROPHYLL-A,,1.04,1
1992-09-09,SAMP,G,SA,61,CHLOROPHYLL-A,,7.19,7.2
1992-09-15,SAMP,G,SA,61,CHLOROPHYLL-A,,5.53,5.5
1992-10-14,SAMP,G,SA,61,CHLOROPHYLL-A,,11.19,11.2
1992-10-15,SAMP,G,SA,61,CHLOROPHYLL-A,,8.61,8.6
1992-11-11,SAMP,G,SA,61,CHLOROPHYLL-A,,6.59,6.6
1992-11-15,SAMP,G,SA,61,CHLOROPHYLL-A,,5.07,5.1
1992-12-01,SAMP,G,SA,61,CHLOROPHYLL-A,,2.26,2.3
1992-12-15,SAMP,G,SA,61,CHLOROPHYLL-A,,1.74,1.7
1993-01-21,SAMP,G,SA,61,CHLOROPHYLL-A,,1.84,1.8
1993-02-10,SAMP,G,SA,61,CHLOROPHYLL-A,,2.89,2.9
1993-03-10,SAMP,G,SA,61,CHLOROPHYLL-A,,1.74,1.7
1993-04-07,SAMP,G,SA,61,CHLOROPHYLL-A,,1.37,1.4
1993-05-12,SAMP,G,SA,61,CHLOROPHYLL-A,,4,4
1993-06-03,SAMP,G,SA,61,CHLOROPHYLL-A,,2.75,2.8
1993-07-07,SAMP,G,SA,61,CHLOROPHYLL-A,,6.39,6.4
1993-08-04,SAMP,G,SA,61,CHLOROPHYLL-A,,4.37,4.4
1993-09-09,SAMP,G,SA,61,CHLOROPHYLL-A,,1.18,1.2
1993-10-06,SAMP,G,SA,61,CHLOROPHYLL-A,,6,6
1993-11-03,SAMP,G,SA,61,CHLOROPHYLL-A,,6.04,6
1993-12-02,SAMP,G,SA,61,CHLOROPHYLL-A,,10.5,10.5
1994-01-11,SAMP,G,SA,61,CHLOROPHYLL-A,,9.6,9.6
1994-02-02,SAMP,G,SA,61,CHLOROPHYLL-A,,9.41,9.4
1994-03-08,SAMP,G,SA,61,CHLOROPHYLL-A,,1.06,1.1
1994-04-06,SAMP,G,SA,61,CHLOROPHYLL-A,,1.4863,1.5
1994-05-04,SAMP,G,SA,61,CHLOROPHYLL-A,,10.308,10.3
1994-06-08,SAMP,G,SA,61,CHLOROPHYLL-A,,4.6227,4.6
1994-07-07,SAMP,G,SA,61,CHLOROPHYLL-A,,5.8863,5.9
1994-08-04,SAMP,G,SA,61,CHLOROPHYLL-A,,8.4,8.4
