Date,Time,Volume Filtered,Rep-A ug/L,Rep-B ug/L,Average,Coments
5/28/10,10:08,140,1.32,,1.32,
6/23/10,9:13,140,0.74,,0.74,
6/28/10,11:18,140,2.39,,2.39,
7/12/10,10:57,140,5.29,,5.29,
7/27/10,9:22,140,1.75,,1.75,
8/9/10,9:14,140,1.24,,1.24,turbid
8/25/10,9:15,110,4.78,,4.78,
9/8/10,9:11,130,5.43,,5.43,very tanic
9/22/10,8:45,60,7.66,,7.66,
10/10/10,13:36,140,5.6,,5.6,TS Nicole
10/19/10,8:34,70,4.75,,4.75,brown water
11/15/10,11:20,30,11.18,,11.18,
11/28/10,9:23,30,14.5,,14.5,
12/17/10,10:08,40,3.57,,3.57,
2/7/11,13:00,35,8.14,,8.14,
5/16/11,9:20,140,0.23,,0.23,
6/13/11,10:41,112,1.11,,1.11,
7/17/11,14:50,112,1.81,,1.81,
9/14/11,10:27,130,11.26,,11.26,drk brown water
9/29/11,9:38,130,4.74,,4.74,
10/14/11,10:10,120,2.7,,2.7,
11/16/11,11:40,120,1.36,,1.36,
1/12/12,11:36,120,2.34,,2.34,
4/5/12,12:35,150,0.35,,0.35,
5/3/12,13:04,150,0.35,,0.35,
5/22/12,11:32,150,3.24,,3.24,
6/5/12,8:50,100,11.67,,11.67,
6/16/12,14:59,150,6.03,,6.03,
7/3/12,10:18,100,21.79,,21.79,
8/7/12,9:03,150,27.74,,27.74,
9/6/12,9:20,50,26.33,,26.33,
9/18/12,10:17,50,19.29,,19.29,
10/4/12,9:40,50,12.34,,12.34,
10/17/12,9:25,100,6.25,,6.25,
11/1/12,9:12,50,6.22,,6.22,
11/27/12,10:26,50,2.96,,2.96,
12/12/12,10:31,50,6.925,,6.925,
1/12/13,10:06,50,11.45,,11.45,
1/31/13,10:57,50,21.57,,21.57,
2/27/13,10:48,100,3.17,,3.17,
3/19/13,10:37,50,19.4,,19.4,
5/1/13,9:24,50,1.05,,1.05,
5/23/13,9:48,100,0.35,,0.35,
6/14/13,9:20,40,34.195,,34.195,
6/26/13,9:10,50,24.6,,24.6,
7/22/13,10:03,100,7.6,,7.6,
8/5/13,9:25,100,7.04,,7.04,
8/7/13,9:25,50,16.88,,16.88,
8/23/13,10:03,50,2.26,,2.26,
9/27/13,,50,10,,10,
10/23/13,11:32,50,0.875,,0.875,
11/19/13,12:03,50,0.635,,0.635,
1/14/14,10:30,100,0.775,,0.775,
2/11/14,11:40,100,2.565,,2.565,
2/26/14,11:10,100,1.755,,1.755,
3/11/14,10:30,100,2.515,,2.515,
4/15/14,11:40,100,0.445,,0.445,
5/7/14,10:30,100,0.515,,0.515,
6/13/14,10:30,100,0.405,,0.405,
7/31/14,9:45,100,1.87,,1.87,
8/13/14,9:30,100,3.245,,3.245,
8/27/14,10:08,100,1.775,,1.775,
9/16/14,10:15,100,6.145,,6.145,
10/3/14,8:30,100,3.505,,3.505,
10/29/14,8:45,25,16.75,,16.75,
1/20/15,11:55,22,33.72,,33.72,
3/5/15,11:00,50,0.53,,0.53,
4/17/15,10:19,100,0.32,,0.32,
5/7/15,9:11,100,0.375,,0.375,
5/21/15,9:30,50,0.635,,0.635,
7/13/15,10:00,100,1.44,,1.44,
7/23/15,8:45,50,4.175,,4.175,
9/9/15,9:53,50,37.94,,37.94,
9/25/15,10:30,50,15.08,,15.08,
10/7/15,11:00,50,5.86,,5.86,
10/28/15,10:00,50,7.16,,7.16,
11/20/15,10:40,50,7.885,,7.885,
12/16/15,10:40,50,2.52,,2.52,
1/28/16,8:49,50,6.99,,6.99,
3/4/16,10:26,50,24.76,,24.76,green water
3/28/16,10:15,50,34.05,,34.05,
5/6/16,9:06,50,5.26,,5.26,
6/2/16,8:35,50,6.31,,6.31,
6/30/16,8:23,50,12.81,,12.81,validated 7/27/16
8/2/16,,25,16.83,,16.83,green water/turbid
8/8/16,9:12,50,8.37,,8.37,
8/20/16,,50,4.18,,4.18,
8/31/16,9:03,50,5.48,,5.48,
9/28/16,7:57,50,18.25,,18.25,
11/3/16,11:26,50,20.96,,20.96,
11/22/16,9:45,25,17.65,,17.65,
12/14/16,9:30,50,4.59,,4.59,
1/20/17,12:07,50,2.11,1.92,2.015,
3/13/17,11:06,50,1.35,1.16,1.255,
3/29/17,9:17,50,0.67,1.1,0.885,
4/6/17,11:14,50,1.65,1.39,1.52,
4/24/17,9:20,50,0.68,0.65,0.665,
5/8/17,9:00,50,0.42,0.46,0.44,
5/23/17,10:30,50,1.2,1.15,1.175,
6/2/17,9:39,50,1.98,2.22,2.1,
6/13/17,10:02,50,7.77,8.06,7.915,
6/26/17,9:00,50,2.16,2.11,2.135,
7/5/17,10:19,50,8.38,13.06,10.72,
8/2/17,10:10,50,2.06,1.64,1.85,
8/22/17,,50,9.2,10.47,9.835,
9/22/17,12:58,50,582.99,546.69,564.84,
10/16/17,11:32,50,50.27,47.38,48.825,
10/27/17,9:29,25,64.11,60.1,62.105,
11/1/17,,25,55,45.38,50.19,
11/29/17,11:30,50,35.8,36.96,36.38,
12/7/17,10:50,50,33.49,39.68,36.585,
1/11/18,,50,28.61,30.71,29.66,
2/16/18,12:10,25,48.89,53.68,51.285,
