station,project,collectDate,sampleType,programType,matrix,collectMethod,firstTriggerDate,depth,depthUnits,testNumber,parameter,dataType,value,remarkCode,flag,sigFigValue,uncertainty,dilution,mdl,pql,rdl,units,nDec,bdl,qualityCode,sampleID,upDownStream,discharge,weatherCode,collectionSpan,dcsMeters,totalDepth,upperDepth,lowerDepth,latitude,longitude,collectionAgency,workLab,source,owner,validator,validationLevel,samplingPurpose,dataInvestigation,receiveDate,LIMSNumber,measureDate,method,filtrationDate,storetCode,sampleComment,resultComment
FLAB17,FLAB,3/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,10.9,,,10.9,,,,,,mg/L,2,N,A,FIU15661,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,4/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,7.85,,,7.85,,,,,,mg/L,2,N,A,FIU15662,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,5/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,5.75,,,5.75,,,,,,mg/L,2,N,A,FIU15665,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,6/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,3.85,,,3.85,,,,,,mg/L,2,N,A,FIU15666,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,7/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,4.7,,,4.7,,,,,,mg/L,2,N,A,FIU15668,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,8/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,4.6,,,4.6,,,,,,mg/L,2,N,A,FIU15671,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,9/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,3.45,,,3.45,,,,,,mg/L,2,N,A,FIU15672,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,10/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,4.2,,,4.2,,,,,,mg/L,2,N,A,FIU15675,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,11/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,5.25,,,5.25,,,,,,mg/L,2,N,A,FIU15676,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,12/15/91,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,6,,,6,,,,,,mg/L,2,N,A,FIU15679,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,1/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,6.7,,,6.7,,,,,,mg/L,2,N,A,FIU15680,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,2/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,4.9,,,4.9,,,,,,mg/L,2,N,A,FIU15682,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,3/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,5.9,,,5.9,,,,,,mg/L,2,N,A,FIU15685,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,4/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,7.1,,,7.1,,,,,,mg/L,2,N,A,FIU15686,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,5/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,5.6,,,5.6,,,,,,mg/L,2,N,A,FIU15688,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,6/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,4.6,,,4.6,,,,,,mg/L,2,N,A,FIU15690,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,7/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,4.9,,,4.9,,,,,,mg/L,2,N,A,FIU15692,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,8/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,6.3,,,6.3,,,,,,mg/L,2,N,A,FIU15694,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,9/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,3.7,,,3.7,,,,,,mg/L,2,N,A,FIU15697,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,10/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,6.6,,,6.6,,,,,,mg/L,2,N,A,FIU15699,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,11/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,6.2,,,6.2,,,,,,mg/L,2,N,A,FIU15701,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,12/15/92,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,8.1,,,8.1,,,,,,mg/L,2,N,A,FIU15703,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,,,,,,,,,
FLAB17,FLAB,1/21/93,SAMP,MON,SA,G,,0,,8,DISSOLVED OXYGEN,DO,99,NOB,NOB,-99,,,,,,mg/L,2,Y,A,FIU15704,,0,0,,,,,,25.042469,80.914819,,,FIU,FIU,,,,CA,,,,,,,,
