#Merged Datasets Daily/Validated from 2011-01-01 to 2024-11-30
#Date,TB/chlorophyll2,TB/cond2,TB/depth,TB/dissolved_oxygen,TB/pH,TB/FDOM,TB/rain,TB/salinity2,TB/surface_temperature,TB/turbidity2,TB/stage
2011-01-01,0.269,40.497,null,6.388,8.180,null,0.000,25.923,20.609,null,-0.679
2011-01-02,0.277,40.610,null,6.467,8.161,null,0.000,26.004,21.748,null,-0.715
2011-01-03,0.302,36.843,null,7.080,8.195,null,0.000,23.349,21.647,null,-0.867
2011-01-04,0.308,35.570,null,6.947,8.151,null,0.000,22.466,22.703,null,-0.876
2011-01-05,0.357,35.096,null,6.829,8.137,null,0.000,22.134,23.487,null,-0.844
2011-01-06,0.497,36.091,null,6.224,8.070,null,0.060,22.823,22.869,null,-0.604
2011-01-07,0.475,34.680,null,7.152,8.131,null,0.000,21.843,19.802,null,-0.822
2011-01-08,0.330,36.614,null,7.554,8.193,null,0.000,23.187,19.554,null,-0.601
2011-01-09,0.307,36.877,null,7.107,8.185,null,0.000,23.371,19.686,null,-0.815
2011-01-10,0.334,38.402,null,6.547,8.143,null,0.000,24.439,21.559,null,-0.823
2011-01-11,0.380,36.121,null,6.818,8.137,null,0.000,22.849,23.416,null,-0.895
2011-01-12,0.428,32.923,null,7.117,8.139,null,0.000,20.635,19.883,null,-1.320
2011-01-13,null,27.188,null,8.823,8.210,null,0.000,16.736,14.351,null,-1.701
2011-01-14,0.470,20.943,null,9.290,8.213,null,0.000,12.588,15.732,null,-1.787
2011-01-15,0.458,20.585,null,9.037,8.274,null,0.000,12.352,17.834,null,-1.671
2011-01-16,0.485,20.744,null,8.432,8.316,null,0.000,12.457,19.054,null,-1.402
2011-01-17,0.433,28.302,null,7.175,8.305,null,1.760,17.494,20.334,null,-0.919
2011-01-18,0.386,32.515,null,6.780,8.212,null,0.010,20.360,21.606,null,-0.663
2011-01-19,0.451,31.076,null,7.135,8.200,null,0.000,19.364,23.895,null,-0.641
2011-01-20,0.472,35.937,null,6.208,8.135,null,0.000,22.729,25.439,null,-0.682
2011-01-21,0.478,38.018,null,6.671,8.155,null,0.040,24.171,25.442,null,-0.493
2011-01-22,0.818,35.990,null,6.670,8.168,null,0.000,22.753,22.208,null,-0.636
2011-01-23,0.552,31.508,null,8.069,8.229,null,0.000,19.665,17.169,null,-1.055
2011-01-24,0.480,31.706,null,8.520,8.267,null,0.000,19.797,18.268,null,-0.996
2011-01-25,0.535,32.323,null,7.923,8.239,null,0.000,20.217,20.931,null,-0.856
2011-01-26,0.654,29.343,null,7.186,8.217,null,1.250,18.193,21.527,null,-0.893
2011-01-27,0.693,24.042,null,7.732,8.223,null,0.000,14.628,19.892,null,-1.208
2011-01-28,0.764,21.407,null,8.718,8.314,null,0.000,12.889,17.131,null,-1.380
2011-01-29,0.630,18.525,null,9.062,8.363,null,0.000,11.017,17.259,null,-1.308
2011-01-30,0.633,18.949,null,9.208,8.392,null,0.000,11.291,18.512,null,-1.285
2011-01-31,0.648,23.143,null,9.215,8.385,null,0.000,14.046,20.488,null,-1.254
2011-02-01,0.954,26.039,null,8.698,8.348,null,0.000,15.959,23.407,null,-1.065
2011-02-02,0.948,28.262,null,6.782,8.276,null,0.000,17.455,24.704,null,-0.917
2011-02-03,0.661,30.864,null,7.867,8.239,null,0.000,19.232,25.233,null,-1.029
2011-02-04,0.498,32.688,null,7.102,8.112,null,0.000,20.469,26.934,null,-0.981
2011-02-05,0.456,31.297,null,6.914,8.160,null,0.000,19.514,26.036,null,-0.823
2011-02-06,0.330,33.408,null,6.957,8.117,null,0.000,20.963,26.127,null,-0.856
2011-02-07,0.466,33.706,null,6.657,8.120,null,0.000,21.175,26.194,null,-0.767
2011-02-08,0.447,34.107,null,6.456,8.107,null,0.000,21.450,24.085,null,-1.052
2011-02-09,0.369,31.003,null,7.570,8.175,null,0.000,19.314,21.936,null,-1.252
2011-02-10,0.431,28.204,null,7.631,8.171,null,0.000,17.416,24.776,null,-1.135
2011-02-11,0.652,26.302,null,7.266,8.186,null,0.000,16.133,24.034,null,-1.242
