Station,DBKEY,Daily.Date,Data.Value,Qualifier,Revision Date
NP-TSB,H3153,9/8/1960,574.64,,18-Dec-15
NP-TSB,H3153,9/9/1960,558.4,,18-Dec-15
NP-TSB,H3153,9/10/1960,694.44,,18-Dec-15
NP-TSB,H3153,9/11/1960,711.65,,18-Dec-15
NP-TSB,H3153,9/12/1960,758.96,,18-Dec-15
NP-TSB,H3153,9/13/1960,769.55,,18-Dec-15
NP-TSB,H3153,9/14/1960,740.74,,18-Dec-15
NP-TSB,H3153,9/15/1960,700.55,,18-Dec-15
NP-TSB,H3153,9/16/1960,621.48,,18-Dec-15
NP-TSB,H3153,9/17/1960,551.42,,18-Dec-15
NP-TSB,H3153,9/18/1960,515.81,,18-Dec-15
NP-TSB,H3153,9/19/1960,473.52,,18-Dec-15
NP-TSB,H3153,9/20/1960,426.38,,18-Dec-15
NP-TSB,H3153,9/21/1960,398.05,,18-Dec-15
NP-TSB,H3153,9/22/1960,392.88,,18-Dec-15
NP-TSB,H3153,9/23/1960,692.02,,18-Dec-15
NP-TSB,H3153,9/24/1960,797.97,,18-Dec-15
NP-TSB,H3153,9/25/1960,774.89,,18-Dec-15
NP-TSB,H3153,9/26/1960,726.7,,18-Dec-15
NP-TSB,H3153,9/27/1960,716.64,,18-Dec-15
NP-TSB,H3153,9/28/1960,695.66,,18-Dec-15
NP-TSB,H3153,9/29/1960,662.3,,18-Dec-15
NP-TSB,H3153,9/30/1960,619.28,,18-Dec-15
NP-TSB,H3153,10/1/1960,589.19,,18-Dec-15
NP-TSB,H3153,10/2/1960,592.35,,18-Dec-15
NP-TSB,H3153,10/3/1960,573.61,,18-Dec-15
NP-TSB,H3153,10/4/1960,535.76,,18-Dec-15
NP-TSB,H3153,10/5/1960,482.25,,18-Dec-15
NP-TSB,H3153,10/6/1960,459,,18-Dec-15
NP-TSB,H3153,10/7/1960,444.06,,18-Dec-15
NP-TSB,H3153,10/8/1960,406.29,,18-Dec-15
NP-TSB,H3153,10/9/1960,386.33,,18-Dec-15
NP-TSB,H3153,10/10/1960,402.53,,18-Dec-15
NP-TSB,H3153,10/11/1960,419.33,,18-Dec-15
NP-TSB,H3153,10/12/1960,405.54,,18-Dec-15
NP-TSB,H3153,10/13/1960,377.73,,18-Dec-15
NP-TSB,H3153,10/14/1960,364.48,,18-Dec-15
NP-TSB,H3153,10/15/1960,352.3,,18-Dec-15
NP-TSB,H3153,10/16/1960,346.35,,18-Dec-15
NP-TSB,H3153,10/17/1960,347.66,,18-Dec-15
NP-TSB,H3153,10/18/1960,335.34,,18-Dec-15
NP-TSB,H3153,10/19/1960,317.9,,18-Dec-15
NP-TSB,H3153,10/20/1960,312.46,,18-Dec-15
NP-TSB,H3153,10/21/1960,319.73,,18-Dec-15
NP-TSB,H3153,10/22/1960,314.27,,18-Dec-15
NP-TSB,H3153,10/23/1960,303.59,,18-Dec-15
NP-TSB,H3153,10/24/1960,287.06,,18-Dec-15
NP-TSB,H3153,10/25/1960,277.21,,18-Dec-15
NP-TSB,H3153,10/26/1960,261.97,,18-Dec-15
NP-TSB,H3153,10/27/1960,248.94,,18-Dec-15
NP-TSB,H3153,10/28/1960,287.06,,18-Dec-15
NP-TSB,H3153,10/29/1960,330.91,,18-Dec-15
NP-TSB,H3153,10/30/1960,320.34,,18-Dec-15
NP-TSB,H3153,10/31/1960,382.01,,18-Dec-15
NP-TSB,H3153,11/1/1960,555.4,,18-Dec-15
NP-TSB,H3153,11/2/1960,655.33,,18-Dec-15
NP-TSB,H3153,11/3/1960,648.44,,18-Dec-15
NP-TSB,H3153,11/4/1960,640.47,,18-Dec-15
NP-TSB,H3153,11/5/1960,633.71,,18-Dec-15
NP-TSB,H3153,11/6/1960,625.91,,18-Dec-15
NP-TSB,H3153,11/7/1960,607.3,,18-Dec-15
NP-TSB,H3153,11/8/1960,569.52,,18-Dec-15
NP-TSB,H3153,11/9/1960,542.57,,18-Dec-15
NP-TSB,H3153,11/10/1960,527.13,,18-Dec-15
NP-TSB,H3153,11/11/1960,511.16,,18-Dec-15
NP-TSB,H3153,11/12/1960,487.56,,18-Dec-15
NP-TSB,H3153,11/13/1960,464.08,,18-Dec-15
NP-TSB,H3153,11/14/1960,441.61,,18-Dec-15
NP-TSB,H3153,11/15/1960,420.89,,18-Dec-15
NP-TSB,H3153,11/16/1960,407.81,,18-Dec-15
NP-TSB,H3153,11/17/1960,395.83,,18-Dec-15
NP-TSB,H3153,11/18/1960,383.44,,18-Dec-15
NP-TSB,H3153,11/19/1960,372.1,,18-Dec-15
NP-TSB,H3153,11/20/1960,353.63,,18-Dec-15
NP-TSB,H3153,11/21/1960,342.43,,18-Dec-15
NP-TSB,H3153,11/22/1960,332.17,,18-Dec-15
NP-TSB,H3153,11/23/1960,315.47,,18-Dec-15
NP-TSB,H3153,11/24/1960,305.93,,18-Dec-15
NP-TSB,H3153,11/25/1960,296.08,,18-Dec-15
NP-TSB,H3153,11/26/1960,292.67,,18-Dec-15
NP-TSB,H3153,11/27/1960,288.74,,18-Dec-15
NP-TSB,H3153,11/28/1960,279.92,,18-Dec-15
NP-TSB,H3153,11/29/1960,270.81,,18-Dec-15
NP-TSB,H3153,11/30/1960,261.97,,18-Dec-15
NP-TSB,H3153,12/1/1960,248.94,,18-Dec-15
NP-TSB,H3153,12/2/1960,236.02,,18-Dec-15
NP-TSB,H3153,12/3/1960,228.65,,18-Dec-15
NP-TSB,H3153,12/4/1960,216.67,,18-Dec-15
NP-TSB,H3153,12/5/1960,209.83,,18-Dec-15
NP-TSB,H3153,12/6/1960,202.78,,18-Dec-15
NP-TSB,H3153,12/7/1960,195.94,,18-Dec-15
NP-TSB,H3153,12/8/1960,189.69,,18-Dec-15
NP-TSB,H3153,12/9/1960,179.54,,18-Dec-15
NP-TSB,H3153,12/10/1960,173.76,,18-Dec-15
NP-TSB,H3153,12/11/1960,164.37,,18-Dec-15
NP-TSB,H3153,12/12/1960,162.35,,18-Dec-15
NP-TSB,H3153,12/13/1960,160.02,,18-Dec-15
NP-TSB,H3153,12/14/1960,154.47,,18-Dec-15
NP-TSB,H3153,12/15/1960,152.56,,18-Dec-15
NP-TSB,H3153,12/16/1960,150.35,,18-Dec-15
NP-TSB,H3153,12/17/1960,145.41,,18-Dec-15
NP-TSB,H3153,12/18/1960,140.32,,18-Dec-15
NP-TSB,H3153,12/19/1960,135.67,,18-Dec-15
NP-TSB,H3153,12/20/1960,130.89,,18-Dec-15
NP-TSB,H3153,12/21/1960,126.25,,18-Dec-15
NP-TSB,H3153,12/22/1960,122.02,,18-Dec-15
NP-TSB,H3153,12/23/1960,117.66,,18-Dec-15
NP-TSB,H3153,12/24/1960,113.69,,18-Dec-15
NP-TSB,H3153,12/25/1960,109.59,,18-Dec-15
NP-TSB,H3153,12/26/1960,105.86,,18-Dec-15
NP-TSB,H3153,12/27/1960,102.02,,18-Dec-15
NP-TSB,H3153,12/28/1960,98.3,,18-Dec-15
NP-TSB,H3153,12/29/1960,94.92,,18-Dec-15
NP-TSB,H3153,12/30/1960,93.47,,18-Dec-15
NP-TSB,H3153,12/31/1960,90.23,,18-Dec-15
NP-TSB,H3153,1/1/1961,86.89,,18-Dec-15
NP-TSB,H3153,1/2/1961,83.86,,18-Dec-15
NP-TSB,H3153,1/3/1961,80.73,,18-Dec-15
NP-TSB,H3153,1/4/1961,74.46,,18-Dec-15
NP-TSB,H3153,1/5/1961,70.04,,18-Dec-15
NP-TSB,H3153,1/6/1961,65.85,,18-Dec-15
NP-TSB,H3153,1/7/1961,60.62,,18-Dec-15
NP-TSB,H3153,1/8/1961,58.28,,18-Dec-15
NP-TSB,H3153,1/9/1961,56.15,,18-Dec-15
NP-TSB,H3153,1/10/1961,57.87,,18-Dec-15
NP-TSB,H3153,1/11/1961,58.41,,18-Dec-15
NP-TSB,H3153,1/12/1961,77.37,,18-Dec-15
NP-TSB,H3153,1/13/1961,131.44,,18-Dec-15
NP-TSB,H3153,1/14/1961,150.04,,18-Dec-15
NP-TSB,H3153,1/15/1961,153.83,,18-Dec-15
NP-TSB,H3153,1/16/1961,145.41,,18-Dec-15
NP-TSB,H3153,1/17/1961,137.11,,18-Dec-15
NP-TSB,H3153,1/18/1961,124.12,,18-Dec-15
NP-TSB,H3153,1/19/1961,114.42,,18-Dec-15
NP-TSB,H3153,1/20/1961,105.63,,18-Dec-15
NP-TSB,H3153,1/21/1961,97.23,,18-Dec-15
NP-TSB,H3153,1/22/1961,87.67,,18-Dec-15
NP-TSB,H3153,1/23/1961,80.55,,18-Dec-15
NP-TSB,H3153,1/24/1961,74.12,,18-Dec-15
NP-TSB,H3153,1/25/1961,68,,18-Dec-15
NP-TSB,H3153,1/26/1961,63.33,,18-Dec-15
NP-TSB,H3153,1/27/1961,60.34,,18-Dec-15
NP-TSB,H3153,1/28/1961,56.15,,18-Dec-15
NP-TSB,H3153,1/29/1961,53.46,,18-Dec-15
NP-TSB,H3153,1/30/1961,50.88,,18-Dec-15
NP-TSB,H3153,1/31/1961,47.28,,18-Dec-15
NP-TSB,H3153,2/1/1961,44.97,,18-Dec-15
NP-TSB,H3153,2/2/1961,42.66,,18-Dec-15
NP-TSB,H3153,2/3/1961,45.73,,18-Dec-15
NP-TSB,H3153,2/4/1961,48.99,,18-Dec-15
NP-TSB,H3153,2/5/1961,47.73,,18-Dec-15
NP-TSB,H3153,2/6/1961,46.5,,18-Dec-15
NP-TSB,H3153,2/7/1961,45.29,,18-Dec-15
NP-TSB,H3153,2/8/1961,47.39,,18-Dec-15
NP-TSB,H3153,2/9/1961,46.17,,18-Dec-15
NP-TSB,H3153,2/10/1961,42.86,,18-Dec-15
NP-TSB,H3153,2/11/1961,38.35,,18-Dec-15
NP-TSB,H3153,2/12/1961,34.26,,18-Dec-15
NP-TSB,H3153,2/13/1961,30.64,,18-Dec-15
NP-TSB,H3153,2/14/1961,27.29,,18-Dec-15
NP-TSB,H3153,2/15/1961,23.66,,18-Dec-15
NP-TSB,H3153,2/16/1961,20.51,,18-Dec-15
NP-TSB,H3153,2/17/1961,17.69,,18-Dec-15
NP-TSB,H3153,2/18/1961,14.82,,18-Dec-15
NP-TSB,H3153,2/19/1961,13.1,,18-Dec-15
NP-TSB,H3153,2/20/1961,10.91,,18-Dec-15
NP-TSB,H3153,2/21/1961,9.04,,18-Dec-15
NP-TSB,H3153,2/22/1961,7.49,,18-Dec-15
NP-TSB,H3153,2/23/1961,6.79,,18-Dec-15
NP-TSB,H3153,2/24/1961,6.16,,18-Dec-15
NP-TSB,H3153,2/25/1961,5.59,,18-Dec-15
NP-TSB,H3153,2/26/1961,4.61,,18-Dec-15
NP-TSB,H3153,2/27/1961,4.04,,18-Dec-15
NP-TSB,H3153,2/28/1961,3.64,,18-Dec-15
NP-TSB,H3153,3/1/1961,3.29,,18-Dec-15
NP-TSB,H3153,3/2/1961,2.95,,18-Dec-15
NP-TSB,H3153,3/3/1961,2.74,,18-Dec-15
NP-TSB,H3153,3/4/1961,2.46,,18-Dec-15
NP-TSB,H3153,3/5/1961,2.2,,18-Dec-15
NP-TSB,H3153,3/6/1961,2.05,,18-Dec-15
NP-TSB,H3153,3/7/1961,1.89,,18-Dec-15
NP-TSB,H3153,3/8/1961,1.82,,18-Dec-15
NP-TSB,H3153,3/9/1961,1.86,,18-Dec-15
NP-TSB,H3153,3/10/1961,1.78,,18-Dec-15
NP-TSB,H3153,3/11/1961,1.5,,18-Dec-15
NP-TSB,H3153,3/12/1961,1.3,,18-Dec-15
NP-TSB,H3153,3/13/1961,1.13,,18-Dec-15
NP-TSB,H3153,3/14/1961,2.34,,18-Dec-15
NP-TSB,H3153,3/15/1961,2.42,,18-Dec-15
NP-TSB,H3153,3/16/1961,2.12,,18-Dec-15
NP-TSB,H3153,3/17/1961,1.78,,18-Dec-15
NP-TSB,H3153,3/18/1961,1.5,,18-Dec-15
NP-TSB,H3153,3/19/1961,1.3,,18-Dec-15
NP-TSB,H3153,3/20/1961,1.09,,18-Dec-15
NP-TSB,H3153,3/21/1961,0.94,,18-Dec-15
NP-TSB,H3153,3/22/1961,0.78,,18-Dec-15
NP-TSB,H3153,3/23/1961,0,,19-Mar-98
NP-TSB,H3153,3/24/1961,0,,19-Mar-98
NP-TSB,H3153,3/25/1961,0,,19-Mar-98
NP-TSB,H3153,3/26/1961,0,,19-Mar-98
NP-TSB,H3153,3/27/1961,0,,19-Mar-98
NP-TSB,H3153,3/28/1961,0,,19-Mar-98
NP-TSB,H3153,3/29/1961,0,,19-Mar-98
NP-TSB,H3153,3/30/1961,0,,19-Mar-98
NP-TSB,H3153,3/31/1961,0,,19-Mar-98
NP-TSB,H3153,4/1/1961,0,,19-Mar-98
NP-TSB,H3153,4/2/1961,0,,19-Mar-98
NP-TSB,H3153,4/3/1961,0,,19-Mar-98
NP-TSB,H3153,4/4/1961,0,,19-Mar-98
NP-TSB,H3153,4/5/1961,0,,19-Mar-98
NP-TSB,H3153,4/6/1961,0,,19-Mar-98
NP-TSB,H3153,4/7/1961,0,,19-Mar-98
NP-TSB,H3153,4/8/1961,0,,19-Mar-98
NP-TSB,H3153,4/9/1961,0,,19-Mar-98
NP-TSB,H3153,4/10/1961,0,,19-Mar-98
NP-TSB,H3153,4/11/1961,0,,19-Mar-98
NP-TSB,H3153,4/12/1961,0,,19-Mar-98
NP-TSB,H3153,4/13/1961,0,,19-Mar-98
NP-TSB,H3153,4/14/1961,0,,19-Mar-98
NP-TSB,H3153,4/15/1961,0,,19-Mar-98
NP-TSB,H3153,4/16/1961,0,,19-Mar-98
NP-TSB,H3153,4/17/1961,0,,19-Mar-98
NP-TSB,H3153,4/18/1961,0,,19-Mar-98
NP-TSB,H3153,4/19/1961,0,,19-Mar-98
NP-TSB,H3153,4/20/1961,0,,19-Mar-98
NP-TSB,H3153,4/21/1961,0,,19-Mar-98
NP-TSB,H3153,4/22/1961,0,,19-Mar-98
NP-TSB,H3153,4/23/1961,0,,19-Mar-98
NP-TSB,H3153,4/24/1961,0,,19-Mar-98
NP-TSB,H3153,4/25/1961,0,,19-Mar-98
NP-TSB,H3153,4/26/1961,0,,19-Mar-98
NP-TSB,H3153,4/27/1961,0,,19-Mar-98
NP-TSB,H3153,4/28/1961,0,,19-Mar-98
NP-TSB,H3153,4/29/1961,0,,19-Mar-98
NP-TSB,H3153,4/30/1961,0,,19-Mar-98
