Station,DBKEY,Daily.Date,Data.Value,Qualifier,Revision Date
NP-TSB,H2442,8/16/1960,4.14,,13-Mar-98
NP-TSB,H2442,8/17/1960,4.15,,13-Mar-98
NP-TSB,H2442,8/18/1960,4.13,,13-Mar-98
NP-TSB,H2442,8/19/1960,4.12,,13-Mar-98
NP-TSB,H2442,8/20/1960,4.08,,13-Mar-98
NP-TSB,H2442,8/21/1960,4.04,,13-Mar-98
NP-TSB,H2442,8/22/1960,4,,13-Mar-98
NP-TSB,H2442,8/23/1960,3.97,,13-Mar-98
NP-TSB,H2442,8/24/1960,3.97,,13-Mar-98
NP-TSB,H2442,8/25/1960,4.01,,13-Mar-98
NP-TSB,H2442,8/26/1960,4.1,,13-Mar-98
NP-TSB,H2442,8/27/1960,4.1,,13-Mar-98
NP-TSB,H2442,8/28/1960,4.08,,13-Mar-98
NP-TSB,H2442,8/29/1960,4.04,,13-Mar-98
NP-TSB,H2442,8/30/1960,4.1,,13-Mar-98
NP-TSB,H2442,8/31/1960,4.2,,13-Mar-98
NP-TSB,H2442,9/1/1960,4.24,,13-Mar-98
NP-TSB,H2442,9/2/1960,4.27,,13-Mar-98
NP-TSB,H2442,9/3/1960,4.36,,13-Mar-98
NP-TSB,H2442,9/4/1960,4.43,,13-Mar-98
NP-TSB,H2442,9/5/1960,4.49,,13-Mar-98
NP-TSB,H2442,9/6/1960,4.55,,13-Mar-98
NP-TSB,H2442,9/7/1960,4.75,,13-Mar-98
NP-TSB,H2442,9/8/1960,4.9,,13-Mar-98
NP-TSB,H2442,9/9/1960,4.94,,13-Mar-98
NP-TSB,H2442,9/10/1960,5.12,,13-Mar-98
NP-TSB,H2442,9/11/1960,5.19,,13-Mar-98
NP-TSB,H2442,9/12/1960,5.22,,13-Mar-98
NP-TSB,H2442,9/13/1960,5.22,,13-Mar-98
NP-TSB,H2442,9/14/1960,5.19,,13-Mar-98
NP-TSB,H2442,9/15/1960,5.15,,13-Mar-98
NP-TSB,H2442,9/16/1960,5.09,,13-Mar-98
NP-TSB,H2442,9/17/1960,5.03,,13-Mar-98
NP-TSB,H2442,9/18/1960,5,,13-Mar-98
NP-TSB,H2442,9/19/1960,4.96,,13-Mar-98
NP-TSB,H2442,9/20/1960,4.91,,13-Mar-98
NP-TSB,H2442,9/21/1960,4.88,,13-Mar-98
NP-TSB,H2442,9/22/1960,4.88,,13-Mar-98
NP-TSB,H2442,9/23/1960,5.2,,13-Mar-98
NP-TSB,H2442,9/24/1960,5.29,,13-Mar-98
NP-TSB,H2442,9/25/1960,5.28,,13-Mar-98
NP-TSB,H2442,9/26/1960,5.25,,13-Mar-98
NP-TSB,H2442,9/27/1960,5.24,,13-Mar-98
NP-TSB,H2442,9/28/1960,5.22,,13-Mar-98
NP-TSB,H2442,9/29/1960,5.19,,13-Mar-98
NP-TSB,H2442,9/30/1960,5.15,,13-Mar-98
NP-TSB,H2442,10/1/1960,5.12,,13-Mar-98
NP-TSB,H2442,10/2/1960,5.12,,13-Mar-98
NP-TSB,H2442,10/3/1960,5.1,,13-Mar-98
NP-TSB,H2442,10/4/1960,5.06,,13-Mar-98
NP-TSB,H2442,10/5/1960,5,,13-Mar-98
NP-TSB,H2442,10/6/1960,4.97,,13-Mar-98
NP-TSB,H2442,10/7/1960,4.95,,13-Mar-98
NP-TSB,H2442,10/8/1960,4.9,,13-Mar-98
NP-TSB,H2442,10/9/1960,4.87,,13-Mar-98
NP-TSB,H2442,10/10/1960,4.89,,13-Mar-98
NP-TSB,H2442,10/11/1960,4.91,,13-Mar-98
NP-TSB,H2442,10/12/1960,4.89,,13-Mar-98
NP-TSB,H2442,10/13/1960,4.85,,13-Mar-98
NP-TSB,H2442,10/14/1960,4.83,,13-Mar-98
NP-TSB,H2442,10/15/1960,4.81,,13-Mar-98
NP-TSB,H2442,10/16/1960,4.8,,13-Mar-98
NP-TSB,H2442,10/17/1960,4.8,,13-Mar-98
NP-TSB,H2442,10/18/1960,4.78,,13-Mar-98
NP-TSB,H2442,10/19/1960,4.75,,13-Mar-98
NP-TSB,H2442,10/20/1960,4.74,,13-Mar-98
NP-TSB,H2442,10/21/1960,4.75,,13-Mar-98
NP-TSB,H2442,10/22/1960,4.74,,13-Mar-98
NP-TSB,H2442,10/23/1960,4.72,,13-Mar-98
NP-TSB,H2442,10/24/1960,4.69,,13-Mar-98
NP-TSB,H2442,10/25/1960,4.67,,13-Mar-98
NP-TSB,H2442,10/26/1960,4.64,,13-Mar-98
NP-TSB,H2442,10/27/1960,4.61,,13-Mar-98
NP-TSB,H2442,10/28/1960,4.68,,13-Mar-98
NP-TSB,H2442,10/29/1960,4.75,,13-Mar-98
NP-TSB,H2442,10/30/1960,4.73,,13-Mar-98
NP-TSB,H2442,10/31/1960,4.82,,13-Mar-98
NP-TSB,H2442,11/1/1960,5.02,,13-Mar-98
NP-TSB,H2442,11/2/1960,5.11,,13-Mar-98
NP-TSB,H2442,11/3/1960,5.1,,13-Mar-98
NP-TSB,H2442,11/4/1960,5.09,,13-Mar-98
