Date,Time,Volume Filtered,Rep-A ug/L,Rep-B ug/L,Average,Comments
6/28/10,12:28,140,1.19,,1.19,
7/27/10,8:34,140,0.4,,0.4,
8/25/10,10:24,140,2.64,,2.64,
9/8/10,8:38,140,5.97,,5.97,
9/22/10,9:24,140,2.83,,2.83,
10/5/10,7:50,140,2.43,,2.43,
11/3/10,9:23,10,5.85,,5.85,
12/16/10,11:14,140,0.45,,0.45,
12/30/10,10:45,140,0.41,,0.41,
2/3/11,9:42,140,0.59,,0.59,
3/24/10,9:47,140,0.52,,0.52,
4/12/11,9:57,140,0.76,,0.76,
5/9/11,10:44,140,0.78,,0.78,
6/23/11,9:13,110,0.75,,0.75,
7/17/11,14:14,114,4.24,,4.24,
9/14/11,8:50,120,20.76,,20.76,
10/14/11,9:42,120,5.61,,5.61,
11/4/11,9:30,75,15.48,,15.48,
11/16/11,10:52,120,4.41,,4.41,
11/30/11,12:48,75,18.66,,18.66,
12/29/11,11:30,110,13.26,,13.26,
1/12/12,9:25,120,11.94,,11.94,
4/5/12,13:00,150,0.45,,0.45,
4/10/12,9:00,150,1.34,,1.34,
4/19/12,8:01,150,0.77,,0.77,
5/3/12,11:00,150,5.97,,5.97,
5/22/12,9:40,150,7.19,5.88,6.535,
6/5/12,8:02,100,19.43,17.83,18.63,
6/16/12,13:57,85,9.17,,9.17,
7/3/12,8:40,50,6.35,7,6.675,
7/17/12,10:32,100,11.2,,11.2,
8/7/12,8:13,150,3.58,3.84,3.71,
8/31/12,9:50,100,7.04,5.6,6.32,
9/18/12,9:28,50,10.34,9.92,10.13,
10/4/12,10:24,50,13.41,11.45,12.43,
10/17/10,9:25,75,10.5,8.63,9.565,
11/1/12,8:28,50,13.83,16.1,14.965,
11/27/12,9:33,50,8.44,8.5,8.47,
12/12/12,9:30,50,24.86,25.52,25.19,
1/31/13,9:27,50,5.67,4.91,5.29,
1/12/13,9:40,50,11.8,14.78,13.29,
2/27/13,10:00,50,4.84,4.88,4.86,
3/19/13,8:37,100,1.64,1.44,1.54,
5/1/13,8:14,50,2.08,,2.08,
5/23/13,8:51,100,2.09,3.03,2.56,
6/14/13,8:24,100,2.68,1.92,2.3,
6/26/13,8:12,100,2.95,2.96,2.955,
7/22/13,9:01,100,2.43,3.87,3.15,
8/5/13,10:24,100,3.32,0.23,1.775,
10/23/13,10:04,50,4.51,4.28,4.395,Liz collected
11/19/13,11:00,50,1.19,0.9,1.045,Liz collected
1/13/14,11:00,100,0.98,1.11,1.045,
2/6/14,10:10,100,2.71,3.05,2.88,
2/26/14,10:21,100,2.58,2.59,2.585,
3/11/14,8:30,100,2.85,2.43,2.64,
4/15/14,9:54,100,2.24,1.88,2.06,
5/7/14,9:20,100,1.47,1.22,1.345,
6/13/14,9:00,100,1.21,1.25,1.23,
8/5/14,9:05,100,2.64,2.77,2.705,
9/16/14,9:07,100,8,5.43,6.715,
10/1/14,9:00,100,5.88,5.87,5.875,
1/14/15,9:32,100,0.44,1.54,0.99,
3/5/15,10:06,50,2.01,2.89,2.45,
4/17/15,9:15,100,0.57,0.72,0.645,
5/7/15,9:11,50,4.88,4.8,4.84,
6/2/15,8:10,100,0.11,0.06,0.085,
7/13/15,9:00,100,6.87,4.5,5.685,
8/11/15,10:03,50,2.02,2.04,2.03,
9/1/15,10:34,50,19.86,18.67,19.265,
10/7/15,10:00,45,2.15,4.12,3.135,
10/28/15,8:30,50,19.88,18.43,19.155,
12/12/15,10:46,50,11.71,12.11,11.91,Liz
12/16/15,9:04,50,18.87,18.96,18.915,
1/8/16,9:15,50,21.88,17.38,19.63,
1/16/16,12:40,50,8.8,7.7,8.25,
3/4/16,9:43,50,15.23,17.84,16.535,
5/6/16,8:00,50,1.53,1.37,1.45,
6/2/16,7:54,50,5.92,6.43,6.175,
6/28/16,9:19,50,19.16,16.22,17.69,
6/30/16,7:25,50,6.89,8.96,7.925,
8/2/16,8:37,25,4.01,3.78,3.895,
8/31/16,8:03,50,2.68,2.61,2.645,
9/27/16,9:17,50,13.23,13.86,13.545,
