#Merged Datasets Daily/Validated from 2011-01-01 to 2024-11-30
#Date,WB/chlorophyll2,WB/cond2,WB/depth,WB/dissolved_oxygen,WB/pH,WB/FDOM,WB/rain,WB/salinity2,WB/surface_temperature,WB/turbidity2,WB/stage
2011-01-01,0.303,45.160,null,8.335,8.329,null,0.000,29.242,18.682,null,-0.813
2011-01-02,0.392,44.316,null,8.428,8.345,null,0.000,28.637,19.944,null,-0.834
2011-01-03,0.541,43.242,null,9.148,8.368,null,0.000,27.867,21.005,null,-0.953
2011-01-04,0.500,43.834,null,8.428,8.338,null,0.000,28.291,21.908,null,-0.955
2011-01-05,0.407,43.852,null,8.676,8.351,null,0.000,28.303,22.709,null,-0.948
2011-01-06,0.780,45.299,null,6.239,8.220,null,0.045,29.342,22.615,null,-0.737
2011-01-07,0.654,47.301,null,8.063,8.340,null,0.000,30.787,19.685,null,-0.852
2011-01-08,0.322,48.192,null,8.082,8.338,null,0.000,31.432,19.541,null,-0.731
2011-01-09,0.294,48.462,null,7.909,8.315,null,0.000,31.629,20.674,null,-0.891
2011-01-10,0.325,48.358,null,7.486,8.264,null,0.000,31.553,20.751,null,-0.949
2011-01-11,0.388,48.718,null,8.387,8.303,null,0.000,31.815,22.701,null,-0.995
2011-01-12,0.493,48.790,null,7.347,8.279,null,0.000,31.867,19.728,null,-1.204
2011-01-13,0.524,49.023,null,8.733,8.291,null,0.000,32.037,14.179,null,-1.581
2011-01-14,0.400,48.868,null,8.717,8.274,null,0.000,31.924,15.309,null,-1.727
2011-01-15,0.345,48.778,null,8.496,8.289,null,0.000,31.858,17.674,null,-1.671
2011-01-16,0.338,48.796,null,8.291,8.332,null,0.000,31.872,19.329,null,-1.418
2011-01-17,0.418,47.514,null,7.758,8.271,null,1.550,30.941,20.077,null,-0.969
2011-01-18,0.398,47.466,null,8.145,8.266,null,0.000,30.906,20.631,null,-0.785
2011-01-19,0.337,47.662,null,9.012,8.309,null,0.000,31.048,22.530,null,-0.775
2011-01-20,0.407,48.117,null,8.017,8.280,null,0.000,31.378,23.594,null,-0.808
2011-01-21,0.526,48.008,null,7.495,8.282,null,0.000,31.299,24.002,null,-0.689
2011-01-22,0.999,47.627,null,5.892,8.216,null,0.000,31.022,22.152,null,-0.624
2011-01-23,1.144,47.438,null,8.128,8.276,null,0.000,30.886,16.919,null,-1.060
2011-01-24,0.899,47.769,null,7.795,8.252,null,0.000,31.126,17.848,null,-1.079
2011-01-25,0.801,47.740,null,7.180,8.228,null,0.000,31.105,20.213,null,-1.070
2011-01-26,0.940,47.461,null,7.018,8.255,null,0.640,30.902,21.183,null,-0.980
2011-01-27,null,47.574,null,8.161,8.323,null,0.000,30.984,19.462,null,-1.206
2011-01-28,null,47.042,null,8.778,8.385,null,0.000,30.599,16.965,null,-1.345
2011-01-29,null,46.492,null,9.327,8.483,null,0.000,30.201,16.622,null,-1.378
2011-01-30,null,46.145,null,9.244,8.389,null,0.000,29.951,18.532,null,-1.343
2011-01-31,null,46.162,null,8.921,8.392,null,0.000,29.963,20.973,null,-1.336
2011-02-01,null,46.073,null,8.184,8.393,null,0.000,29.899,22.172,null,-1.219
2011-02-02,0.195,46.072,null,8.657,8.309,null,0.000,29.898,22.625,null,-1.039
2011-02-03,0.243,null,null,8.149,8.261,null,0.000,null,24.015,null,-1.155
2011-02-04,0.245,null,null,8.138,8.285,null,0.000,null,25.079,null,-1.150
2011-02-05,0.266,50.416,null,7.831,8.268,null,0.000,34.642,25.051,null,-1.048
2011-02-06,0.267,52.322,null,7.895,8.237,null,0.000,34.453,25.191,null,-1.029
2011-02-07,0.359,51.403,null,7.792,8.248,null,0.000,33.777,25.535,null,-1.005
2011-02-08,0.587,51.901,null,7.378,8.308,null,0.000,34.143,24.258,null,-1.099
2011-02-09,0.301,51.819,null,7.402,8.282,null,0.000,34.082,21.488,null,-1.350
2011-02-10,0.272,51.960,null,8.565,8.346,null,0.000,34.186,24.756,null,-1.273
2011-02-11,0.401,52.083,null,6.855,8.290,null,0.000,34.276,24.200,null,-1.241
2011-02-12,0.496,51.902,null,7.407,8.287,null,0.000,34.143,18.009,null,-1.448
2011-02-13,0.406,52.373,null,9.125,8.348,null,0.000,34.490,16.110,null,-1.740
