date,dir,speed
1/1/15,133.267,7.804
1/2/15,90.839,7.276
1/3/15,100.983,7.585
1/4/15,106.25,5.49
1/5/15,68.855,7.459
1/6/15,73.961,10.29
1/7/15,312.933,9.942
1/8/15,203.298,19.308
1/9/15,150.004,5.716
1/10/15,154.163,16
1/11/15,42.952,9.824
1/12/15,89.79,7.217
1/13/15,167.168,7.104
1/14/15,252.285,10.07
1/15/15,270.784,10.095
1/16/15,218.662,13.005
1/17/15,137.001,12.71
1/18/15,231.328,6.029
1/19/15,68.712,11.4
1/20/15,93.153,3.618
1/21/15,71.536,4.27
1/22/15,69.679,8.119
1/23/15,117.688,5.813
1/24/15,239.963,13.535
1/25/15,313.525,12.755
1/26/15,255.792,15.744
1/27/15,302.125,13.398
1/28/15,293.412,14.964
1/29/15,153.678,13.908
1/30/15,298.535,10.399
1/31/15,114.967,14.571
2/1/15,88.164,7.582
2/2/15,196.909,6.642
2/3/15,150.835,12.958
2/4/15,75.127,8.21
2/5/15,213.317,11.717
2/6/15,189.121,18.93
2/7/15,55.913,14.814
2/8/15,92.123,5.161
2/9/15,118.828,7.235
2/10/15,287.438,20.097
2/11/15,307.504,12.755
2/12/15,269.598,10.932
2/13/15,303.867,14.444
2/14/15,310.637,13.332
2/15/15,257.701,7.444
2/16/15,109.721,6.473
2/17/15,189.262,6.196
2/18/15,291.849,13.119
2/19/15,324.146,18.305
2/20/15,199.733,17.65
2/21/15,66.254,8.979
2/22/15,84.575,5.432
2/23/15,129.529,4.182
2/24/15,236.847,7.91
2/25/15,178.742,3.2
2/26/15,212.613,11.019
2/27/15,106.99,10.909
2/28/15,63.011,11.546
3/1/15,66.987,13.589
3/2/15,69.475,10.726
3/3/15,79.295,11.08
3/4/15,98.217,7.907
3/5/15,122.679,4.492
3/6/15,92.118,4.809
3/7/15,85.234,14.008
3/8/15,54.193,15.8
3/9/15,81.51,10.523
3/10/15,90.319,11.295
3/11/15,93.851,8.616
3/12/15,83.105,10.843
3/13/15,91.208,11.82
3/14/15,102.8,7.277
3/15/15,82.65,4.539
3/16/15,209.978,5.602
3/17/15,192.7,7.694
3/18/15,269.054,10.013
3/19/15,247.867,5.897
3/20/15,222.511,6.775
3/21/15,270.654,6.24
3/22/15,199.448,6.018
3/23/15,253.271,11.398
3/24/15,175.155,9.273
3/25/15,166.016,5.176
3/26/15,139.517,4.204
3/27/15,219.217,14.171
3/28/15,292.243,15.058
3/29/15,154.781,16.244
3/30/15,85.333,7.292
3/31/15,199.074,6.587
4/1/15,116.378,4.772
4/2/15,55.905,9.269
4/3/15,84.961,9.381
4/4/15,83.407,5.194
4/5/15,67.802,7.132
4/6/15,82.26,10.131
4/7/15,78.368,11.115
4/8/15,75.808,11.559
4/9/15,80.731,10.96
4/10/15,90.148,9.492
4/11/15,100.767,6.02
4/12/15,104.412,6.087
4/13/15,107.575,6.19
4/14/15,97.725,6.929
4/15/15,111.925,5.263
4/16/15,117.342,4.564
4/17/15,141.804,4.327
4/18/15,151.267,3.129
4/19/15,143.583,3.466
4/20/15,190.654,6.142
4/21/15,187.498,5.806
4/22/15,108.993,6.236
4/23/15,150.278,5.901
4/24/15,235.114,7.253
4/25/15,161.066,7.806
4/26/15,227.275,12.882
4/27/15,223.833,5.3
4/28/15,187.208,9.083
4/29/15,157.001,10.508
4/30/15,268.725,15.001
5/1/15,310.067,14.289
5/2/15,119.144,14.494
5/3/15,53.453,16.125
5/4/15,47.065,15.686
5/5/15,61.994,10.587
5/6/15,229.66,6.358
5/7/15,98.622,4.383
5/8/15,198.42,5.548
5/9/15,133.329,4.612
5/10/15,88.021,8.587
5/11/15,84.388,10.386
5/12/15,84.799,9.45
5/13/15,84.737,9.529
5/14/15,81.595,10.585
5/15/15,79.728,11.243
5/16/15,85.733,10.047
5/17/15,87.235,9.704
5/18/15,65.332,10.023
5/19/15,62.336,9.195
5/20/15,163.548,4.273
5/21/15,242.283,7.648
5/22/15,202.78,7.088
5/23/15,55.515,10.806
5/24/15,77.153,12.145
5/25/15,83.146,12.075
5/26/15,83.108,12.028
5/27/15,69.653,13.524
5/28/15,65.221,12.949
5/29/15,61.573,9.645
5/30/15,83.275,8.159
5/31/15,92.911,5.515
6/1/15,98.558,4.99
6/2/15,87.583,5.186
6/3/15,110.916,4.739
6/4/15,109.046,3.363
6/5/15,97.776,6.342
6/6/15,163.161,5.375
6/7/15,68.165,6.516
6/8/15,89.777,6.489
6/9/15,138.522,3.651
6/10/15,145.825,4.226
6/11/15,88.948,9.83
6/12/15,87.732,10.104
6/13/15,83.812,12.59
6/14/15,84.117,11.821
6/15/15,91.358,7.38
6/16/15,84.487,7.981
6/17/15,87.712,7.157
6/18/15,89.6,7.215
6/19/15,90.075,5.458
6/20/15,88.039,6.072
6/21/15,125.317,6.038
6/22/15,91.428,6.491
6/23/15,97.162,6.286
6/24/15,94.404,6.593
6/25/15,91.237,5.127
6/26/15,125.035,3.421
6/27/15,175.009,4.202
6/28/15,204.45,5.706
6/29/15,197.252,5.256
6/30/15,181.792,5.181
7/1/15,81.997,7.302
