"","date","aflow","mflow"
"1",2007-04-01,-142.43,-444.96
"2",2007-05-01,3.33,-193.13
"3",2007-06-01,694.89,1678.86
"4",2007-07-01,0,1747.9
"5",2007-08-01,585.37,897.14
"6",2007-09-01,620.05,1351.86
"7",2007-10-01,1756.23,4498.9
"8",2007-11-01,627.52,943.5
"9",2007-12-01,166.97,154.78
"10",2008-01-01,-39.04,256
"11",2008-02-01,-88.06,485.99
"12",2008-03-01,-104.42,345.11
"13",2008-04-01,-623.13,-881.86
"14",2008-05-01,-632.87,-773.76
"15",2008-06-01,-296.21,-100.53
"16",2008-07-01,-669.41,-1066.19
"17",2008-08-01,734,2122.19
"18",2008-09-01,921.86,2451.08
"19",2008-10-01,1751.97,2586.06
"20",2008-11-01,684.21,832.81
"21",2008-12-01,826.91,1300.74
"22",2009-01-01,339.6,378.12
"23",2009-02-01,-69.73,-178.67
"24",2009-03-01,-848.06,-1075.82
"25",2009-04-01,-549.2,14.43
"26",2009-05-01,-1242.6,-1863.56
"27",2009-06-01,82.18,663.36
"28",2009-07-01,1516.3,1882.5
"29",2009-08-01,536.87,357.61
"30",2009-09-01,1195.52,2773
"31",2009-10-01,772.8,1767.63
"32",2009-11-01,230.16,801.49
"33",2009-12-01,1064.11,2171.34
"34",2010-01-01,793.38,1012.78
"35",2010-02-01,776.65,1111.87
"36",2010-03-01,428.89,470.59
"37",2010-04-01,-157.75,-277.41
"38",2010-05-01,-385.83,-545.28
"39",2010-06-01,-305.44,-105.33
"40",2010-07-01,-146.34,118.22
"41",2010-08-01,367.82,1534.47
"42",2010-09-01,1159.22,2584.88
"43",2010-10-01,2033.7,3492.8
"44",2010-11-01,878.05,368.1
"45",2010-12-01,984.31,365.47
"46",2011-01-01,781.6,356.84
"47",2011-02-01,375.99,-368.05
"48",2011-03-01,-124.07,-853.47
"49",2011-04-01,-594.88,-1046.25
"50",2011-05-01,-736.4,-1215.2
"51",2011-06-01,-899.21,-1429.48
"52",2011-07-01,24.64,120.63
"53",2011-08-01,-337.65,-920.01
"54",2011-09-01,707.33,847.32
"55",2011-10-01,1662.7,2958.4
"56",2011-11-01,1371,1208.96
"57",2011-12-01,678.02,-270.97
"58",2012-01-01,406.71,-167.9
"59",2012-02-01,-320.86,-679.84
"60",2012-03-01,-607.9,-1052.53
"61",2012-04-01,-573.7,-496.23
"62",2012-05-01,626.65,885.11
"63",2012-06-01,689.13,1097.08
"64",2012-07-01,1594.56,2512.65
"65",2012-08-01,1207.2,1506.66
"66",2012-09-01,1785.8,2580.24
"67",2012-10-01,1001.78,1174.19
"68",2012-11-01,1076.64,1226.61
"69",2012-12-01,713.54,443.57
"70",2013-01-01,313.77,-272.34
"71",2013-02-01,-128.3,-406.35
"72",2013-03-01,-229.73,-469.49
"73",2013-04-01,-192.83,-766.92
"74",2013-05-01,267.64,296
"75",2013-06-01,1578.6,2051.81
"76",2013-07-01,2029.59,3041.71
"77",2013-08-01,1162.81,782.61
"78",2013-09-01,497.63,407.47
"79",2013-10-01,521.7,1932.31
"80",2013-11-01,842.09,1106.15
"81",2013-12-01,962.97,924.99
"82",2014-01-01,631.58,541.16
"83",2014-02-01,87.75,-94.47
"84",2014-03-01,-16.94,6.11
"85",2014-04-01,-669.3,-1090.37
"86",2014-05-01,-561.71,-388.13
"87",2014-06-01,-387.1,-163.16
"88",2014-07-01,-80.3,-194.3
"89",2014-08-01,352,219.4
"90",2014-09-01,294.35,614.25
"91",2014-10-01,882.57,1120.06
"92",2014-11-01,532.81,730.16
"93",2014-12-01,63.52,227.67
"94",2015-01-01,484.08,493.02
"95",2015-02-01,43.62,-136.06
"96",2015-03-01,-133.51,-168.04
"97",2015-04-01,-825.19,-1012.6
"98",2015-05-01,43.78,213.47
"99",2015-06-01,-440.41,-584.52
"100",2015-07-01,-920.36,-1124.02
"101",2015-08-01,134.59,247.29
"102",2015-09-01,713.08,1909.2
"103",2015-10-01,385.09,1280.16
"104",2015-11-01,1462.07,1778.28
"105",2015-12-01,742.43,2517.8
"106",2016-01-01,1206.39,1584
"107",2016-02-01,1315.18,1857.37
"108",2016-03-01,272.53,97.49
"109",2016-04-01,-201.9,-132.97
"110",2016-05-01,-110.54,196.36
"111",2016-06-01,76.22,0.629999999999994
"112",2016-07-01,214.18,526.42
"113",2016-08-01,331.71,572.5
"114",2016-09-01,1443.3,3090.7
"115",2016-10-01,1098.14,1502.3
"116",2016-11-01,693.12,951
"117",2016-12-01,952.71,837.98
"118",2017-01-01,196.17,79.61
"119",2017-02-01,70.39,-150.79
"120",2017-03-01,-75.11,-304.73
"121",2017-04-01,-858.8,-798.34
"122",2017-05-01,-931.39,-715.13
"123",2017-06-01,-230.86,182.16
"124",2017-07-01,-55.3,-236.93
"125",2017-08-01,445.12,404.33
"126",2017-09-01,197.65,3743.73
"127",2017-10-01,1241.7,4873.55
"128",2017-11-01,1219.5,1432.65
"129",2017-12-01,780.36,794.56
"130",2018-01-01,691.58,717.9
"131",2018-02-01,154.84,-125.19
"132",2018-03-01,-995.87,-1138
"133",2018-04-01,-562.21,-267.43
"134",2018-05-01,485.31,222.89
"135",2018-06-01,1135.91,1389.19
"136",2018-07-01,1377.17,2485.4
"137",2018-08-01,709.18,581.86
"138",2018-09-01,322.79,1415.89
"139",2018-10-01,172.73,1165.2
"140",2018-11-01,149.08,587.53
"141",2018-12-01,218.95,1250.4
"142",2019-01-01,381.51,786.06
"143",2019-02-01,-11.72,-9.18
"144",2019-03-01,-340.38,-746.84
"145",2019-04-01,-397.62,-284.64
"146",2019-05-01,-467.07,-466.98
"147",2019-06-01,-480.67,-674.9
"148",2019-07-01,-14.4,312.03
"149",2019-08-01,668.3,1563.91
"150",2019-09-01,424.42,1150.24
"151",2019-10-01,386.37,700.86
"152",2019-11-01,599.48,1128.4
"153",2019-12-01,695.71,758.01
"154",2020-01-01,548.49,505.48
"155",2020-02-01,559.12,869.04
"156",2020-03-01,-159.83,-545.33
"157",2020-04-01,-950.81,-977.5
"158",2020-05-01,-300.42,61.3
"159",2020-06-01,272.36,697.93
"160",2020-07-01,68.88,685.83
"161",2020-08-01,132.14,-127.13
"162",2020-09-01,515.96,925.96
"163",2020-10-01,1894.77,3456.76
"164",2020-11-01,2720.1,5980.8
"165",2020-12-01,1572.02,2967.52
"166",2021-01-01,756.55,814.19
"167",2021-02-01,184.73,220.58
"168",2021-03-01,-318.72,-235.1
"169",2021-04-01,-543.51,-750.6
"170",2021-05-01,-319.09,-557.51
"171",2021-06-01,-152.15,-648.65
"172",2021-07-01,-424.61,-746.24
"173",2021-08-01,-16.24,625.9
"174",2021-09-01,443.41,976.57
"175",2021-10-01,327.36,874.72
"176",2021-11-01,1282.79,2769.76
"177",2021-12-01,623.95,718.6
"178",2022-01-01,493.38,922.41
"179",2022-02-01,422.06,530
"180",2022-03-01,-316.28,-569.69
"181",2022-04-01,-485.39,-722.5
"182",2022-05-01,-496.28,-746.19
"183",2022-06-01,1397.68,3185.42
"184",2022-07-01,914.81,922.35
"185",2022-08-01,-451.45,-848.32
"186",2022-09-01,83.51,243.62
"187",2022-10-01,1544.74,3076.62
"188",2022-11-01,777.77,1374.36
"189",2022-12-01,800.94,1423.04
"190",2023-01-01,484.2,631.31
"191",2023-02-01,165.41,231.23
"192",2023-03-01,-743.39,-889.84
"193",2023-04-01,-822.32,-1196.65
"194",2023-05-01,-438.56,-467.35
"195",2023-06-01,755.09,1749.72
"196",2023-07-01,1022.94,1145.57
"197",2023-08-01,384.81,633.16
"198",2023-09-01,1020.29,2268.23
"199",2023-10-01,666.54,1133.43
"200",2023-11-01,1637.73,3001.68
"201",2023-12-01,1815.04,3801.04
"202",2024-01-01,1246.2,3071.49
"203",2024-02-01,547.84,606.92
"204",2024-03-01,529.31,637.47
"205",2024-04-01,380.83,641.77
"206",2024-05-01,-1023.38,-1047.13
"207",2024-06-01,-243.86,584.79
"208",2024-07-01,162.49,301.37
"209",2024-08-01,673.93,1013.5
"210",2024-09-01,-21.36,139.1
"211",2024-10-01,2709.8,5393.8
"212",2024-11-01,702.4,1140.04
"213",2024-12-01,608.39,535.41
"214",2025-01-01,841.92,1203.5
"215",2025-02-01,199.46,-164.46
"216",2025-03-01,-71.8,-161.9
"217",1995-10-01,NA,1034
"218",1995-11-01,NA,1878
"219",1995-12-01,NA,214
"220",1996-01-01,NA,625
"221",1996-02-01,NA,191
"222",1996-03-01,NA,-391
"223",1996-04-01,NA,-695
"224",1996-05-01,NA,-680
"225",1996-06-01,NA,1451
"226",1996-07-01,NA,1407
"227",1996-08-01,NA,158
"228",1996-09-01,NA,884
"229",1996-10-01,NA,4092
"230",1996-11-01,NA,910.6
"231",1996-12-01,NA,220.4
"232",1997-01-01,NA,-125
"233",1997-02-01,NA,-338.3
"234",1997-03-01,NA,-655.2
"235",1997-04-01,NA,-1167.6
"236",1997-05-01,NA,-226.1
"237",1997-06-01,NA,5626
"238",1997-07-01,NA,2432
"239",1997-08-01,NA,303
"240",1997-09-01,NA,732
"241",1997-10-01,NA,162
"242",1997-11-01,NA,-1540.2
"243",1997-12-01,NA,-992.9
"244",1998-01-01,NA,-1531.1
"245",1998-02-01,NA,-823
"246",1998-03-01,NA,-816.4
"247",1998-04-01,NA,-2575
"248",1998-05-01,NA,-4776
"249",1998-06-01,NA,-990.7
"250",1998-07-01,NA,-577.6
"251",1998-08-01,NA,1098.9
"252",1998-09-01,NA,2937
"253",1998-10-01,NA,2218
"254",1998-11-01,NA,1494.4
"255",1998-12-01,NA,-168.6
"256",1999-01-01,NA,-184.1
"257",1999-02-01,NA,457.7
"258",1999-03-01,NA,871.5
"259",1999-04-01,NA,-1930.6
"260",1999-05-01,NA,-661.3
"261",1999-06-01,NA,85
"262",1999-07-01,NA,12.9
"263",1999-08-01,NA,-35.2
"264",1999-09-01,NA,1895.8
"265",1999-10-01,NA,7018
"266",1999-11-01,NA,2046
"267",1999-12-01,NA,349.6
"268",2000-01-01,NA,-188.5
"269",2000-02-01,NA,-17.7
"270",2000-03-01,NA,-1059.6
"271",2000-04-01,NA,-834
"272",2000-05-01,NA,-1198.8
"273",2000-06-01,NA,-1009.6
"274",2000-07-01,NA,-1239.8
"275",2000-08-01,NA,-524.2
"276",2000-09-01,NA,348.9
"277",2000-10-01,NA,4579
"278",2000-11-01,NA,609
"279",2000-12-01,NA,-81
"280",2001-01-01,NA,-107.3
"281",2001-02-01,NA,-127.1
"282",2001-03-01,NA,-610.5
"283",2001-04-01,NA,240.8
"284",2001-05-01,NA,-1449.1
"285",2001-06-01,NA,-63.43
"286",2001-07-01,NA,-91.8
"287",2001-08-01,NA,4641
"288",2001-09-01,NA,2863.53
"289",2001-10-01,NA,4014
"290",2001-11-01,NA,1977.2
"291",2001-12-01,NA,922.5
"292",2002-01-01,NA,1148.7
