clear_fraction,date,image_id,mean_B2,mean_B4,mean_B5,mean_BR,mean_BRE,total_points
0.845034038,3/2/16,20160302T155402_20160302T155615_T17RNH,1404.942857,1958.171429,2558.685714,1.245133249,1.086857371,35
0.600801691,5/1/16,20160501T155412_20160501T155544_T17RNH,2326.078947,2596.473684,2743.473684,0.949673674,0.812116084,38
0.927783087,5/21/16,20160521T160522_20160521T160549_T17RNH,1424.021739,1841.565217,2423.913043,1.117132077,1.032967881,46
1,6/30/16,20160630T160512_20160630T160611_T17RNH,1172.12,1631.36,2016.52,1.211059904,1.037853777,50
0.515255268,7/20/16,20160720T160512_20160720T160544_T17RNH,1751.392857,2259.678571,2765.714286,1.11293948,0.975296472,28
0.994065151,9/18/16,20160918T160512_20160918T160506_T17RNH,1087.28,1540.74,1869.22,1.233731795,1.032858977,50
0.470108963,11/7/16,20161107T160512_20161107T160509_T17RNH,1476.666667,1782.545455,2099.212121,1.036977538,0.915109387,33
0.689392949,11/27/16,20161127T160512_20161127T160509_T17RNH,1540,2093,2583.882353,1.189580037,1.023691932,34
0.917610088,1/16/17,20170116T155601_20170116T155948_T17RNH,1519.9,1898.98,2091.82,1.074451612,0.896434646,50
0.992307962,1/26/17,20170126T160501_20170126T160504_T17RNH,1130.66,1412.66,1676.26,1.073007237,0.937272809,50
0.994283002,2/15/17,20170215T160511_20170215T160505_T17RNH,1423.32,1818.68,2003.84,1.101412227,0.910120741,50
0.999892132,2/25/17,20170225T160511_20170225T160505_T17RNH,1248.66,1618.3,1884.7,1.119065694,0.954938031,50
0.445867031,3/17/17,20170317T160501_20170317T160502_T17RNH,1556.769231,1699.692308,2057,0.931850654,0.873476689,13
0.829597086,4/26/17,20170426T160511_20170426T160513_T17RNH,1918.387755,2086.877551,2237.877551,0.924309028,0.808311446,49
0.942607941,5/16/17,20170516T160511_20170516T160514_T17RNH,1973.36,2240.88,2501.28,0.968309956,0.851880357,50
0.676715723,6/25/17,20170625T160511_20170625T160509_T17RNH,1409.18,1696.18,1995.96,1.027957489,0.917829561,50
0.947505566,7/15/17,20170715T160511_20170715T160512_T17RNH,1501.44,1932.94,2207,1.111561284,0.943920458,50
0.995814303,7/30/17,20170730T160509_20170730T160510_T17RNH,1979.163265,2143.632653,2205.408163,0.919779906,0.782999513,49
0.872982818,8/4/17,20170804T160511_20170804T160513_T17RNH,1529.978261,1946.521739,2289.065217,1.09917443,0.948208392,46
0.799465991,8/19/17,20170819T160509_20170819T160508_T17RNH,1690.075,1953.05,2416.525,0.986038556,0.918759412,40
0.714333273,9/13/17,20170913T160511_20170913T160508_T17RNH,1473.98,1735.78,1996.56,1.010586502,0.887611085,50
