clear_fraction,date,mean_B2,mean_B4,mean_B5,mean_BR,mean_BRE,total_points
0.845034038,3/2/16,1404.942857,1958.171429,2558.685714,1.423898615,1.864928549,35
0.600801691,5/1/16,2326.078947,2596.473684,2743.473684,1.114358165,1.182077634,38
0.927783087,5/21/16,1424.021739,1841.565217,2423.913043,1.291566315,1.716384761,46
1,6/30/16,1172.12,1631.36,2016.52,1.389563756,1.728106871,50
0.515255268,7/20/16,1751.392857,2259.678571,2765.714286,1.286970764,1.57285397,28
0.994065151,9/18/16,1087.28,1540.74,1869.22,1.413293011,1.714814034,50
0.470108963,11/7/16,1476.666667,1782.545455,2099.212121,1.206849893,1.422751145,33
0.689392949,11/27/16,1540,2093,2583.882353,1.367117496,1.692155933,34
0.917610088,1/16/17,1519.9,1898.98,2091.82,1.24668144,1.377138295,50
0.992307962,1/26/17,1130.66,1412.66,1676.26,1.244983685,1.476763797,50
0.994283002,2/15/17,1423.32,1818.68,2003.84,1.274962311,1.410055902,50
0.999892132,2/25/17,1248.66,1618.3,1884.7,1.293467023,1.51940618,50
0.445867031,3/17/17,1556.769231,1699.692308,2057,1.095106368,1.323422221,13
0.829597086,4/26/17,1918.387755,2086.877551,2237.877551,1.087280775,1.173898456,49
0.942607941,5/16/17,1973.36,2240.88,2501.28,1.134208827,1.273182991,50
0.676715723,6/25/17,1409.18,1696.18,1995.96,1.196946661,1.431299653,50
0.947505566,7/15/17,1501.44,1932.94,2207,1.285515404,1.493989248,50
0.995814303,7/30/17,1979.163265,2143.632653,2205.408163,1.082316202,1.117436907,49
0.872982818,8/4/17,1529.978261,1946.521739,2289.065217,1.272529649,1.502951822,46
0.799465991,8/19/17,1690.075,1953.05,2416.525,1.152695799,1.434371203,40
0.714333273,9/13/17,1473.98,1735.78,1996.56,1.179015942,1.356541815,50
0.708774481,10/3/17,1479.911111,2080.755556,2273.511111,1.405898134,1.534604224,45
0.624347346,11/7/17,1090.12,1278.28,1626.76,1.154740019,1.452234416,25
0.897019166,11/17/17,1374.954545,1793.795455,2363.5,1.302099781,1.719688394,44
0.309035987,12/2/17,1453.88,1733.04,2141.76,1.196364694,1.468340716,25
0.57295528,12/7/17,1868.652174,2197.108696,2666.869565,1.173379942,1.425309803,46
