"","gNH4"
"1",0.799701388164001
"2",0.661827010139595
"3",0.248329162707453
"4",-0.0316128135352404
"5",-0.0732321801054911
"6",-0.0826822795737053
"7",-0.101611170246245
"8",-0.0724202166350413
"9",-0.011919173247687
"10",0.0407237807902385
"11",0.0892315403860207
"12",0.0978325836703696
"13",0.0193093193799669
"14",-0.0717227080550744
"15",-0.0790624395558214
"16",-0.0433239727215273
"17",-0.0363456766076358
"18",-0.04337116559557
"19",-0.0301868388569067
"20",0.0170747583640264
"21",0.0993595219854151
"22",0.171581764941411
"23",0.1689844811157
"24",0.0632801597089284
"25",-0.076445863986395
"26",-0.0611795487274333
"27",0.162630557771199
"28",0.313928613456867
"29",0.169703756177804
"30",-0.0666825213259074
"31",-0.122013514820618
"32",-0.0634371462387781
"33",-0.0703065674637724
"34",-0.0968153022040304
"35",-0.0299027726962514
"36",0.0425419098350026
"37",-0.00271036991842773
"38",-0.0853723785767536
"39",-0.0883571149205921
"40",-0.0610910520618288
"41",-0.0760622113846817
"42",-0.0922258065749797
"43",-0.0690319037811013
"44",-0.0646202792287544
"45",-0.101664329188303
"46",-0.051022189544261
"47",0.140586697262745
"48",0.244466079203442
"49",0.101281568434598
"50",-0.0732552650682647
"51",-0.0794897896727717
"52",-0.0325894109103257
"53",-0.0493776916279921
"54",-0.0461908673493157
"55",0.036763424469279
"56",0.0881780142217238
"57",0.0171950290662824
"58",-0.0754441381617211
"59",-0.0720406352971924
"60",-0.0283879300679975
"61",-0.0312867589149215
"62",-0.0547829506734304
"63",-0.0451721682595399
"64",-0.0161061138071065
"65",-0.00586892566684622
"66",-0.00920841157567435
"67",-0.000671815687038432
"68",-0.000976105174776219
"69",-0.037301288108777
"70",-0.0758300931042453
"71",-0.0866777909590218
"72",-0.0915341197974854
"73",-0.0959277719084807
"74",-0.0863098028205682
"75",-0.0795558831674453
"76",-0.0884253417181641
"77",-0.0933037843122398
"78",-0.0854861758477285
"79",-0.0791055282774408
"80",-0.0848502059259461
"81",-0.0938573516393092
"82",-0.0897589332286735
"83",-0.0773522291939795
"84",-0.0656606997120929
"85",-0.057228029549564
"86",-0.0650945974293465
"87",-0.0705070183024755
"88",-0.0427247330594028
"89",-0.0183952801947603
"90",-0.0394671671806934
"91",-0.074295500424805
"92",-0.0926671076454798
"93",-0.0985460811136057
"94",-0.0990312167673535
"95",-0.0991946243487345
"96",-0.0988094314651387
