"","Site_code","Sampling_event","Sample_code.x","Temperature","DO","Salinity","pH","Turbidity","Site_Name","Latitude","Longitude","UTM_Easting","UTM_Northing","Site_type","Algal_subset","Notes","Sample_code.y","N.N_um.L","NO2","NO3.N_um.L","NH4","SRP","Sample_code","TN","TP","TOC"
"1","ACS1","1-24","ACS1_1-24_WQ",22.2,8.7,8.9,8.39,8.83,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1-24_F1","0.354",0.276,NA,1.085,0.577,"ACS1_1-24_UF1",166.7,2,1193
"2","ACS1","11-23","ACS1_1123E_WQ",25.2,7.6,10,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1123E_F1","0.668",0.364,NA,0.542,0.072,"ACS1_1123E_UF",2.95,0.058,38.44
"3","ACS1","11-23","ACS1_1123E_WQ",25.2,7.6,10,NA,NA,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_1123E_F1","0.00935",0.0051,NA,0.00759,0.00223,"ACS1_1123E_UF",2.95,0.058,38.44
"4","ACS1","4-24","ACS1_4-24_WQ",24.3,8.47,7.99,8.76,13.84,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_4-24_F1","2.623",0.345,2.278,2.108,0.219,"ACS1_4-24_UF1",148.8,2.41,1632
"5","ACS1","8-24","ACS1_8-24_WQ",32.261,8,10.26,8.34,5.89,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_8-24_F1","1.343",0.274,1.069,2.997,0.056,"ACS1_8-24_UF1",183.3,4.087,1889
"6","ACS1","9-23","ACS1_9-23_WQ",29.153,6.02,12.97,8.01,3.82,"West Lake",25.208037,-80.818275,518306.83,2787996.12,"Coastal Lakes","Y","West Lake","ACS1_9-23_F1","0.783",0.55,NA,47.11,0.02,"ACS1_9-23_UF1",165.8,1.391,2901
"7","ACS2","1-24","ACS2_1-24_WQ",22.6,8.8,6.4,8.24,7.42,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_1-24_F1","0.674",0.137,NA,0.432,0.031,"ACS2_1-24_UF1",117.6,1.774,1788
"8","ACS2","4-24","ACS2_4-24_WQ",25,8.51,6.23,8.47,10.92,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_4-24_F1","1.567",0.328,1.239,0.443,0.239,"ACS2_4-24_UF1",139.3,2.796,1429
"9","ACS2","8-24","ACS2_8-24_WQ",32.392,7.21,14.68,8.14,7.23,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_8-24_F1","0.461",0.061,NA,0.87,0.07,"ACS2_8-24_UF1",130,1.271,1013
"10","ACS2","9-23","ACS2_9-23_WQ",29.212,5.88,11.73,8,3.91,"Long Lake",25.196526,-80.791628,520993.25,2786725.29,"Coastal Lakes","N","Long Lake","ACS2_9-23_F1","0.7",0.343,NA,9.553,0.028,"ACS2_9-23_UF1",109.6,1.91,2810
"11","ACS3","1-24","ACS3_1-24_WQ",22.3,8.7,4.2,8.62,11.94,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_1-24_F1","0.526",0.329,NA,0.666,0.154,"ACS3_1-24_UF1",108.6,1.916,1916
"12","ACS3","4-24","ACS3_4-24_WQ",25,8.24,3.96,8.8,17.35,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_4-24_F1","0.964",0.589,0.375,1.639,0.645,"ACS3_4-24_UF1",95.5,3.196,914.2
"13","ACS3","8-24","ACS3_8-24_WQ",31.94,6.21,7.97,8.18,5.61,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_8-24_F1","0.558",0.028,NA,2.425,0.038,"ACS3_8-24_UF1",79,0.757,763.1
"14","ACS3","9-23","ACS3_9-23_WQ",29.082,6.68,10.63,8.44,6.53,"Cuthbert Lake",25.201427,-80.78667,521491.83,2787268.83,"Coastal lakes","N","Cuthbert lake. Sediment collection required at entrance to lake","ACS3_9-23_F1","0.322",0.175,NA,0.341,0.038,"ACS3_9-23_UF1",71.4,1.996,1731
"15","ACS4","1-24","ACS4_1-24_WQ",22.6,8.7,6.8,8,24.58,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_1-24_F1","0.656",0.344,NA,1.156,0.054,"ACS4_1-24_UF1",100,1.964,1729
"16","ACS4","4-24","ACS4_4-24_WQ",24.7,7.74,10.76,8.27,45.01,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_4-24_F1","1.490",0.335,1.155,1.189,0.209,"ACS4_4-24_UF1",197.1,5.758,1386
"17","ACS4","4-24","ACS4_4-24_WQ",24.7,7.74,10.76,8.27,45.01,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_4-24_F1","1.49",0.335,1.155,1.189,0.209,"ACS4_4-24_UF1",197.1,5.758,1386
"18","ACS4","8-24","ACS4_8-24_WQ",31.408,5.97,29.74,7.88,13.01,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_8-24_F1","0.350",0.057,NA,0.564,0.026,"ACS4_8-24_UF1",41.9,1.075,637.3
"19","ACS4","9-23","ACS4_9-23_WQ",28.961,4.46,12.86,7.72,4.15,"The Lungs",25.171947,-80.769234,523254.03,2784007.35,"Coastal Lakes","Y","The Lungs","ACS4_9-23_F1","0.593",0.396,NA,2.223,0.017,"ACS4_9-23_UF1",74.5,1.489,2078
"20","ACS5","1-24","ACS5_1-24_WQ",22.4,6.8,7,8.15,21.45,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_1-24_F1","0.425",0.319,NA,0.565,0.044,"ACS5_1-24_UF1",129.8,2.267,2022
"21","ACS5","4-24","ACS5_4-24_WQ",24.5,6.59,13.5,8.3,22.34,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_4-24_F1","1.11",0.269,0.841,1.35,0.113,"ACS5_4-24_UF1",146.4,3.698,1097
"22","ACS5","4-24","ACS5_4-24_WQ",24.5,6.59,13.5,8.3,22.34,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_4-24_F1","1.110",0.269,0.841,1.35,0.113,"ACS5_4-24_UF1",146.4,3.698,1097
"23","ACS5","8-24","ACS5_8-24_WQ",30.712,5.39,33.53,8.03,20.69,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_8-24_F1","0.495",0.074,NA,0.208,0.034,"ACS5_8-24_UF1",129,1.96,1158
"24","ACS5","9-23","ACS5_9-23_WQ",32.004,5.12,20.12,8,20.55,"Alligator Creek",25.176182,-80.793888,520768.94,2784472.26,"POI","N","Entrance to Alligator Creek from Garfield","ACS5_9-23_F1","0.419",0.184,NA,0.417,0.039,"ACS5_9-23_UF1",109.1,2.043,1401
"25","CC","1-24","CC_1-24_WQ",20.8,7.1,29.6,8.11,24.76,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_1-24_F1","0.554",0.075,NA,0.537,0.062,"CC_1-24_UF1",21,0.507,325.7
"26","CC","4-24","CC_4-24_WQ",25.4,6.85,34.38,8.05,43.15,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_4-24_F1","0.065",0.023,NA,0.048,0.001,"CC_4-24_UF1",36.7,1.732,243.3
"27","CC","8-24","CC_8-24_WQ",29.696,5.52,38.32,7.86,45.6,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_8-24_F1","1.694",0.452,1.242,5.568,0.012,"CC_8-24_UF1",38.1,1.301,258.8
"28","CC","9-23","CC_9-23_WQ",29.215,6.84,37.15,8.16,6.37,"Conche Channel",25.115717,-81.025999,497378.96,2777761.33,"Florida Bay","N","Western Conche Channel","CC_9-23_F1","0.00381",0.00015,NA,3e-05,0.00087,"CC_9-23_UF1",0.31,0.02114,3.403
"29","DC1","1-24","DC1_1-24_WQ",20.8,4.8,8.6,7.99,24.33,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_1-24_F1","0.608",0.376,NA,3.693,0.036,"DC1_1-24_UF1",126.7,1.967,2178
"30","DC1","11-23","DC1_1123E_WQ",20.2,0.8,14.4,NA,NA,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_1123E_F2","0.00265",0.00721,NA,0.09215,0.00911,"DC1_1123E_UF",2.93,0.11867,44.15
"31","DC1","11-23","DC1_1123E_WQ",20.2,0.8,14.4,NA,NA,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_1123E_F2","0.189",0.515,NA,6.582,0.294,"DC1_1123E_UF",2.93,0.11867,44.15
"32","DC1","11-24","DC1_11-24_WQ",26.6,7,29.4,NA,NA,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_11-24_F1","0.233",0.019,NA,0.277,0.025,"DC1_11-24_UF1",46.7,1.66,473.7
"33","DC1","4-24","DC1_4-24_WQ",23.1,2.73,24.24,8.08,28.55,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_4-24_F1","4.473",0.253,4.22,2.807,0.147,"DC1_4-24_UF1",204,4.355,1388
"34","DC1","8-24","DC1_8-24_WQ",29.104,0.23,35.8,8.11,22.42,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_8-24_F1","5.685",0.383,5.302,2.38,0.141,"DC1_8-24_UF1",171.4,4.635,2330
"35","DC1","9-23","DC1_9-23_WQ",29.958,2.34,19.77,7.9,20.1,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_9-23_F1","0.089",0.032,NA,0.464,0.034,"DC1_9-23_UF1",114.5,3.286,2401
"36","DC2","1-24","DC2_1-24_WQ",21.1,4.3,7.5,7.7,22.8,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_1-24_F1","0.451",0.467,NA,3.337,0.063,"DC2_1-24_UF1",131.9,1.964,2398
"37","DC2","4-24","DC2_4-24_WQ",22.9,1.68,23.79,7.73,29.08,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_4-24_F1","1.642",0.382,1.26,1.21,0.169,"DC2_4-24_UF1",232.1,6.048,1998
"38","DC2","8-24","DC2_8-24_WQ",30.002,0.33,29.07,7.39,22.45,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_8-24_F1","1.378",0.701,0.677,3.675,0.132,"DC2_8-24_UF1",218.3,4.375,2056
"39","DC2","9-23","DC2_9-23_WQ",29.36,2.03,17.67,7.67,16.51,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_9-23_F1","0.086",0.023,NA,0.427,0.108,"DC2_9-23_UF1",89.8,3.326,1994
"40","DCM1","11-23","DCM1_1123E_WQ",20,4.7,3.6,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1123E_F1","0.00571",0.00518,NA,0.02488,0.00245,"DCM1_1123E_UF",2.47,0.11724,39.75
"41","DCM1","11-23","DCM1_1123E_WQ",20,4.7,3.6,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1123E_F1","0.408",0.37,NA,1.777,0.079,"DCM1_1123E_UF",2.47,0.11724,39.75
"42","GB1","1-24","GB1_1-24_WQ",22.6,7.4,15.1,8.23,10.8,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1-24_F1","0.252",0.31,NA,0.611,0.398,"GB1_1-24_UF1",98.1,1.889,1556
"43","GB1","11-23","GB1_1123E_WQ",23.2,5,16.9,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1123E_F1","0.00613",0.00183,NA,0.0043,0.00208,"GB1_1123E_UF",2.19,0.05875,26.29
"44","GB1","11-23","GB1_1123E_WQ",23.2,5,16.9,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1123E_F1","0.438",0.131,NA,0.307,0.067,"GB1_1123E_UF",2.19,0.05875,26.29
"45","GB1","11-24","GB1_11-24_WQ",25.3,8,19.6,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_11-24_F1","1.023",0.216,0.807,10.508,0.06,"GB1_11-24_UF1",38.8,0.804,372
"46","GB1","11-24","GB1_11-24_WQ",25.3,8,19.6,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_11-24_F1","1.023",0.216,0.807,10.508,0.06,"GB1_11-24_UF1",38.8,0.804,372
"47","GB1","4-24","GB1_4-24_WQ",24,6.23,27.13,8.27,12.59,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_4-24_F1","ND",0.079,NA,0.846,0.029,"GB1_4-24_UF1",109.3,2.047,1047
"48","GB1","8-24","GB1_8-24_WQ",30.383,5.36,33.77,7.9,11.94,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_8-24_F1","4.138",0.17,3.968,1.914,0.051,"GB1_8-24_UF1",163.6,2.874,1330
"49","GB1","9-23","GB1_9-23_WQ",30.731,6.32,26.84,8.18,9.01,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_9-23_F1","0.088",0.04,NA,0.298,0.039,"GB1_9-23_UF1",52.6,1.027,1157
"50","GB2","1-24","GB2_1-24_WQ",21.7,7,24.6,8.21,21.77,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1-24_F1","0.175",0.153,NA,0.124,0.202,"GB2_1-24_UF1",40.5,0.77,701.7
"51","GB2","11-23","GB2_1123E_WQ",19.9,7.2,21.7,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1123E_F1","0.473",0.097,NA,0.073,0.007,"GB2_1123E_UF",1.79,0.04796,21.49
"52","GB2","11-23","GB2_1123E_WQ",19.9,7.2,21.7,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1123E_F1","0.00662",0.00136,NA,0.00102,0.00022,"GB2_1123E_UF",1.79,0.04796,21.49
"53","GB2","4-24","GB2_4-24_WQ",25.3,6.55,28.2,8.18,32.03,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_4-24_F1","0.299",0.15,NA,3.82,0.001,"GB2_4-24_UF1",89,1.047,616.1
"54","GB2","8-24","GB2_8-24_WQ",29.825,5.32,37.73,8.14,6.01,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_8-24_F1","0.285",0.04,NA,0.805,0.019,"GB2_8-24_UF1",81.9,0.976,791.3
"55","GB2","9-23","GB2_9-23_WQ",29.897,6.99,33.67,8.24,11.51,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_9-23_F1","0.662",0.1,NA,4.758,0.008,"GB2_9-23_UF1",57.4,0.824,1173
"56","JB","1-24","JB_1-24_WQ",22.1,7.8,33.1,8.7,0.11,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1-24_F1","0.509",0.016,NA,0.625,0.019,"JB_1-24_UF1",20.2,0.346,286.8
"57","JB","11-23","JB_1123E_WQ",20.9,7.7,35.9,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1123E_F1","0.443",0.018,NA,0.288,0.038,"JB_1123E_UF",0.32,0.00874,3.886
"58","JB","11-23","JB_1123E_WQ",20.9,7.7,35.9,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1123E_F1","0.0062",0.00025,NA,0.00403,0.00118,"JB_1123E_UF",0.32,0.00874,3.886
"59","JB","11-24","JB_11-24_WQ",26.7,8.4,26.4,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_11-24_F1","0.489",0.037,NA,0.219,0.023,"JB_11-24_UF1",48.1,1.204,531.8
"60","JB","4-24","JB_4-24_WQ",26.25,8.16,34.26,8.83,0.22,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_4-24_F1","0.154",0.041,NA,0.249,0.013,"JB_4-24_UF1",20.7,0.415,256.4
"61","JB","8-24","JB_8-24_WQ",30.944,6.27,38.8,8.01,0.07,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_8-24_F1","0.239",0.023,NA,0.671,0.009,"JB_8-24_UF1",35.5,0.31,498.4
"62","JB","9-23","JB_9-23_WQ",28.937,7.54,37.19,8.56,-0.1,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_9-23_F1","0.00322",0.00018,NA,0.0047,5e-04,"JB_9-23_UF1",0.26,0.01014,2.665
"63","MCS1","1-24","MCS1_1-24_WQ",22,8,3.2,8.49,3.89,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1-24_F1","0.264",0.114,NA,0.307,0.016,"MCS1_1-24_UF1",65.2,0.975,901.7
"64","MCS1","11-23","MCS1_1123E_WQ",22.8,8.3,5,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1123E_F1","0.0048",0.00108,NA,0.00217,0.00034,"MCS1_1123E_UF",1,0.01792,16.64
"65","MCS1","11-23","MCS1_1123E_WQ",22.8,8.3,5,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1123E_F1","0.343",0.077,NA,0.155,0.011,"MCS1_1123E_UF",1,0.01792,16.64
"66","MCS1","11-24","MCS1_11-24_WQ",26.3,6.9,31.3,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_11-24_F1","0.513",0.048,NA,0.203,0.018,"MCS1_11-24_UF1",16,0.516,245.5
"67","MCS1","4-24","MCS1_4-24_WQ",24.6,8.32,4.89,8.61,5.5,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_4-24_F1","1.105",0.155,NA,1.485,0.053,"MCS1_4-24_UF1",68.1,1.003,465.7
"68","MCS1","8-24","MCS1_8-24_WQ",29.526,6.83,10.64,8.18,3.7,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_8-24_F1","0.795",0.017,NA,1.187,0.035,"MCS1_8-24_UF1",88.6,1.063,1397
"69","MCS1","9-23","MCS1_9-23_WQ",29.141,6.82,12,8.37,2.28,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_9-23_F1","0.15",0.103,NA,0.313,NA,"MCS1_9-23_UF1",79.3,0.704,2055
"70","MCS2","1-24","MCS2_1-24_WQ",22.2,8,3.4,8.32,6.65,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_1-24_F1","0.677",0.214,NA,0.977,0.063,"MCS2_1-24_UF1",62.9,0.636,900
"71","MCS2","4-24","MCS2_4-24_WQ",25,8.4,6.95,8.5,9.3,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_4-24_F1","1.060",0.139,NA,1.471,0.034,"MCS2_4-24_UF1",88.1,1.607,423
"72","MCS2","4-24","MCS2_4-24_WQ",25,8.4,6.95,8.5,9.3,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_4-24_F1","1.06",0.139,NA,1.471,0.034,"MCS2_4-24_UF1",88.1,1.607,423
"73","MCS2","8-24","MCS2_8-24_WQ",29.476,6.73,15.9,8.01,6.36,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_8-24_F1","0.569",0.051,NA,1.216,0.017,"MCS2_8-24_UF1",106.2,1.114,1037
"74","MCS2","9-23","MCS2_9-23_WQ",29.341,6.72,12.96,8.13,3.99,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_9-23_F1","5.49",0.327,5.163,1.665,0.017,"MCS2_9-23_UF1",83.2,1.002,2016
"75","MCS3","1-24","MCS3_1-24_WQ",22.4,9,5.7,8.23,6.04,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_1-24_F1","0.913",0.223,NA,1.568,0.02,"MCS3_1-24_UF1",60.5,0.774,860
"76","MCS3","4-24","MCS3_4-24_WQ",25.1,8.35,10.53,8.46,8.11,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_4-24_F1","1.286",0.099,NA,1.874,0.024,"MCS3_4-24_UF1",91.7,1.755,1276
"77","MCS3","8-24","MCS3_8-24_WQ",29.554,6.69,21.19,7.99,9.62,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_8-24_F1","1.430",0.055,NA,0.902,0.02,"MCS3_8-24_UF1",103.1,1.211,1187
"78","MCS3","8-24","MCS3_8-24_WQ",29.554,6.69,21.19,7.99,9.62,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_8-24_F1","1.43",0.055,NA,0.902,0.02,"MCS3_8-24_UF1",103.1,1.211,1187
"79","MCS3","9-23","MCS3_9-23_WQ",29.199,6.24,15.8,8,3.96,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_9-23_F1","3.081",0.218,2.863,0.84,0.019,"MCS3_9-23_UF1",67.1,1.111,1780
"80","MCS4","1-24","MCS4_1-24_WQ",22.6,8.2,5.7,8.12,8.52,"McCormick Creek",25.16706,-80.731255,527082.21,2783473.3,"POI","N","Entrance to McCormick Creek from Terrapin","MCS4_1-24_F1","0.326",0.129,NA,0.02,0.018,"MCS4_1-24_UF1",66.7,0.645,1107
"81","MCS4","4-24","MCS4_4-24_WQ",25.6,7.35,10.74,8.38,8.54,"McCormick Creek",25.16706,-80.731255,527082.21,2783473.3,"POI","N","Entrance to McCormick Creek from Terrapin","MCS4_4-24_F1","1.422",0.117,NA,1.75,0.027,"MCS4_4-24_UF1",71,1.562,664.3
"82","MCS4","8-24","MCS4_8-24_WQ",29.681,4.64,22.66,7.8,10.44,"McCormick Creek",25.16706,-80.731255,527082.21,2783473.3,"POI","N","Entrance to McCormick Creek from Terrapin","MCS4_8-24_F1","0.552",0.057,NA,0.702,0.01,"MCS4_8-24_UF1",97.1,1.207,1058
"83","MCS4","9-23","MCS4_9-23_WQ",29.036,4.07,17.45,7.86,8.49,"McCormick Creek",25.16706,-80.731255,527082.21,2783473.3,"POI","N","Entrance to McCormick Creek from Terrapin","MCS4_9-23_F1","4.55",0.532,4.018,3.305,0.085,"MCS4_9-23_UF1",76,1.199,1993
