"","X","mctn","actn","mctp","actp","mcsal","acsal","mctnm","actnm","actpm","mctpm","mcnh4","acnh4","mcdoc","acdoc","mcsalm","acsalm","aflow","amaxstage","aminstage","mflow","mmaxstage","mmeanstage","mminstage","gTOC","gDO","gTP","gsal","gturb","gtemp","gNH4","gpH","gsecchi","gdepth","gchl","gTN","rTOC","rDO","rTP","rsal","rturb","rtemp","rNH4","rpH","rsecchi","rdepth","rchl","rTN","tTOC","tDO","tNN","tNO3","tNO2","tTP","tsal","tturb","ttemp","tNH4","tAP","tOP","tpH","tsecchi","tdepth","tchl","tchlb","tTN","marshtotrain","marshmeanrain","tschlorophyll","tsDO","tspH","tsrainfall","tssalinity","tstemperature","tsmeanstage","gschlorophyll","gsDO","gspH","gsrainfall","gssalinity","gstemperature","gsmeanstage"
"1",87,147.927,244.428,1.384,3.288,18.27,24.92,133.571,275.714,3.247,1.005,3,15.929,1800,2200,13.8,17.9,45.3510344827586,-0.333448275862069,-0.815862068965517,64.0472413793103,-0.294827586206897,-0.413793103448276,-0.525862068965517,11.2,5.03,0.025,30.4,2.7,21.9,1.122,7.6,1.2,1.2,2.07,2.51,3.1,6.1,0.005,31.6,0.35,21.4,0.177,7.8,1.7,1.7,0.293,0.585,11.4,7.34,NA,NA,0.002,0.009,30,2.5,22.3,0.498,NA,NA,8.1,1.9,1.9,5.53,0.19,1.76,1.71,0.0589655172413793,24.0242857142857,7.97724137931035,8.24406896551724,0.0679310344827586,18.3922413793103,21.3395172413793,-0.499241379310345,13.573275862069,6.42041379310345,8.04962068965517,0.0679310344827586,23.942724137931,20.4119655172414,-0.535034482758621
"2",88,178.896363636364,289.155454545455,1.78454545454545,3.19272727272727,23.0818181818182,30.8454545454545,140,287.143,2.95,1.043,1.5,2.214,1975,2400,17.5,28,8.79129032258064,-0.500967741935484,-0.870645161290323,3.14483870967742,-0.422258064516129,-0.518064516129032,-0.613225806451613,13.55,4.095,0.024,33.95,2,24.65,0.932,7.65,0.95,0.95,2.07,2.475,6.35,4.605,0.0135,33.4,0.775,24.3,0.1375,7.85,1.45,1.45,1.1265,0.9525,8.75,5.545,NA,NA,0.00125,0.00625,31.1,1.8,24.45,0.2965,NA,NA,8.1,1.5,1.5,3.417,0.188358490566038,1.27,1.49,0.0480645161290323,16.8066451612903,7.18432258064516,8.44506451612903,0.0706451612903226,24.6961612903226,25.5806774193548,-0.568838709677419,25.8441290322581,5.38754838709677,7.96464516129032,0.0374193548387097,31.6910322580645,25.4122903225806,-0.558903225806452
"3",89,207.551428571429,291.858,2.00857142857143,2.924,22.8428571428571,38.6,154.286,236.429,1.058,1.472,1.857,2.8925,1675,1441.667,20.4,39.9,-6.73,-0.434333333333333,-0.797,-4.43233333333333,-0.324,-0.416,-0.499666666666667,15.9,3.16,0.023,37.5,1.3,27.4,0.742,7.7,0.7,0.7,2.07,2.44,9.6,3.11,0.022,35.2,1.2,27.2,0.098,7.9,1.2,1.2,1.96,1.32,6.1,3.75,NA,NA,5e-04,0.0035,32.2,1.1,26.6,0.095,NA,NA,8.1,1.1,1.1,1.304,0.186716981132075,0.78,6.9,0.23,9.4118,7.4114,8.35183333333333,0.0763333333333333,26.6923666666667,26.9265333333333,-0.465966666666667,16.2236666666667,4.50192307692308,8.13643333333333,0.0503333333333333,36.9659,25.8982666666667,-0.455633333333333
"4",90,186.07,278.571,1.62,3.816,25.55,47.07,155.714,285,2.742,1.432,2.071,3.571,1666.667,2158.333,24.4,42.2,-3.5658064516129,-0.287741935483871,-0.668387096774194,6.3341935483871,-0.173225806451613,-0.26258064516129,-0.345483870967742,13.35,3.905,0.0305,38,4,29.05,0.3915,7.95,0.65,0.95,7.285,2.08,10.1,3.97,0.026,40.3,1.8,30,0.064,8.2,1.3,1.3,3.56,1.35,14.5,5.94,NA,NA,0.00065,0.006,34.7,2.4,30.2,0.096,NA,NA,8.4,1.1,1.1,0.592,0.185075471698113,1.47,5.85,0.188709677419355,3.60853333333333,7.30612903225806,8.26354838709677,0.0758064516129032,30.2693225806452,28.9888709677419,-0.319935483870968,11.0500588235294,5.67629032258065,7.88806451612903,0.0351612903225806,39.9431612903226,27.9213870967742,-0.315193548387097
"5",91,202.43,267.5,1.868,3.818,27.67,47.56,152.857,162.857,1.61,0.945,2.429,7.429,1575,1141.667,26.3,38.8,2.54066666666667,-0.317,-0.649333333333333,0.0286363636363634,-0.332727272727273,-0.408181818181818,-0.476818181818182,10.8,4.65,0.038,38.5,6.7,30.7,0.041,8.2,0.6,1.2,12.5,1.72,8.3,3.83,0.026,36.6,3,30.7,0.016,8.2,1.6,1.7,5.4,1.23,12.1,6.02,NA,NA,8e-04,0.012,38.3,2.2,31,0.061,NA,NA,8.3,1.7,1.7,0.648,0.183433962264151,1.44,8.4,0.28,5.94068,6.9096,8.25306666666667,0.108666666666667,32.3460666666667,31.3,-0.400933333333333,10.5224137931034,5.94396666666667,8.049,0.212666666666667,41.4089,29.7025,-0.387
"6",92,214.168333333333,287.45,2.59833333333333,3.97142857142857,24.3833333333333,32.0571428571429,124.286,154.286,1.271,0.673,10.5,5,1541.667,1508.333,22.3,40.4,6.90903225806452,-0.459354838709677,-0.726129032258064,16.9812903225806,-0.408064516129032,-0.470322580645161,-0.538709677419355,12.35,3.83,0.0355,38.1,8.5,30.3,0.031,8.05,0.65,0.95,14,1.815,11.3,4.85,0.035,38.8,3.9,31.3,0.017,8.1,1.3,1.3,12,1.59,15.6,6.07,NA,NA,0.00095,0.009,39.3,1.4,31.4,0.034,NA,NA,8.2,1.1,1.1,0.848,0.181792452830189,1.58,3.12,0.100645161290323,8.30138709677419,7.17445161290323,8.57561290322581,0.205806451612903,29.4896774193548,31.9778709677419,-0.520516129032258,17.246935483871,5.91561290322581,8.29029032258065,0.212903225806452,34.9582903225806,31.4762258064516,-0.510290322580645
"7",93,127.14,208.93,0.76,3.505,26.2,35.8,129.286,222.857,2.801,0.623,4.857,3.643,1608.333,2383.333,19.95,25.5,10.7003225806452,-0.245806451612903,-0.594838709677419,18.4677419354839,-0.173548387096774,-0.251612903225806,-0.337741935483871,13.9,3.01,0.033,37.7,10.3,29.9,0.021,7.9,0.7,0.7,15.5,1.91,12.9,3.36,0.039,39.4,6.5,30.2,0.017,7.9,1,1.8,18.9,1.73,15,4.45,NA,NA,0.0011,0.008,38.5,2.5,31.3,0.064,NA,NA,8.2,1.4,1.4,1.04,0.180150943396226,1.7,9.94,0.320645161290323,5.00629032258064,6.75338709677419,8.33877419354839,0.358387096774194,28.3519032258065,30.9816774193548,-0.307,10.3904642857143,5.86645161290323,8.26793548387097,0.281935483870968,33.4921290322581,30.8458387096774,-0.304709677419355
"8",94,129.739090909091,241.071,0.884545454545455,3.978,19.4454545454545,27.17,123.571,190,1.409,0.772,4.929,3,1658.333,2550,13.84,19.6,48.11,-0.0893333333333333,-0.432666666666667,103.023333333333,0.00423076923076923,-0.07,-0.146923076923077,11.075,4.675,0.0275,37.1,7.125,26.55,0.01725,7.95,0.85,0.85,14.017,1.5475,14.9,4.96,0.062,37.2,9.9,29.8,0.018,7.9,1.4,1.8,30,2.31,16,6.08,NA,NA,0.00125,0.008,36,2.2,30,0.107,NA,NA,8.2,1.1,1.1,1.37,0.178509433962264,1.55,8.88,0.296,12.7334666666667,5.8598,8.03493333333333,0.167366666666667,20.2134666666667,30.4507,-0.171766666666667,15.2295,5.3908,8.09723333333333,0.119,29.3473333333333,31.7809333333333,-0.174433333333333
"9",95,140.612857142857,217.62,1.04166666666667,2.005,21.1428571428571,25.4833333333333,115,204.286,1.366,0.466,2.214,1.143,1666.667,1566.667,11.6,32.8,35.4238709677419,-0.11741935483871,-0.493225806451613,48.4612903225806,0.022258064516129,-0.0696774193548387,-0.162258064516129,8.25,6.34,0.022,36.5,3.95,23.2,0.0135,8,1,1,12.534,1.185,13.2,5.98,0.045,38.1,6.2,23.3,0.02,7.9,1.3,1.3,21.6,2.04,13.2,6.78,NA,NA,0.0014,0.007,33.7,2.1,24,0.029,NA,NA,8.2,1.5,1.5,2.06,0.176867924528302,1.31,5.02,0.161935483870968,14.429064516129,6.889,8.23887096774193,0.149806451612903,21.8909677419355,27.1818709677419,-0.121483870967742,20.7037419354839,5.84196774193548,8.17509677419355,0.131612903225806,31.3983225806452,27.1147096774194,-0.170096774193548
"10",96,124.883333333333,200.071,1.105,2.39888888888889,19.6166666666667,29.61,128.571,152.857,1.29,1.186,2.714,1.3215,1566.667,1841.667,17.4,33.4,23.104,-0.106333333333333,-0.471666666666667,31.7,-0.001,-0.0736666666666667,-0.148,7.4,5.335,0.01425,32.3,2.675,23.8,0.085,7.95,1.15,1.15,6.6515,0.9475,14.5,7.24,0.042,32.2,4.6,26,0.02,7.9,0.5,1.5,14.2,2.01,10.8,8.06,NA,NA,0.00155,0.003,28.1,1,25.6,0.027,NA,0.002,8.2,1.5,1.5,0.306,0.17522641509434,0.925,0.27,0.009,16.7428666666667,7.737,8.26303333333333,0.00466666666666667,20.2794,23.7403333333333,-0.1068,16.7839,7.3493,8.22766666666667,0.004,29.3435,23.4281,-0.145433333333333
"11",97,126.858,160.194545454545,1.23777777777778,2.484,17.6909090909091,26.6,120,175,1.806,0.918,1.143,1.5,1441.667,2116.667,17.2,16.6,30.7325806451613,-0.526451612903226,-0.880322580645161,33.5192,-0.409032258064516,-0.500645161290323,-0.594838709677419,6.55,4.33,0.0065,28.1,1.4,24.4,0.1565,7.9,1.3,1.3,0.769,0.71,14.6,6.29,0.043,31,6.8,24.5,0.058,8,1.8,2.7,10.2,1.99,12.6,6.59,NA,NA,0.0017,0.006,27.8,1.2,25.1,0.036,NA,0.00192592592592593,8.2,1.1,1.1,0.608,0.173584905660377,1.02,0.88,0.0283870967741936,13.4200967741935,7.42858064516129,8.32096774193548,0.159354838709677,18.4226774193548,25.1478387096774,-0.585516129032258,6.67741935483871,7.15641935483871,8.30603225806452,0.0509677419354839,26.1062333333333,24.7850967741935,-0.618903225806452
