"","lag","pred","sdpred"
"1",NA,NA,NA
"2",0,-0.342407079446306,0.0605985467030734
"3",1,-0.300855589125992,0.0536718533258251
"4",2,-0.260885595674019,0.0377962548521008
"5",3,-0.250716663170738,0.0349700820510321
"6",4,-0.283712803539397,0.0487665398598511
"7",5,-0.320661966299224,0.0603599329715007
"8",6,-0.325308235886828,0.0747585938074003
"9",7,-0.291744675812661,0.0702633244444399
"10",8,-0.258377822477783,0.046923783532067
"11",9,-0.268090009853963,0.030478210614028
"12",10,-0.337733413320766,0.0435924015263689
"13",11,-0.415710928449436,0.0788551312878615
"14",12,-0.418837946715086,0.114244022591861
